LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1,ID_1
1.5169,42.5031,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",136.64,Ind,683.7606837606837,1575.0,147150769.23076922,22072615.38461538,36787692.307692304,88290461.53846152,1385.2347956747878,851.897235583264,85.6019694335192,183.55746277486614,373.68555593054987,Andorra la Vella,1
1.5169,42.5031,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",25.62,Ind,683.7606837606837,1575.0,27590769.23076923,4138615.384615385,6897692.307692307,16554461.538461538,259.7315241890228,159.73073167186197,16.050369268784852,34.417024270287406,70.06604173697808,Andorra la Vella,1
1.5169,42.5031,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",17.080000000000002,Ind,683.7606837606837,1425.0,16642051.282051286,2496307.692307693,4160512.8205128205,9985230.769230772,173.15434945934854,106.487154447908,10.700246179189904,22.94468284685828,46.71069449131873,Andorra la Vella,1
1.5169,42.5031,S+SL/LFM+CDN/H:1,"Steel, low rise",55.51000000000001,Ind,683.7606837606837,1500.0,56933333.33333335,8540000.000000002,14233333.333333338,34160000.00000001,562.7516357428829,346.0832519557012,34.77580008236719,74.57021925228942,151.80975709678592,Andorra la Vella,1
1.5169,42.5031,S/LFBR+CDN/H:1,"Steel, low rise",21.35,Ind,683.7606837606837,1500.0,21897435.897435896,3284615.384615385,5474358.974358975,13138461.53846154,216.44293682418567,133.108943059885,13.375307723987376,28.68085355857285,58.388368114148406,Andorra la Vella,1
1.5169,42.5031,S/LFM+CDN/H:1,"Steel, low rise",170.8,Ind,683.7606837606837,1500.0,175179487.17948717,26276923.07692308,43794871.79487179,105107692.30769232,1731.543494593485,1064.87154447908,107.00246179189901,229.4468284685828,467.1069449131873,Andorra la Vella,1
1.6319,42.5704,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",15.68,Ind,683.7606837606837,1575.0,16886153.846153848,2532923.076923077,4221538.461538462,10131692.307692308,1166.1481828017102,717.1624740521271,72.06329310441448,154.5262957030546,314.5840209531987,Canillo,2
1.6319,42.5704,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",2.94,Ind,683.7606837606837,1575.0,3166153.8461538465,474923.07692307705,791538.4615384616,1899692.3076923082,218.6527842753206,134.46796388477378,13.511867457077715,28.97368044432274,58.984503928724756,Canillo,2
1.6319,42.5704,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1.96,Ind,683.7606837606837,1425.0,1909743.58974359,286461.5384615385,477435.8974358975,1145846.153846154,145.76852285021377,89.64530925651589,9.00791163805181,19.315786962881827,39.32300261914984,Canillo,2
1.6319,42.5704,S+SL/LFM+CDN/H:1,"Steel, low rise",6.37,Ind,683.7606837606837,1500.0,6533333.333333334,980000.0,1633333.3333333337,3920000.0,473.74769926319465,291.3472550836765,29.275712823668385,62.77630762936594,127.79975851223696,Canillo,2
1.6319,42.5704,S/LFBR+CDN/H:1,"Steel, low rise",2.45,Ind,683.7606837606837,1500.0,2512820.512820513,376923.07692307705,628205.1282051285,1507692.3076923082,182.2106535627672,112.05663657064484,11.259889547564766,24.14473370360229,49.153753273937305,Canillo,2
1.6319,42.5704,S/LFM+CDN/H:1,"Steel, low rise",19.6,Ind,683.7606837606837,1500.0,20102564.102564108,3015384.6153846164,5025641.025641027,12061538.461538466,1457.6852285021378,896.4530925651587,90.07911638051813,193.15786962881833,393.23002619149844,Canillo,2
1.589,42.5343,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",75.84,Ind,683.7606837606837,1575.0,81673846.15384616,12251076.923076926,20418461.53846154,49004307.6923077,1261.279237197866,775.6665504088925,77.94201174187933,167.13211172108925,340.2468912906204,Encamp,3
1.589,42.5343,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",14.22,Ind,683.7606837606837,1575.0,15313846.153846156,2297076.923076924,3828461.538461539,9188307.692307694,236.48985697459992,145.43747820166737,14.614127201602376,31.337270947704233,63.79629211699132,Encamp,3
1.589,42.5343,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",9.48,Ind,683.7606837606837,1425.0,9236923.076923078,1385538.4615384615,2309230.769230769,5542153.846153847,157.65990464973325,96.95831880111156,9.742751467734916,20.89151396513616,42.530861411327535,Encamp,3
1.589,42.5343,S+SL/LFM+CDN/H:1,"Steel, low rise",30.81,Ind,683.7606837606837,1500.0,31600000.0,4740000.0,7900000.0,18960000.0,512.3946901116333,315.11453610361264,31.663942270138488,67.89742038669253,138.22529958681454,Encamp,3
1.589,42.5343,S/LFBR+CDN/H:1,"Steel, low rise",11.85,Ind,683.7606837606837,1500.0,12153846.153846156,1823076.9230769232,3038461.538461538,7292307.692307693,197.07488081216653,121.19789850138945,12.178439334668644,26.11439245642019,53.163576764159444,Encamp,3
1.589,42.5343,S/LFM+CDN/H:1,"Steel, low rise",94.8,Ind,683.7606837606837,1500.0,97230769.23076925,14584615.384615386,24307692.30769231,58338461.53846154,1576.5990464973324,969.5831880111156,97.42751467734915,208.91513965136159,425.30861411327555,Encamp,3
