LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1
1.5169,42.5031,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",293.57283333333334,880.7185,Res,ALL,URBAN,60.0,1312.5,69356581.875,20806974.5625,34678290.9375,13871316.375,2489.0937699453752,451.60374996249914,2319.5964405871746,1070.7882270803407,1280.6628058766714,1,Andorra la Vella
1.5169,42.5031,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",287.1908,574.3816,Res,ALL,URBAN,100.0,1312.5,75387585.0,22616275.5,37693792.5,15077517.0,1623.3220085175915,294.5241819713722,1512.780273025578,698.3401414881997,835.21486549505,1,Andorra la Vella
1.5169,42.5031,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",593.5277,1187.0554,Res,ALL,URBAN,100.0,1312.5,155801021.25,46740306.375,77900510.625,31160204.25,3354.865531373158,608.6833179536262,3126.412608148772,1443.2363126724813,1726.1107462582931,1,Andorra la Vella
1.5169,42.5031,S/LFM+CDL/H:1,"Steel, low rise",191.4605,191.4605,Res,ALL,URBAN,60.0,1250.0,14359537.5,4307861.25,7179768.75,2871907.5,541.1073361725305,98.17472732379072,504.26009100852593,232.78004716273327,278.40495516501664,1,Andorra la Vella
1.5169,42.5031,S/LWAL+CDL/H:1,"Steel, low rise",76.5842,76.5842,Res,ALL,URBAN,60.0,1250.0,5743815.0,1723144.5,2871907.5,1148763.0,216.442910917278,39.26988665645449,201.70401445545502,93.11200873332564,111.36196994841171,1,Andorra la Vella
1.5169,42.5031,W/LFM+CDL/H:1,"Wood, low rise",38.2921,38.2921,Res,ALL,URBAN,100.0,1187.5,4547186.875,1364156.0625,2273593.4375,909437.375,108.22151433797464,19.634954010881764,100.85206209761593,46.55602969608199,55.68101526819323,1,Andorra la Vella
1.5169,42.5031,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",293.57283333333334,880.7185,Res,ALL,URBAN,60.0,1312.5,69356581.875,20806974.5625,34678290.9375,13871316.375,2489.0937699453752,451.60374996249914,2319.5964405871746,1070.7882270803407,1280.6628058766714,1,Andorra la Vella
1.6319,42.5704,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",0.7333333333333334,2.2,Res,ALL,RURAL,60.0,1181.25,155918.40000000002,46775.52,77959.20000000001,31183.68000000001,6.21765784854051,1.1280883164342503,5.794260219686296,2.674786665179339,3.199045067099961,2,Canillo
1.6319,42.5704,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",246.28071666666665,738.84215,Res,ALL,URBAN,60.0,1312.5,58183819.31249999,17455145.793749996,29091909.65625,11636763.8625,2088.1216667605167,378.8541783653608,1945.9289337407931,898.2932360670401,1074.358782724398,2,Canillo
1.6319,42.5704,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",1.3316,2.6632,Res,ALL,RURAL,100.0,1181.25,314577.18399999995,94373.15519999998,157288.59199999998,62915.4368,7.526663239532485,1.3655850915380972,7.014127579573281,3.2379103123409583,3.872540994484112,2,Canillo
1.6319,42.5704,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",240.9268,481.8536,Res,ALL,URBAN,100.0,1312.5,63243285.0,18972985.5,31621642.5,12648657.0,1361.8185064817585,247.07881708650487,1269.0841134643765,585.8434269404005,700.6687858304273,2,Canillo
1.6319,42.5704,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",2.0842,4.1684,Res,ALL,RURAL,100.0,1181.25,492371.408,147711.42239999998,246185.704,98474.2816,11.780813001585033,2.137428245316577,10.978586759429096,5.068011506777867,6.061342170507847,2,Canillo
