LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1
16.4829,47.4771,W/LWAL+CDL/HBET:3-5,"Wood, mid rise",154.73919199215732,928.4351519529439,RES,ALL,RURAL,91,1425.0,120394828.329498,36118448.4988494,60197414.164749,24078965.6658996,1356.6146510822196,304.7478802971332,1283.0345856368222,680.3422475177331,756.0415711505628,Burgenland
16.4829,47.4771,W/LWAL+CDN/HBET:3-5,"Wood, mid rise",253.82,1522.92,RES,ALL,RURAL,91,1425.0,197484651.0,59245395.3,98742325.5,39496930.2,2225.266438997181,499.88051495666826,2104.572437878852,1115.9711191570862,1240.141357330869,Burgenland
16.4829,47.4771,CR+PC/LWAL+CDL/HBET:3-5/3.0,"Concrete wall, mid rise",33.2616954749497,199.57017284969817,RES,ALL,RURAL,91,1575.0,28603395.02368299,8581018.507104896,14301697.511841495,5720679.004736599,291.60875677468266,65.50655370872956,275.7924810247374,146.24179152250335,162.5136087519901,Burgenland
16.4829,47.4771,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",24.080000000000005,144.48000000000002,RES,ALL,RURAL,91,1575.0,20707596.000000004,6212278.800000001,10353798.000000002,4141519.200000001,211.11187396994765,47.42385470079808,199.6615881495656,105.87260479592875,117.65268254876413,Burgenland
16.4829,47.4771,CR/LFINF+CDL/H:2/3.0,"Concrete frame with infill panels, low rise, low/moderate code",426.33300655280954,426.33300655280954,RES,ALL,RURAL,95,1575.0,63790076.10546412,19137022.831639238,31895038.05273206,12758015.221092826,622.950996322021,139.93877738728432,589.1633801835072,312.4099246554935,347.17069407542834,Burgenland
16.4829,47.4771,CR/LFINF+CDL/HBET:3-5/3.0,"Concrete frame with infill panels, mid rise, low/moderate code",4996.641203240288,29979.847219441726,RES,ALL,RURAL,91,1575.0,4296861602.726485,1289058480.8179455,2148430801.3632426,859372320.5452971,43806.07508187339,9840.530997279415,41430.12118158274,21968.7466535595,24413.132944140554,Burgenland
16.4829,47.4771,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",11107.32,66643.92,RES,ALL,RURAL,91,1575.0,9551739834.0,2865521950.2,4775869917.0,1910347966.8000002,97379.03405248665,21875.080140999522,92097.39000354787,48835.58557732205,54269.35190728981,Burgenland
16.4829,47.4771,CR/LWAL+CDH/HBET:3-5/5.0,"Concrete wall, mid rise, high code",5.576678189979877,33.460069139879266,RES,ALL,RURAL,91,1575.0,4795664.409473196,1438699.3228419586,2397832.204736598,959132.8818946392,48.89131990091311,10.98287276556127,46.23955249212739,24.518996930307924,27.24714072933219,Burgenland
16.4829,47.4771,CR/LWAL+CDL/H:1/3.0,"Concrete wall, low rise, low/moderate code",233.0302419895774,233.0302419895774,RES,ALL,RURAL,135,1575.0,49548055.203033894,14864416.560910167,24774027.601516947,9909611.04060678,340.50007667559566,76.48942647429081,322.0320335168647,170.7607884528112,189.76074948132225,Burgenland
16.4829,47.4771,CR/LWAL+CDL/H:2/3.0,"Concrete wall, low rise, low/moderate code",244.12692017955726,244.12692017955726,RES,ALL,RURAL,95,1575.0,36527490.43186626,10958247.129559876,18263745.21593313,7305498.086373252,356.7143660411002,80.13178011592369,337.366892255763,178.89225456961177,198.79697564709946,Burgenland
16.4829,47.4771,CR/LWAL+CDL/HBET:3-5/3.0,"Concrete wall, mid rise, low/moderate code",33.2616954749497,199.57017284969817,RES,ALL,RURAL,91,1575.0,28603395.02368299,8581018.507104896,14301697.511841495,5720679.004736599,291.60875677468266,65.50655370872956,275.7924810247374,146.24179152250335,162.5136087519901,Burgenland
16.4829,47.4771,CR/LWAL+CDN/H:1,"Concrete wall, low rise, pre code",144.48,144.48,RES,ALL,RURAL,135,1575.0,30720059.999999996,9216017.999999998,15360029.999999998,6144012.0,211.11187396994762,47.42385470079808,199.6615881495656,105.87260479592872,117.65268254876413,Burgenland
16.4829,47.4771,CR/LWAL+CDN/H:2,"Concrete wall, low rise, pre code",151.36,151.36,RES,ALL,RURAL,95,1575.0,22647240.000000004,6794172.000000001,11323620.000000002,4529448.000000001,221.16482034946895,49.68213349607419,209.16928282335445,110.91415740525868,123.25519124156243,Burgenland
16.4829,47.4771,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",24.080000000000005,144.48000000000002,RES,ALL,RURAL,91,1575.0,20707596.000000004,6212278.800000001,10353798.000000002,4141519.200000001,211.11187396994765,47.42385470079808,199.6615881495656,105.87260479592875,117.65268254876413,Burgenland
16.4829,47.4771,MIX(MUR+W)/LWAL+CDL/H:1,"Unreinforced masonry, low rise",168.862494195346,168.862494195346,RES,ALL,RURAL,135,1500.0,34194655.074557565,10258396.522367269,17097327.537278783,6838931.014911514,246.73918599680852,55.42712063354407,233.35654602671363,123.73970177739946,137.50778947921904,Burgenland
16.4829,47.4771,MIX(MUR+W)/LWAL+CDL/H:2,"Unreinforced masonry, low rise",176.9035653475053,176.9035653475053,RES,ALL,RURAL,95,1500.0,25208758.062019505,7562627.418605851,12604379.031009752,5041751.612403901,258.4886710442756,58.0665073303795,244.46876250417617,129.6320685287042,144.05577945441996,Burgenland
16.4829,47.4771,MIX(MUR+W)/LWAL+CDN/H:1,"Unreinforced masonry, low rise",263.34000000000003,263.34000000000003,RES,ALL,RURAL,135,1500.0,53326350.00000001,15997905.000000002,26663175.000000004,10665270.000000002,384.7882121487127,86.4382467947686,363.9180690981908,192.9712883925794,214.44253476184625,Burgenland
16.4829,47.4771,MIX(MUR+W)/LWAL+CDN/H:2,"Unreinforced masonry, low rise",275.88,275.88,RES,ALL,RURAL,95,1500.0,39312900.0,11793870.0,19656450.0,7862580.0,403.1114603462704,90.55435378499567,381.2475009600094,202.1603973636546,224.65408403621987,Burgenland
16.4829,47.4771,MIX/LH+CDL/H:2,"Unreinforced masonry, low rise",576.946855167432,576.946855167432,RES,ALL,RURAL,95,1500.0,82214926.86135906,24664478.058407716,41107463.43067953,16442985.372271813,843.0255521557623,189.3759954979422,797.3015322579381,422.7773144061147,469.818280720665,Burgenland
16.4829,47.4771,MIX/LH+CDN/H:2,"Unreinforced masonry, low rise",1006.0,1006.0,RES,ALL,RURAL,95,1500.0,143355000.0,43006500.0,71677500.0,28671000.0,1469.9511711916343,330.20762616973195,1390.2239595685426,737.1805123526045,819.2040326969596,Burgenland
16.4829,47.4771,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",47879.68111552552,47879.68111552552,RES,ALL,RURAL,135,1425.0,9210853654.599222,2763256096.3797665,4605426827.299611,1842170730.9198446,69961.0271690345,15715.940201711157,66166.4809774404,35085.4551252708,38989.29210147412,Burgenland
16.4829,47.4771,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",52228.66593055054,52228.66593055054,RES,ALL,RURAL,95,1425.0,7070455650.348279,2121136695.1044836,3535227825.1741395,1414091130.069656,76315.69448746459,17143.443136122314,72176.48384985348,38272.32078546349,42530.74925714643,Burgenland
16.4829,47.4771,W/LWAL+CDH/HBET:3-5,"Wood, mid rise",25.943676796862913,155.66206078117747,RES,ALL,RURAL,91,1425.0,20185477.73179919,6055643.3195397565,10092738.865899595,4037095.546359838,227.45092301729144,51.09423417021983,215.11443985467957,114.06663789317166,126.75843730602368,Burgenland
16.4829,47.4771,W/LWAL+CDL/H:1,"Wood, low rise",542.0486063670604,542.0486063670604,RES,ALL,RURAL,135,1425.0,104276600.64986324,31282980.19495897,52138300.32493162,20855320.12997265,792.032787049755,177.9210572336764,749.0745127457504,397.20444270545215,441.40000422829297,Burgenland
16.4829,47.4771,W/LWAL+CDL/H:2,"Wood, low rise",567.860444765492,567.860444765492,RES,ALL,RURAL,95,1425.0,76874107.71012849,23062232.313038547,38437053.85506424,15374821.542025698,829.7486340521245,186.3934885305182,784.7447276384055,416.1189399771405,462.419052048688,Burgenland
16.4829,47.4771,W/LWAL+CDN/H:1,"Wood, low rise",761.46,761.46,RES,ALL,RURAL,135,1425.0,146485867.5,43945760.25,73242933.75,29297173.5,1112.6332194985905,249.94025747833413,1052.286218939426,557.9855595785431,620.0706786654345,Burgenland
16.4829,47.4771,W/LWAL+CDN/H:2,"Wood, low rise",797.72,797.72,RES,ALL,RURAL,95,1425.0,107991345.0,32397403.5,53995672.5,21598269.0,1165.6157537604279,261.84217450111186,1102.3950865079698,584.5563005108546,649.5978538399787,Burgenland
16.4829,47.4771,CR+PC/LWAL+CDH/HBET:3-5/5.0,"Concrete wall, mid rise",5.576678189979877,33.460069139879266,RES,ALL,RURAL,91,1575.0,4795664.409473196,1438699.3228419586,2397832.204736598,959132.8818946392,48.89131990091311,10.98287276556127,46.23955249212739,24.518996930307924,27.24714072933219,Burgenland
13.2881,47.4907,MIX(MUR+W)/LWAL+CDN/H:2,"Unreinforced masonry, low rise",3530.5600000000004,3530.5600000000004,RES,ALL,RURAL,95,1500.0,503104800.00000006,150931440.0,251552400.00000003,100620960.00000001,9149.817693978213,2055.401322048725,8653.549881892222,4588.633573530074,5099.194925823674,Salzburg
13.2881,47.4907,MIX(MUR+W)/LWAL+CDL/H:1,"Unreinforced masonry, low rise",1372.7214128056785,1372.7214128056785,RES,ALL,RURAL,135,1500.0,277976086.0931499,83392825.82794496,138988043.04657495,55595217.218629986,3557.551966767925,799.1631374867966,3364.5974631943664,1784.1123113341143,1982.6243040050924,Salzburg
13.2881,47.4907,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",36.26000000000001,217.56000000000006,RES,ALL,RURAL,91,1575.0,31181787.000000007,9354536.100000001,15590893.500000004,6236357.400000002,563.8296297193364,126.65784227570715,533.248638262619,282.7605593042472,314.2223466141911,Salzburg
13.2881,47.4907,CR/LFINF+CDL/H:2/5.0,"Concrete frame with infill panels, low rise, low/moderate code",530.3496523895183,530.3496523895183,RES,ALL,RURAL,95,1575.0,79353566.73878168,23806070.0216345,39676783.36939084,15870713.347756336,1374.4569228192718,308.755941456737,1299.9091282394002,689.2901467938649,765.9850721633339,Salzburg
13.2881,47.4907,CR/LFINF+CDL/HBET:3-5/5.0,"Concrete frame with infill panels, mid rise, low/moderate code",5942.367022217902,35654.20213330741,RES,ALL,RURAL,91,1575.0,5110138520.756285,1533041556.2268853,2555069260.3781424,1022027704.151257,92401.61604505002,20756.96042593597,87389.9371939986,46339.41044659258,51495.436022175716,Salzburg
13.2881,47.4907,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",10212.58,61275.479999999996,RES,ALL,RURAL,91,1575.0,8782308171.0,2634692451.2999997,4391154085.5,1756461634.2,158801.85327851897,35673.01011770659,150188.75836039864,79639.12941917726,88500.29929909417,Salzburg
13.2881,47.4907,CR/LWAL+CDH/HBET:3-5/5.0,"Concrete wall, mid rise, high code",6.9164820846905535,41.49889250814332,RES,ALL,RURAL,91,1575.0,5947828.768729641,1784348.6306188924,2973914.3843648206,1189565.7537459282,107.54874607753715,24.159588995738826,101.71551718778368,53.93569615788488,59.936934113802465,Salzburg
13.2881,47.4907,CR/LWAL+CDL/H:1/5.0,"Concrete wall, low rise, low/moderate code",257.8061237785016,257.8061237785016,RES,ALL,RURAL,135,1575.0,54816027.06840391,16444808.120521171,27408013.534201954,10963205.413680783,668.1316938288744,150.08810150417762,631.8935670189838,335.0680444551805,372.34990432611403,Salzburg
13.2881,47.4907,CR/LWAL+CDL/H:2/5.0,"Concrete wall, low rise, low/moderate code",270.08260586319216,270.08260586319216,RES,ALL,RURAL,95,1575.0,40411109.90228013,12123332.970684038,20205554.951140065,8082221.980456026,699.9474887731066,157.2351539567575,661.9837368770308,351.0236656197129,390.080852151167,Salzburg
13.2881,47.4907,CR/LWAL+CDL/HBET:3-5/5.0,"Concrete wall, mid rise, low/moderate code",36.05120521172638,216.3072312703583,RES,ALL,RURAL,91,1575.0,31002233.921824105,9300670.176547231,15501116.960912053,6200446.784364821,560.5829477513373,125.9285125084388,530.1780498312003,281.13234829729566,312.41297021231156,Salzburg
13.2881,47.4907,CR/LWAL+CDN/H:1,"Concrete wall, low rise, pre code",217.56,217.56,RES,ALL,RURAL,135,1575.0,46258695.0,13877608.5,23129347.5,9251739.0,563.8296297193363,126.65784227570711,533.2486382626189,282.7605593042471,314.22234661419105,Salzburg
13.2881,47.4907,CR/LWAL+CDN/H:2,"Concrete wall, low rise, pre code",227.92,227.92,RES,ALL,RURAL,95,1575.0,34102530.0,10230759.0,17051265.0,6820506.0,590.6786597059713,132.68916809835983,558.6414305608389,296.22534784254464,329.1853155005811,Salzburg
13.2881,47.4907,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",36.26000000000001,217.56000000000006,RES,ALL,RURAL,91,1575.0,31181787.000000007,9354536.100000001,15590893.500000004,6236357.400000002,563.8296297193364,126.65784227570715,533.248638262619,282.7605593042472,314.2223466141911,Salzburg
