LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,ID_2,ID_1,NAME_1
4.3637,50.8423,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",166.75711571399998,Com,Hotels,3565,2835.0,1685376648.1703622,337075329.6340725,505612994.45110863,842688324.0851811,14840.731992007937,7978.051022799644,732.1081498977434,1551.70983525437,3420.6230026505846,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",473.13299670699996,Com,Offices,879,3150.0,1310034297.9321768,262006859.58643535,393010289.379653,655017148.9660884,10382.059786665579,5581.16693599611,512.1573913359997,1085.5222161442864,2392.9488478254652,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR+PC/LWAL+CDN/HBET:6-,"Concrete wall, mid rise",80.212283508,Com,Hotels,5704,2835.0,1297100002.6425064,259420000.52850133,389130000.792752,648550001.3212532,11421.727912836486,6140.069647926814,563.4452596681367,1194.2273162464012,2632.58074128045,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR+PC/LWAL+CDN/HBET:6-,"Concrete wall, mid rise",19.311550886000003,Com,Offices,1055,3150.0,64177111.48189951,12835422.2963799,19253133.44456985,32088555.740949754,508.6054688738218,273.4151107462514,25.0900163850145,53.178516311774615,117.2278811476802,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR/LFINF+CDN/H:1,"Concrete frame with infill panels, low rise, pre code",82.38399216,Com,Trade,941,2394.0,185590867.87440863,37118173.57488173,55677260.362322606,92795433.93720432,1935.2802734898294,1040.3640988621157,95.46931117152677,202.34806719541285,446.06049240968514,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",16.886796527999998,Com,Hotels,1426,2835.0,68268421.19171087,13653684.238342175,20480526.35751326,34134210.59585544,601.1435743598151,323.16156041720075,29.65501366674404,62.85406927612637,138.55688112002372,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",984.8890951860001,Com,Offices,352,3150.0,1092045028.7422366,218409005.74844742,327613508.62267107,546022514.3711183,8654.488509215971,4652.462623807302,426.934572648133,904.8916823023488,1994.762959585928,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",15.446998530000002,Com,Trade,1882,2394.0,69596575.45290326,13919315.090580653,20878972.63587097,34798287.72645163,725.7301025586862,390.13653707329337,35.80099168932255,75.88052519827986,167.2726846536319,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",352.51187752199996,Com,Hotels,3565,2835.0,3562758230.942411,712551646.1884823,1068827469.2827232,1781379115.4712055,31372.180286902847,16864.993934272657,1547.621025733204,3280.1967403478443,7230.937233451236,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",2935.355734672,Com,Offices,879,3150.0,8127559725.946568,1625511945.1893134,2438267917.78397,4063779862.973283,64411.14643155789,34626.01527638403,3177.4662646151824,6734.668443017615,14846.049994672278,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",6.332548697999999,Com,Hotels,5704,2835.0,102402631.78756629,20480526.357513264,30720789.53626989,51201315.89378315,901.7153615397227,484.74234062580115,44.48252050011606,94.28110391418957,207.8353216800356,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",453.821445821,Com,Offices,1055,3150.0,1508162119.8246381,301632423.9649276,452448635.94739145,754081059.9123192,11952.22851853481,6425.255102536907,589.6153850478407,1249.6951333267034,2754.8552069704833,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",420.0590636339999,Com,Hotels,3565,2835.0,4245442442.8595185,849088488.5719037,1273632732.8578556,2122721221.4297593,37383.61603050098,20096.609538444663,1844.1711624006439,3908.737433109108,8616.506044651473,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",2703.617124040001,Com,Offices,879,3150.0,7485910273.898156,1497182054.7796314,2245773082.169447,3742955136.949078,59326.055923803324,31892.382491406348,2926.6136647771423,6202.9840922530675,13673.993416145522,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR/LWAL+CDN/HBET:6-,"Concrete wall, mid rise, pre code",2.1108495659999997,Com,Hotels,5704,2835.0,34134210.595855445,6826842.11917109,10240263.178756634,17067105.297927722,300.57178717990763,161.5807802086004,14.827506833372023,31.42703463806319,69.27844056001186,Bruxelles,1,1,Bruxelles
4.3637,50.8423,CR/LWAL+CDN/HBET:6-,"Concrete wall, mid rise, pre code",521.4118739219999,Com,Offices,1055,3150.0,1732782010.0112865,346556402.00225735,519834603.0033858,866391005.0056431,13732.347659593184,7382.207990148785,677.4304423953912,1435.8199404179145,3165.152790987364,Bruxelles,1,1,Bruxelles
4.3637,50.8423,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",388.396320144,Com,Hotels,357,2295.0,318218931.03878134,63643786.20775627,95465679.3116344,159109465.51939067,3461.4234846202253,1860.7851140151722,170.75548191980033,361.91778599317934,797.8194606427173,Bruxelles,1,1,Bruxelles
4.3637,50.8423,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",675.9042810100002,Com,Offices,176,2550.0,303345841.31728816,60669168.26345762,91003752.39518642,151672920.65864405,2969.6774296329313,1596.4332532672122,146.49715728122214,310.50204784884517,684.4774861324264,Bruxelles,1,1,Bruxelles
4.3637,50.8423,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1838.1928250700007,Com,Trade,941,1938.0,3352235050.9815073,670447010.1963015,1005670515.2944523,1676117525.4907534,43180.94110224184,23213.123955860963,2130.159005514692,4514.891249297651,9952.724736891103,Bruxelles,1,1,Bruxelles
4.3637,50.8423,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",179.42221311,Com,Hotels,1426,2295.0,587189694.1787037,117437938.83574076,176156908.2536111,293594847.08935183,6387.1504775730355,3433.591579432757,315.0845202091554,667.8244860588426,1472.1668619002521,Bruxelles,1,1,Bruxelles
4.3637,50.8423,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",820.7409126550001,Com,Offices,352,2550.0,736697043.1991283,147339408.63982564,221009112.95973843,368348521.59956414,7212.073757679976,3877.052186506085,355.7788105401108,754.076401918624,1662.3024663216067,Bruxelles,1,1,Bruxelles
4.3637,50.8423,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1992.66281037,Com,Trade,1882,1938.0,7267870950.867467,1453574190.1734936,2180361285.26024,3633935475.4337335,93619.18323007053,50327.613282454855,4618.327927922608,9788.587750578095,21578.176320318522,Bruxelles,1,1,Bruxelles
4.3637,50.8423,S/LFM+CDN/HBET:3-5,"Steel, mid rise",4.2216991319999995,Com,Hotels,3565,2700.0,40635964.995065995,8127192.9990132,12190789.4985198,20317982.497532997,375.7147339748845,201.97597526075046,18.534383541715027,39.283793297578995,86.59805070001482,Bruxelles,1,1,Bruxelles
4.3637,50.8423,S/LFM+CDN/HBET:3-5,"Steel, mid rise",48.278877215,Com,Offices,879,3000.0,127311399.215955,25462279.843191,38193419.7647865,63655699.6079775,1059.393855782202,569.5068302036848,52.260958299591806,110.7675730759476,244.17845385974135,Bruxelles,1,1,Bruxelles
4.3637,50.8423,S/LFM+CDN/HBET:6-,"Steel, mid rise",2.1108495659999997,Com,Hotels,5704,2700.0,32508771.9960528,6501754.399210561,9752631.59881584,16254385.9980264,300.57178717990763,161.5807802086004,14.827506833372023,31.42703463806319,69.27844056001186,Bruxelles,1,1,Bruxelles
4.3637,50.8423,S/LFM+CDN/HBET:6-,"Steel, mid rise",19.311550886000003,Com,Offices,1055,3000.0,61121058.55419001,12224211.710838005,18336317.566257004,30560529.277095005,508.6054688738218,273.4151107462514,25.0900163850145,53.178516311774615,117.2278811476802,Bruxelles,1,1,Bruxelles
4.3637,50.8423,W/LWAL+CDN/H:1,"Wood, low rise",196.309009638,Com,Hotels,357,2565.0,179761141.67056477,35952228.33411296,53928342.50116943,89880570.83528239,1749.5238264656573,940.5055195837552,86.30575988337732,182.92583748568302,403.2457056509385,Bruxelles,1,1,Bruxelles
4.3637,50.8423,W/LWAL+CDN/H:1,"Wood, low rise",731.15793042,Com,Trade,941,2166.0,1490250480.7296267,298050096.1459253,447075144.21888787,745125240.3648133,17175.612427222237,9233.231377401276,847.2901366473001,1795.839096359289,3958.7868701359553,Bruxelles,1,1,Bruxelles
4.3637,50.8423,W/LWAL+CDN/H:2,"Wood, low rise",295.51893924,Com,Hotels,713,2565.0,540458334.4343778,108091666.88687555,162137500.33031332,270229167.2171889,5260.006275648383,2827.6636536505066,259.4813695840104,549.9731061661058,1212.3727098002075,Bruxelles,1,1,Bruxelles
4.3637,50.8423,W/LWAL+CDN/H:2,"Wood, low rise",489.15495345000005,Com,Trade,1882,2166.0,1993997122.1030214,398799424.4206044,598199136.6309066,996998561.0515107,22981.453247691734,12354.323673987627,1133.6980701618809,2402.8832979455287,5296.968347365012,Bruxelles,1,1,Bruxelles
4.6376,51.1943,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",180.50579894900002,Com,Hotels,3565,2835.0,1824331496.17278,364866299.234556,547299448.8518339,912165748.08639,23150.14919602197,12445.010904499102,1142.0200099889598,2420.5217245630674,5335.8508796837095,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",512.1415609100002,Com,Offices,879,3150.0,1418043160.925654,283608632.18513083,425412948.2776962,709021580.462827,16195.038966123597,8706.096657330792,798.9174672378432,1693.3127867004682,3732.775637089701,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR+PC/LWAL+CDN/HBET:6-,"Concrete wall, mid rise",86.825574178,Com,Hotels,5704,2835.0,1404042467.9405696,280808493.5881139,421212740.3821708,702021233.9702848,17816.82368503969,9577.932442956266,878.9217292066928,1862.8825424485374,4106.578904870498,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR+PC/LWAL+CDN/HBET:6-,"Concrete wall, mid rise",20.90373718,Com,Offices,1055,3150.0,69468344.583435,13893668.916686999,20840503.3750305,34734172.2917175,793.3768015258709,426.5019142106746,39.138070996072734,82.95349492554124,182.86449337742957,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR/LFINF+CDN/H:1,"Concrete frame with infill panels, low rise, pre code",89.17633446399998,Com,Trade,941,2394.0,200892344.16911384,40178468.83382277,60267703.25073415,100446172.08455692,3018.855612423632,1622.8703624154714,148.92316621647018,315.6439956959839,695.8125081093085,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",18.279068247999998,Com,Hotels,1426,2835.0,73896971.99687207,14779394.399374414,22169091.59906162,36948485.99843603,937.72756237051,504.10170752401405,46.259038379299625,98.04644960255459,216.13573183528942,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",1066.09059618,Com,Offices,352,3150.0,1182081253.044384,236416250.6088768,354624375.9133152,591040626.522192,13500.189896675292,7257.405084274909,665.9778677928889,1411.5461051216269,3111.643019063142,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",16.720562712,Com,Trade,1882,2394.0,75334629.06341769,15066925.812683538,22600388.719025306,37667314.53170885,1132.070854658862,608.5763859058018,55.84618733117632,118.36649838599396,260.9296905409907,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",381.57554967699997,Com,Hotels,3565,2835.0,3856498226.086762,771299645.2173524,1156949467.8260286,1928249113.043381,48937.657161211,26307.80786140948,2414.1435654196994,5116.799088633319,11279.583505154167,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",3177.36805136,Com,Offices,879,3150.0,8797655529.008137,1759531105.8016274,2639296658.702441,4398827764.504068,100475.34378982802,54013.334363848175,4956.549184496006,10505.450758304944,23158.44476888304,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",6.854650593,Com,Hotels,5704,2835.0,110845457.99530812,22169091.599061623,33253637.398592435,55422728.99765406,1406.591343555765,756.1525612860211,69.38855756894944,147.0696744038319,324.2035977529341,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",491.23782373,Com,Offices,1055,3150.0,1632506097.7107224,326501219.54214454,489751829.3132167,816253048.8553612,18644.35483585797,10022.794983950856,919.7446684077094,1949.4071307502195,4297.315594369596,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",454.69182266900003,Com,Hotels,3565,2835.0,4595467946.055483,919093589.2110966,1378640383.816645,2297733973.027741,58314.932784916105,31348.824936649627,2876.7339492126957,6097.263584658866,13440.940823507066,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",2926.5232052,Com,Offices,879,3150.0,8103103776.718019,1620620755.3436038,2430931133.0154057,4051551888.3590093,92543.07980642054,49749.12375617595,4565.242669930532,9676.073066859815,21330.14649765543,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR/LWAL+CDN/HBET:6-,"Concrete wall, mid rise, pre code",2.284883531,Com,Hotels,5704,2835.0,36948485.99843603,7389697.199687207,11084545.79953081,18474242.999218013,468.863781185255,252.05085376200702,23.129519189649812,49.023224801277294,108.06786591764471,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,CR/LWAL+CDN/HBET:6-,"Concrete wall, mid rise, pre code",564.4009038600002,Com,Offices,1055,3150.0,1875645303.7527454,375129060.75054914,562693591.1258236,937822651.8763727,21421.17364119853,11515.551683688223,1056.7279168939644,2239.7443629896147,4937.3413211906,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",420.418569704,Com,Hotels,357,2295.0,344455240.4370328,68891048.08740656,103336572.13110982,172227620.21851638,5399.495802681809,2902.6501546140807,266.36252744209634,564.5577823889033,1244.5234881483602,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",731.6308012999998,Com,Offices,176,2550.0,328355903.62344,65671180.72468799,98506771.087032,164177951.81171998,4632.418101800345,2490.286058329626,228.5218173799128,484.35405567898965,1067.720643796176,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1989.746962728,Com,Trade,941,1938.0,3628617966.554619,725723593.3109237,1088585389.9663856,1814308983.2773094,67358.21585220228,36210.2949613952,3322.8481462049904,7042.806653966641,15525.316587188943,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",194.215100135,Com,Hotels,1426,2295.0,635601931.7588104,127120386.35176209,190680579.52764308,317800965.8794052,9963.35535018667,5356.08064244265,491.5022827800586,1041.7435270271426,2296.4421507499505,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",888.4088301500003,Com,Offices,352,2550.0,797435765.9426402,159487153.18852803,239230729.7827921,398717882.9713201,11250.158247229412,6047.837570229093,554.9815564940741,1176.2884209346892,2593.035849219285,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",2156.9525898479997,Com,Trade,1882,1938.0,7867087692.194047,1573417538.4388096,2360126307.658214,3933543846.0970244,146037.14025099314,78506.3537818484,7204.158165721743,15269.278291793218,33659.93007978779,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,S/LFM+CDN/HBET:3-5,"Steel, mid rise",4.569767062,Com,Hotels,3565,2700.0,43986292.855281,8797258.5710562,13195887.856584296,21993146.427640494,586.0797264815687,315.0635672025088,28.911898987062262,61.279031001596614,135.08483239705592,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,S/LFM+CDN/HBET:3-5,"Steel, mid rise",52.25934295,Com,Offices,879,3000.0,137807887.35915,27561577.47183,41342366.20774499,68903943.679575,1652.554996543224,888.3772099317133,81.52219053447376,172.78701905106809,380.89547317241835,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,S/LFM+CDN/HBET:6-,"Steel, mid rise",2.284883531,Com,Hotels,5704,2700.0,35189034.28422479,7037806.856844959,10556710.285267437,17594517.142112397,468.863781185255,252.05085376200702,23.129519189649812,49.023224801277294,108.06786591764471,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,S/LFM+CDN/HBET:6-,"Steel, mid rise",20.90373718,Com,Offices,1055,3000.0,66160328.1747,13232065.63494,19848098.45241,33080164.08735,793.3768015258709,426.5019142106746,39.138070996072734,82.95349492554124,182.86449337742957,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,W/LWAL+CDN/H:1,"Wood, low rise",212.494168383,Com,Hotels,357,2565.0,194581972.459155,38916394.491831,58374591.7377465,97290986.2295775,2729.0929872250445,1467.1003498864652,134.62888615279866,285.3471400117826,629.0254586836821,Antwerpen,2,2,Vlaanderen
4.6376,51.1943,W/LWAL+CDN/H:1,"Wood, low rise",791.4399683679999,Com,Trade,941,2166.0,1613117692.1674676,322623538.43349355,483935307.6502402,806558846.0837338,26792.34356025973,14402.974466437307,1321.6931001711728,2801.340461801857,6175.336009470112,Antwerpen,2,2,Vlaanderen
