LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_4,NAME_4,ID_1,NAME_1,ID_2,NAME_2
4.3812,51.1366,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",1.6955017301038062,29.4,Res,ALL,RURAL,70.54,1391.25,2885176.2912,865552.8873599998,1442588.1456,577035.25824,71.83138577962481,16.217838871473464,67.91578510939169,35.97416363783703,40.035929206234066,20,Aartselaar,2,Vlaanderen,2,Antwerpen
4.3812,51.1366,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",2.2,2.2,Res,ALL,RURAL,80.0,1391.25,244851.2,73455.36,122425.6,48970.24000000001,5.375137711400497,1.2135797794980143,5.082133579614345,2.6919442177973285,2.995885858969896,20,Aartselaar,2,Vlaanderen,2,Antwerpen
4.3812,51.1366,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",75.34025374855824,1306.3999999999996,Res,ALL,RURAL,70.54,1391.25,128203887.98719998,38461166.39615999,64101943.99359999,25640777.59744,3191.8545028061853,720.6457381528204,3017.8633220037173,1598.5254209683771,1779.0114937083054,20,Aartselaar,2,Vlaanderen,2,Antwerpen
4.3812,51.1366,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",29.307958477508645,508.19999999999993,Res,ALL,RURAL,70.54,1391.25,49872333.0336,14961699.91008,24936166.5168,9974466.60672,1241.6568113335145,280.33692906404116,1173.9728568909136,621.8391143111828,692.0496334220458,20,Aartselaar,2,Vlaanderen,2,Antwerpen
4.3812,51.1366,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",2050.64,2050.64,Res,ALL,RURAL,90.0,1258.75,232321106.88,69696332.064,116160553.44,46464221.376,5010.2147256846865,1131.1887450135487,4737.10291077289,2509.185677629051,2792.4924444718304,20,Aartselaar,2,Vlaanderen,2,Antwerpen
4.3812,51.1366,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",2080.04,2080.04,Res,ALL,RURAL,80.0,1258.75,209468348.16,62840504.448,104734174.08,41893669.632,5082.046111464313,1147.4065838850224,4805.018695882282,2545.159841266889,2832.528373678065,20,Aartselaar,2,Vlaanderen,2,Antwerpen
4.3812,51.1366,MUR/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",5.213379469434833,90.4,Res,ALL,RURAL,70.54,1258.75,8027135.980800001,2408140.79424,4013567.9904000005,1605427.1961600003,220.86929505027496,49.86709639391841,208.82948890778943,110.61443513130844,123.10367347767207,20,Aartselaar,2,Vlaanderen,2,Antwerpen
4.3812,51.1366,W/LWAL+CDN/H:1,"Wood, low rise",28.86000000000001,28.86000000000001,Res,ALL,RURAL,90.0,1258.75,3269607.1200000006,980882.1360000002,1634803.5600000003,653921.4240000001,70.51203379591743,15.919960198323952,66.66835232166818,35.3134136934686,39.30057540448691,20,Aartselaar,2,Vlaanderen,2,Antwerpen
4.3812,51.1366,W/LWAL+CDN/H:2,"Wood, low rise",28.86000000000001,28.86000000000001,Res,ALL,RURAL,80.0,1258.75,2906317.4400000013,871895.2320000002,1453158.7200000002,581263.4880000002,70.51203379591743,15.919960198323952,66.66835232166818,35.3134136934686,39.30057540448691,20,Aartselaar,2,Vlaanderen,2,Antwerpen
4.5076,51.1677,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",2.8517877739331032,49.45,Res,ALL,RURAL,70.54,1391.25,4852788.0136,1455836.40408,2426394.0068,970557.60272,127.54810186166,28.797364019969073,120.59532728107905,63.877875085745394,71.09018879559784,22,Boechout,2,Vlaanderen,2,Antwerpen
4.5076,51.1677,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",6.5500000000000025,6.5500000000000025,Res,ALL,RURAL,80.0,1391.25,728988.8000000002,218696.64000000004,364494.4000000001,145797.76000000007,16.894642410391775,3.8144132321698185,15.97369855795891,8.461073444117948,9.416395078082225,22,Boechout,2,Vlaanderen,2,Antwerpen
4.5076,51.1677,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",53.688004613610154,930.95,Res,ALL,RURAL,70.54,1391.25,91359009.1256,27407702.737680007,45679504.56280001,18271801.82512,2401.2316567869034,542.1416791585483,2270.3381179437924,1202.5704309620767,1338.3500760214724,22,Boechout,2,Vlaanderen,2,Antwerpen
4.5076,51.1677,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",18.84083044982699,326.7,Res,ALL,RURAL,70.54,1391.25,32060785.5216,9618235.65648,16030392.7608,6412157.104320001,842.6686527442736,190.25477907631745,796.7339418145305,422.0202586554707,469.6696598487728,22,Boechout,2,Vlaanderen,2,Antwerpen
4.5076,51.1677,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1800.67,1800.67,Res,ALL,RURAL,90.0,1258.75,204001505.64,61200451.692,102000752.82,40800301.12800001,4644.530648720633,1048.6258740108738,4391.352638528222,2326.045972308375,2588.67482828249,22,Boechout,2,Vlaanderen,2,Antwerpen
4.5076,51.1677,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1850.12,1850.12,Res,ALL,RURAL,80.0,1258.75,186314484.48,55894345.344,93157242.24,37262896.896,4772.078750582292,1077.4232380308426,4511.947965809301,2389.92384739412,2659.765017078088,22,Boechout,2,Vlaanderen,2,Antwerpen
4.5076,51.1677,MUR/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",8.933102652825834,154.89999999999995,Res,ALL,RURAL,70.54,1258.75,13754461.984799994,4126338.595439998,6877230.992399997,2750892.39696,399.53894799537164,90.20650529207701,377.7596804011959,200.094698701354,222.6869614648756,22,Boechout,2,Vlaanderen,2,Antwerpen
4.5076,51.1677,W/LWAL+CDN/H:1,"Wood, low rise",23.33,23.33,Res,ALL,RURAL,90.0,1258.75,2643102.36,792930.708,1321551.18,528620.4720000001,60.17587899762442,13.586299344507148,56.89563165758491,30.136922664316284,33.53961788880278,22,Boechout,2,Vlaanderen,2,Antwerpen
4.5076,51.1677,W/LWAL+CDN/H:2,"Wood, low rise",23.33,23.33,Res,ALL,RURAL,80.0,1258.75,2349424.32,704827.296,1174712.16,469884.864,60.17587899762442,13.586299344507148,56.89563165758491,30.136922664316284,33.53961788880278,22,Boechout,2,Vlaanderen,2,Antwerpen
4.4885,51.1948,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",3.9071510957324103,67.75,Res,ALL,RURAL,70.54,1391.25,6648663.052,1994598.9156,3324331.526,1329732.6104,149.44050359034588,33.74015385886573,141.29435229913258,74.84189636509551,83.29213417436459,24,Borsbeek,2,Vlaanderen,2,Antwerpen
4.4885,51.1948,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",3.95,3.95,Res,ALL,RURAL,80.0,1391.25,439619.2,131885.76,219809.6,87923.84000000001,8.712767367998026,1.9671381216608064,8.237825706001086,4.363475876636564,4.8561465680994855,24,Borsbeek,2,Vlaanderen,2,Antwerpen
4.4885,51.1948,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",103.99942329873127,1803.35,Res,ALL,RURAL,70.54,1391.25,176972199.4808,53091659.84424,88486099.7404,35394439.89616,3977.7643121719602,898.0857042270925,3760.932401751154,1992.120056236088,2217.046054071445,24,Borsbeek,2,Vlaanderen,2,Antwerpen
4.4885,51.1948,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",37.370242214532865,648.0,Res,ALL,RURAL,70.54,1391.25,63591640.703999996,19077492.2112,31795820.351999998,12718328.1408,1429.3350011298028,322.7102538825829,1351.4205208832166,715.830979255821,796.6539180072067,24,Borsbeek,2,Vlaanderen,2,Antwerpen
4.4885,51.1948,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1013.77,1013.77,Res,ALL,RURAL,90.0,1258.75,114852030.84,34455609.252,57426015.42,22970406.168,2236.13725940642,504.86724394837364,2114.2431812589166,1119.888845432367,1246.333090213219,24,Borsbeek,2,Vlaanderen,2,Antwerpen
4.4885,51.1948,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1081.52,1081.52,Res,ALL,RURAL,80.0,1258.75,108913390.08,32674017.024,54456695.04,21782678.016000006,2385.577762996766,538.6073978072393,2255.537533558049,1194.7307417974625,1329.6252243875836,24,Borsbeek,2,Vlaanderen,2,Antwerpen
4.4885,51.1948,MUR/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",11.949250288350632,207.2,Res,ALL,RURAL,70.54,1258.75,18398479.8144,5519543.944320002,9199239.9072,3679695.9628800005,457.03427813903573,103.187599698258,432.1208826033988,228.8891649719231,254.73254909119328,24,Borsbeek,2,Vlaanderen,2,Antwerpen
