LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_3,ID_3,ID_1,NAME_1
18.4935,44.7015,CR/LFINF+CDL/HBET:6-/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",0.1945,Com,Offices,850.0,1050.0,173591.25,34718.25,52077.375,86795.625,34.023317663728896,11.695872691742279,0.5774267357299749,1.2307765048265609,4.501358644099605,Srebrenik,54,2,Federacija Bosna i Hercegovina
18.4935,44.7015,CR/LFINF+CDL/HBET:6-/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",0.035820000000000005,Com,Hotels,548.9227391,945.0,18580.979826261093,3716.1959652522173,5574.293947878326,9290.489913130545,4.04645702112942,1.3910120888119604,0.06867444533409796,0.14637855951084622,0.5353550312189682,Srebrenik,54,2,Federacija Bosna i Hercegovina
18.4935,44.7015,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.398,Com,Hotels,548.9227391,765.0,167130.50637377697,33426.1012747554,50139.151912133086,83565.25318688848,44.96063356810467,15.455689875688448,0.7630493926010884,1.626428439009402,5.948389235766313,Srebrenik,54,2,Federacija Bosna i Hercegovina
18.4935,44.7015,CR/LFINF+CDL/HBET:3-5/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",1.9394,Com,Trade,559.0756616,798.0,865248.5278094179,173049.7055618836,259574.55834282536,432624.26390470896,223.13932055098886,76.7064844022682,3.787008978731107,8.071953351271745,29.52181557742368,Srebrenik,54,2,Federacija Bosna i Hercegovina
18.4935,44.7015,CR/LFINF+CDL/HBET:3-5/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",2.9175,Com,Offices,850.0,1050.0,2603868.75,520773.75,781160.625,1301934.375,510.3497649559336,175.43809037613426,8.661401035949629,18.461647572398416,67.5203796614941,Srebrenik,54,2,Federacija Bosna i Hercegovina
18.4935,44.7015,CR/LFINF+CDL/HBET:3-5/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",0.4378,Com,Hotels,548.9227391,945.0,227100.8645431911,45420.17290863823,68130.25936295732,113550.43227159555,49.45669692491514,17.001258863257295,0.8393543318611973,1.7890712829103428,6.543228159342946,Srebrenik,54,2,Federacija Bosna i Hercegovina
18.4935,44.7015,CR/LFINF+CDL/H:2/0.0,"Concrete frame with infill panels, low rise, low/moderate code",4.8485000000000005,Com,Trade,559.0756616,798.0,2163121.319523545,432624.26390470896,648936.3958570635,1081560.6597617723,557.8483013774721,191.76621100567056,9.467522446827768,20.179883378179365,73.80453894355922,Srebrenik,54,2,Federacija Bosna i Hercegovina
18.4935,44.7015,MCF/LWAL+CDN/H:2,"Confined or reinforced masonry, low rise",0.20298,Com,Hotels,548.9227391,945.0,105292.2190154795,21058.443803095903,31587.66570464385,52646.10950773975,22.929923119733385,7.882401836601108,0.3891551902265552,0.8294785038947953,3.0336785102408204,Srebrenik,54,2,Federacija Bosna i Hercegovina
18.4935,44.7015,CR/LFINF+CDL/H:2/0.0,"Concrete frame with infill panels, low rise, low/moderate code",1.3615000000000002,Com,Offices,850.0,1050.0,1215138.7500000002,243027.75000000012,364541.62500000006,607569.3750000001,238.1632236461023,81.87110884219597,4.041987150109827,8.615435533785929,31.50951050869724,Srebrenik,54,2,Federacija Bosna i Hercegovina
18.4935,44.7015,CR/LFINF+CDL/H:2/0.0,"Concrete frame with infill panels, low rise, low/moderate code",0.08358,Com,Hotels,548.9227391,945.0,43355.61959460921,8671.123918921841,13006.68587838276,21677.8097973046,9.441733049301982,3.2456948738945752,0.1602403724462286,0.3415499721919745,1.249161739510926,Srebrenik,54,2,Federacija Bosna i Hercegovina
18.4935,44.7015,MCF/LWAL+CDN/H:1,"Confined or reinforced masonry, low rise",12.31519,Com,Trade,559.0756616,798.0,5494328.151589803,1098865.6303179606,1648298.4454769408,2747164.0757949017,1416.934685498779,487.08617595440313,24.047507014942532,51.256903780575584,187.4635289166404,Srebrenik,54,2,Federacija Bosna i Hercegovina
