LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1,ID_1
13.8732,50.5411,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",1646.49105,COM,Trade,324,1890.0,1008245259.378,201649051.8756,302473577.8134,504122629.689,39098.96399034295,21793.156494275307,2138.1268458119043,4387.959431744218,9439.747590610476,Ustecky,1
13.8732,50.5411,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",182.23299000000003,COM,Trade,649,1890.0,223528807.86390004,44705761.57278001,67058642.359170005,111764403.93195002,8668.272653090957,4831.560818606777,474.024490034279,972.8142350384388,2092.7998478931645,Ustecky,1
13.8732,50.5411,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",553.7033599999999,COM,Hotels,727,2646.0,1065127038.8371197,213025407.76742396,319538111.6511359,532563519.41855985,29503.42499171336,16444.751787293655,1613.3947956718453,3311.0808765450147,7123.075819836838,Ustecky,1
13.8732,50.5411,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",695.38618,COM,Offices,938,2520.0,1643726036.8367999,328745207.36736,493117811.05103993,821863018.4183999,47806.8093004863,26646.774498546907,2614.3153665970935,5365.214787365676,11542.101550836558,Ustecky,1
13.8732,50.5411,CR/LFINF+CDL/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",61.79725,COM,Hotels,872,2646.0,142585536.49199998,28517107.2984,42775660.94759999,71292768.24599999,3949.5398458645573,2201.4122922172933,215.98058647110335,443.24500828184165,953.5459623234128,Ustecky,1
13.8732,50.5411,CR/LFINF+CDL/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",76.92325,COM,Offices,1125,2520.0,218077413.75,43615482.75,65423224.125,109038706.875,6342.653884069745,3535.2969638452723,346.848027650354,711.8170174474953,1531.3206696477073,Ustecky,1
13.8732,50.5411,CR/LWAL+CDL/HBET:3-5,"Concrete wall, mid rise, low/moderate code",719.3199900000001,COM,Hotels,727,2646.0,1383714144.2035801,276742828.84071606,415114243.261074,691857072.1017901,38328.11014548478,21363.494509385964,2095.9727033058357,4301.448817297321,9253.63867666304,Ustecky,1
13.8732,50.5411,CR/LWAL+CDL/HBET:3-5,"Concrete wall, mid rise, low/moderate code",898.4635599999999,COM,Offices,938,2520.0,2123752224.5856,424750444.91712,637125667.37568,1061876112.2928,61768.0898926637,34428.57590077741,3377.7879957803148,6932.047424383969,14912.803773647232,Ustecky,1
13.8732,50.5411,CR/LWAL+CDL/HBET:6-,"Concrete wall, mid rise, low/moderate code",79.10048,COM,Hotels,872,2646.0,182509486.70976,36501897.341952,54752846.012928,91254743.35488,5055.411002706634,2817.8077340381355,276.4551506830123,567.3536106007574,1220.5388317739682,Ustecky,1
13.8732,50.5411,CR/LWAL+CDL/HBET:6-,"Concrete wall, mid rise, low/moderate code",98.46176,COM,Offices,1125,2520.0,279139089.6,55827817.92000001,83741726.88000001,139569544.8,8118.596971609272,4525.180113721948,443.9654753924531,911.1257823327937,1960.0904571490653,Ustecky,1
13.8732,50.5411,MUR+CB/LWAL+CDN/H:1,"Unreinforced masonry, low rise",24.7189,COM,Hotels,145,2142.0,7677443.151000001,1535488.6302000002,2303232.9453000003,3838721.5755000003,262.69875121576183,146.4242120970218,14.365681210233937,29.4818927526913,63.42392868664901,Ustecky,1
13.8732,50.5411,MUR+CB/LWAL+CDN/H:1,"Unreinforced masonry, low rise",30.7693,COM,Offices,188,2040.0,11800641.936,2360128.3872,3540192.5808,5900320.968,423.97117518403985,236.31496149436848,23.18486371493922,47.58101307737924,102.36027942889564,Ustecky,1
13.8732,50.5411,MUR+CB/LWAL+CDN/H:1,"Unreinforced masonry, low rise",73.53261,COM,Trade,324,1530.0,36451585.4292,7290317.085840001,10935475.62876,18225792.7146,1746.1673238405592,973.2866007152082,95.48916010422099,195.9671202526544,421.5809603573612,Ustecky,1
13.8732,50.5411,MUR+CB/LWAL+CDN/H:2,"Unreinforced masonry, low rise",56.85347,COM,Hotels,291,2142.0,35438018.627340004,7087603.725468001,10631405.588202002,17719009.313670002,1212.581201301444,675.8739665968046,66.31000299316948,136.08435047845717,292.7561066894771,Ustecky,1
13.8732,50.5411,MUR+CB/LWAL+CDN/H:2,"Unreinforced masonry, low rise",70.76939,COM,Offices,375,2040.0,54138583.35,10827716.670000002,16241575.004999999,27069291.675,1945.0805244480548,1084.157735579217,106.36672847944187,218.29055201723185,469.60500535863025,Ustecky,1
13.8732,50.5411,MUR+CB/LWAL+CDN/H:2,"Unreinforced masonry, low rise",31.9707,COM,Trade,649,1530.0,31745945.979000002,6349189.195800001,9523783.7937,15872972.989500001,1520.7495882615713,847.6422488783818,83.16219123408403,170.66916404183135,367.1578680514324,Ustecky,1
13.8732,50.5411,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",521.56879,COM,Hotels,145,2142.0,161994050.48610002,32398810.097220004,48598215.145830005,80997025.24305001,5542.943650652574,3089.5508752471596,303.1158735359361,622.0679370817865,1338.244895288294,Ustecky,1
13.8732,50.5411,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",280.00063,COM,Offices,188,2040.0,107385841.6176,21477168.32352,32215752.485279996,53692920.8088,3858.1376941747617,2150.4661495987525,210.98225980594685,432.987219004151,931.4785428029501,Ustecky,1
13.8732,50.5411,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",674.5817700000001,COM,Trade,324,1530.0,334403675.02440006,66880735.00488001,100321102.50732002,167201837.51220003,16019.187188276437,8928.846641343867,876.0092513908971,1797.7853205786998,3867.5470711044877,Ustecky,1
13.8732,50.5411,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",224.94199,COM,Hotels,291,2142.0,140211291.09078,28042258.218156,42063387.32723399,70105645.54539,4797.603883410061,2674.1100417525754,262.3569683642792,538.4206910234609,1158.2959003801052,Ustecky,1
13.8732,50.5411,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",649.2322300000001,COM,Offices,375,2040.0,496662655.95000005,99332531.19000001,148998796.785,248331327.97500002,17843.99959384955,9945.968791618034,975.7991177896627,2002.5785424189532,4308.115483942216,Ustecky,1
13.8732,50.5411,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",290.93337,COM,Trade,649,1530.0,288888108.4089,57777621.68178001,86666432.52267,144444054.20445,13838.821253180298,7713.544464793274,756.7759402301647,1553.0893927806653,3341.1365992680344,Ustecky,1
13.8732,50.5411,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",155.72907,COM,Hotels,145,2142.0,48367891.8513,9673578.37026,14510367.55539,24183945.92565,1655.0021326592994,922.4725362112373,90.50379162447379,185.73592434195518,399.5707507258888,Ustecky,1
13.8732,50.5411,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",83.07711,COM,Offices,188,2040.0,31861733.2272,6372346.645440001,9558519.96816,15930866.6136,1144.7221729969076,638.0503960347949,62.599132030335895,128.46873530892395,276.3727544580183,Ustecky,1
13.8732,50.5411,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",201.41541,COM,Trade,324,1530.0,99845647.0452,19969129.40904,29953694.113560002,49922823.5226,4782.9800609545755,2665.9589497851352,261.557264633301,536.7795033007492,1154.7652392397283,Ustecky,1
13.8732,50.5411,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",66.74103000000001,COM,Hotels,291,2142.0,41601152.30166001,8320230.4603320025,12480345.690498002,20800576.150830004,1423.464888484304,793.4172651353796,77.84217742676418,159.751194039928,343.6702122006906,Ustecky,1
