LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,NAME_2,ID_1,NAME_1
29.7711,62.6949,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",11098.351,33295.053,Res,ALL,RURAL,57.0,1837.5,3487240613.5875,1046172184.07625,1743620306.79375,697448122.7175001,56782.619935930496,12176.209497271228,53602.11182807916,27814.455332036134,31197.592219128837,1,North Karelia,1,Eastern Finland
29.7711,62.6949,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",7910.1543,23730.4629,Res,ALL,URBAN,57.0,2100.0,2840536409.13,852160922.7389997,1420268204.5649998,568107281.826,40470.8127587122,8678.378969320831,38203.96159447121,19824.263392540342,22235.5346521108,1,North Karelia,1,Eastern Finland
29.7711,62.6949,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",654.9632,6549.632000000001,Res,ALL,RURAL,57.0,1837.5,685992081.6,205797624.48,342996040.8,137198416.32000002,11169.985660518647,2395.241460106147,10544.332423701677,5471.516945934115,6137.0302765806455,1,North Karelia,1,Eastern Finland
29.7711,62.6949,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",466.8135,4668.135,Res,ALL,URBAN,57.0,2100.0,558775759.5,167632727.85,279387879.75,111755151.9,7961.210799532741,1707.1662184032032,7515.287460229311,3899.7274592539175,4374.060379295477,1,North Karelia,1,Eastern Finland
29.7711,62.6949,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",6245.0739,6245.0739,Res,ALL,RURAL,102.0,1662.5,1059008406.5925,317702521.97775,529504203.2962501,211801681.31850004,10650.580965751855,2283.8626546814826,10054.020624698163,5217.091230844855,5851.658170074833,1,North Karelia,1,Eastern Finland
29.7711,62.6949,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",4451.0665,4451.0665,Res,ALL,URBAN,79.0,1900.0,668105081.65,200431524.495,334052540.825,133621016.33,7591.014117894704,1627.78290787781,7165.826235123186,3718.3899465236605,4170.666363174885,1,North Karelia,1,Eastern Finland
29.7711,62.6949,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",533.795,1067.59,Res,ALL,RURAL,79.0,1662.5,140214601.625,42064380.4875,70107300.8125,28042920.325000007,1820.7076353775449,390.4243521460016,1718.726159304778,891.857248820972,1000.3359200905838,1,North Karelia,1,Eastern Finland
29.7711,62.6949,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",380.453,760.9060000000002,Res,ALL,URBAN,57.0,1900.0,82406119.80000001,24721835.94,41203059.90000001,16481223.960000005,1297.677351796651,278.26809177119077,1224.991847967817,635.6555716814232,712.9718371401436,1,North Karelia,1,Eastern Finland
29.7711,62.6949,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",225.9623,451.9246,Res,ALL,RURAL,79.0,1662.5,59354647.1525,17806394.145749994,29677323.57625,11870929.4305,770.7289969322894,165.27165782167395,727.558924356118,377.53466258630965,423.4550815880338,1,North Karelia,1,Eastern Finland
29.7711,62.6949,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",161.0506,322.1012,Res,ALL,URBAN,57.0,1900.0,34883559.96,10465067.988,17441779.98,6976711.9920000015,549.3233490424881,117.79442701360048,518.5546496159202,269.0810986183214,301.81005841594737,1,North Karelia,1,Eastern Finland
29.7711,62.6949,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",1296.8271,2593.6542,Res,ALL,RURAL,79.0,1662.5,340644058.4925,102193217.54775,170322029.24625,68128811.6985,4423.31419877391,948.5155918711827,4175.555523872185,2166.720650441611,2430.2639220616597,1,North Karelia,1,Eastern Finland
29.7711,62.6949,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",924.2907,1848.5814,Res,ALL,URBAN,57.0,1900.0,200201365.62,60060409.686000004,100100682.81,40040273.12400001,3152.639374288736,676.0378005452924,2976.053737656076,1544.2920237409687,1732.127853980779,1,North Karelia,1,Eastern Finland
29.7711,62.6949,W/LPB+CDL/HBET:1-3,"Wood, low rise",3025.9299,3025.9299,Res,ALL,RURAL,102.0,1662.5,513122062.7925,153936618.83775,256561031.39625,102624412.5585,5160.533231902896,1106.6015238497137,4871.481444517552,2527.840758848546,2835.307909071937,1,North Karelia,1,Eastern Finland
29.7711,62.6949,W/LPB+CDL/HBET:1-3,"Wood, low rise",2156.6782,2156.6782,Res,ALL,URBAN,79.0,1900.0,323717397.82,97115219.346,161858698.91,64743479.563999996,3678.079099459812,788.7107307322145,3472.062532940869,1801.6739441584934,2020.815735943859,1,North Karelia,1,Eastern Finland
29.7711,62.6949,W/LWAL+CDL/HBET:1-3,"Wood, low rise",1319.7508,2639.5016,Res,ALL,RURAL,79.0,1662.5,346665541.39,103999662.41700001,173332770.695,69333108.278,4501.504057467049,965.2822733149754,4249.365812200205,2205.021249013717,2473.2231115096324,1,North Karelia,1,Eastern Finland
29.7711,62.6949,W/LWAL+CDL/HBET:1-3,"Wood, low rise",940.6292,1881.2584,Res,ALL,URBAN,57.0,1900.0,203740284.72,61122085.41599999,101870142.36,40748056.94400001,3208.367943684509,687.9879841879596,3028.660838422852,1571.5901619023637,1762.7463281710584,1,North Karelia,1,Eastern Finland
27.6117,62.9206,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",15344.0399,46032.1197,Res,ALL,RURAL,57.0,1837.5,4821289137.07875,1446386741.1236248,2410644568.539375,964257827.41575,135364.60263078022,29026.976247432674,127782.56050822494,66307.13231726401,74372.22302430721,2,North Savonia,1,Eastern Finland
27.6117,62.9206,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",12512.9794,37538.9382,Res,ALL,URBAN,57.0,2100.0,4493410902.540001,1348023270.7620006,2246705451.2700005,898682180.5080003,110389.08235686607,23671.33806973576,104205.96907589328,54073.098490769626,60650.135212132875,2,North Savonia,1,Eastern Finland
