LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_0,ID_0
-5.3507,36.1384,CR/LFM+CDL/H:1,"Concrete frame, low rise, low/moderate code",7.700000000000001,Com,Hotels,255,3297.0,6473659.500000001,1294731.9000000004,1942097.85,3236829.7500000005,37.885878431668,20.129676471827572,1.8909789072206291,3.867901929663497,8.629519102903897,Gibraltar,88
-5.3507,36.1384,CR/LFM+CDL/H:1,"Concrete frame, low rise, low/moderate code",32.40000000000001,Com,Offices,118,3150.0,12043080.000000006,2408616.0000000014,3612924.000000002,6021540.000000003,73.76892814869015,39.19520197967466,3.6819916262214982,7.5313280659482995,16.802840557281485,Gibraltar,88
-5.3507,36.1384,CR/LFM+CDL/H:1,"Concrete frame, low rise, low/moderate code",53.29999999999999,Com,Trade,249,2352.0,31215038.399999995,6243007.68,9364511.519999998,15607519.199999996,256.0784378821329,136.06061992928642,12.781515030791958,26.143943997919536,58.32869298599929,Gibraltar,88
-5.3507,36.1384,CR/LFM+CDL/H:2,"Concrete frame, low rise, low/moderate code",3.1500000000000004,Com,Hotels,509,3297.0,5286244.95,1057248.99,1585873.485,2643122.475,30.936757414522468,16.437441696513734,1.544130904452353,3.1584418430995505,7.0466714813552125,Gibraltar,88
-5.3507,36.1384,CR/LFM+CDL/H:2,"Concrete frame, low rise, low/moderate code",81.89999999999998,Com,Offices,235,3150.0,60626474.99999999,12125294.999999998,18187942.5,30313237.499999996,371.3626479424996,197.3138875554006,18.535638165430008,37.913712497717576,84.58774607284941,Gibraltar,88
-5.3507,36.1384,CR/LFM+CDL/H:2,"Concrete frame, low rise, low/moderate code",5.8500000000000005,Com,Trade,498,2352.0,6852081.6000000015,1370416.3200000005,2055624.48,3426040.8000000007,56.21234002290725,29.866965350331174,2.8056984213933576,5.738914536128683,12.80385943595107,Gibraltar,88
-5.3507,36.1384,CR/LFM+CDL/HBET:3-5,"Concrete frame, mid rise, low/moderate code",18.55,Com,Hotels,1273,3297.0,77855852.55,15571170.51,23356755.765,38927926.275,455.6367793059195,242.09075612793842,22.741970747106706,46.517553528068895,103.783426801038,Gibraltar,88
-5.3507,36.1384,CR/LFM+CDL/HBET:3-5,"Concrete frame, mid rise, low/moderate code",196.2,Com,Offices,588,3150.0,363401640.0,72680328.0,109020492.0,181700820.0,2225.987826226859,1182.7207557821594,111.1046173765481,227.25888813689187,507.02808709853315,Gibraltar,88
-5.3507,36.1384,CR/LFM+CDL/HBET:6-,"Concrete frame, mid rise, low/moderate code",1.5750000000000002,Com,Hotels,1528,3297.0,7934560.200000001,1586912.0400000003,2380368.06,3967280.1000000006,46.43552586384121,24.672309344079572,2.3177131846789742,4.740765359780073,10.57692929617954,Gibraltar,88
-5.3507,36.1384,CR/LFM+CDL/HBET:6-,"Concrete frame, mid rise, low/moderate code",16.200000000000006,Com,Offices,706,3150.0,36027180.00000001,7205436.000000004,10808154.000000004,18013590.000000007,220.6816240380307,117.25344321038263,11.014771559798207,22.53015938372669,50.26612471796918,Gibraltar,88
