LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1,ID_1
-17.7598,65.9962,CR+PC/LWAL+CDH+LFC:20.0/H:2,"Concrete wall, low rise",0.5275,Com,Hotels,681.3436,4515.0,1622730.501735,324546.100347,486819.1505205,811365.2508675,10.067657021097332,5.89728614879159,0.5814726327390081,1.2359106097384192,2.571556463756339,Northeastern Region,2
-17.7598,65.9962,CR+PC/LWAL+CDN/H:2,"Concrete wall, low rise",0.3448,Com,Trade,465.4105,3213.0,515601.4853052,103120.29706104,154680.44559156,257800.7426526,4.495139782221624,2.6330978021029403,0.2596235408318832,0.5518256072354177,1.1481823167234138,Northeastern Region,2
-17.7598,65.9962,CR+PC/LWAL+CDH+LFC:20.0/H:2,"Concrete wall, low rise",0.5172,Com,Trade,465.4105,3213.0,773402.2279578,154680.44559156,232020.66838734,386701.1139789,6.7427096733324365,3.949646703154412,0.3894353112478249,0.8277384108531267,1.7222734750851207,Northeastern Region,2
-17.7598,65.9962,CR+PC/LWAL+CDH+LFC:20.0/H:1,"Concrete wall, low rise",0.5275,Com,Hotels,340.6718,4515.0,811365.2508675,162273.0501735,243409.57526025,405682.62543375,5.033828510548666,2.948643074395795,0.29073631636950403,0.6179553048692096,1.2857782318781694,Northeastern Region,2
-17.7598,65.9962,CR+PC/LWAL+CDN/H:2,"Concrete wall, low rise",2.7880000000000003,Com,Offices,178.166,4305.0,2138408.9084400004,427681.7816880001,641522.6725320001,1069204.4542200002,13.914171956143635,8.150441892976454,0.8036338725850101,1.7081107064221712,3.5540621573278792,Northeastern Region,2
-17.7598,65.9962,CR+PC/LWAL+CDH+LFC:20.0/H:2,"Concrete wall, low rise",1.6728,Com,Offices,178.166,4305.0,1283045.345064,256609.06901279997,384913.6035192,641522.672532,8.348503173686181,4.890265135785873,0.48218032355100604,1.0248664238533025,2.132437294396727,Northeastern Region,2
-17.7598,65.9962,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",1.3715000000000002,Com,Hotels,3406.7182,4515.0,21095497.7610195,4219099.5522039,6328649.328305852,10547748.88050975,130.87954895787993,76.66472443508701,7.559144669385793,16.06683886984382,33.43023599143888,Northeastern Region,2
-17.7598,65.9962,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",10.0368,Com,Offices,445.4151,4305.0,19245684.4968024,3849136.89936048,5773705.349040719,9622842.2484012,125.22757572009523,73.35399350546946,7.232706477077683,15.372999809186751,31.98656659724463,Northeastern Region,2
-17.7598,65.9962,CR+PC/LWAL+CDN/HBET:6-,"Concrete wall, mid rise",0.211,Com,Hotels,4088.0618,4515.0,3894553.394697,778910.6789394001,1168366.0184091,1947276.6973485,24.16237803272816,14.153487449530024,1.3955343868472638,2.9661856084867253,6.171735814954669,Northeastern Region,2
-17.7598,65.9962,CR+PC/LWAL+CDN/HBET:6-,"Concrete wall, mid rise",1.6728,Com,Offices,534.4981,4305.0,3849136.7553323996,769827.35106648,1154741.02659972,1924568.3776661998,25.045514206858964,14.670798152137845,1.4465412412884495,3.07459984679111,6.397313080072467,Northeastern Region,2
-17.7598,65.9962,CR/LWAL+CDH+LFC:20.0/H:1,"Concrete wall, low rise, high code",10.4445,Com,Hotels,340.6718,4515.0,16065031.9671765,3213006.393435301,4819509.59015295,8032515.98358825,99.6698045088636,58.38313287303673,5.756579064116181,12.235515036410352,25.458408991187753,Northeastern Region,2
-17.7598,65.9962,CR/LWAL+CDH+LFC:20.0/H:1,"Concrete wall, low rise, high code",12.267200000000004,Com,Offices,89.083,4305.0,4704499.598568002,940899.9197136004,1411349.8795704006,2352249.799284001,30.611178303516013,17.930972164548205,1.7679945196870224,3.757843554128777,7.8189367461213335,Northeastern Region,2
-17.7598,65.9962,CR/LWAL+CDH+LFC:20.0/H:1,"Concrete wall, low rise, high code",15.4298,Com,Trade,232.7052,3213.0,11536580.75490648,2307316.150981296,3460974.226471944,5768290.37745324,100.57873101644743,58.915550663214844,5.809075477951446,12.347095308944596,25.69057381670363,Northeastern Region,2
-17.7598,65.9962,CR/LWAL+CDH+LFC:20.0/H:2,"Concrete wall, low rise, high code",2.6375,Com,Hotels,681.3436,4515.0,8113652.5086750025,1622730.5017350004,2434095.7526025004,4056826.2543375012,50.33828510548667,29.48643074395795,2.9073631636950408,6.179553048692098,12.857782318781695,Northeastern Region,2
-17.7598,65.9962,CR/LWAL+CDH+LFC:20.0/H:2,"Concrete wall, low rise, high code",47.9536,Com,Offices,178.166,4305.0,36780633.22516801,7356126.645033603,11034189.9675504,18390316.612584,239.32375764567055,140.187600559195,13.822502608462171,29.37950415046134,61.12986910603951,Northeastern Region,2
-17.7598,65.9962,CR/LWAL+CDH+LFC:20.0/H:2,"Concrete wall, low rise, high code",3.879,Com,Trade,465.4105,3213.0,5800516.709683498,1160103.3419366998,1740155.0129050496,2900258.354841749,50.57032254999328,29.622350273658085,2.9207648343586867,6.208038081398452,12.917051063138409,Northeastern Region,2
-17.7598,65.9962,CR/LWAL+CDH+LFC:20.0/HBET:3-5,"Concrete wall, mid rise, high code",36.714,Com,Hotels,3406.7182,4515.0,564710247.7565218,112942049.5513044,169413074.32695657,282355123.87826097,3503.5448490263243,2052.255700262329,202.35248807278893,430.0969174388961,894.9017019246713,Northeastern Region,2
-17.7598,65.9962,CR/LWAL+CDH+LFC:20.0/HBET:3-5,"Concrete wall, mid rise, high code",181.22000000000003,Com,Offices,445.4151,4305.0,347491525.63671005,69498305.12734202,104247457.691013,173745762.81835502,2261.0534505017195,1324.4471049598649,130.59053361390258,277.5680521103164,577.5352302280279,Northeastern Region,2
-17.7598,65.9962,CR/LWAL+CDH+LFC:20.0/HBET:6-,"Concrete wall, mid rise, high code",3.587,Com,Hotels,4088.0618,4515.0,66207407.70984899,13241481.5419698,19862222.312954694,33103703.854924496,410.7604265563786,240.60928664201043,23.724084576403488,50.42515534427432,104.91950885422943,Northeastern Region,2
-17.7598,65.9962,CR/LWAL+CDH+LFC:20.0/HBET:6-,"Concrete wall, mid rise, high code",26.2072,Com,Offices,534.4981,4305.0,60303142.5002076,12060628.50004152,18090942.75006228,30151571.2501038,392.37972257412366,229.84250438349284,22.66247944685238,48.16873093306072,100.22457158780199,Northeastern Region,2
