LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,NAME_2,ID_1,NAME_1
-14.4,65.2589,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",0.2413383796378029,Ind,776.0216283571167,2677.5,501452.3807963978,75217.85711945967,125363.09519909947,300871.4284778387,27.180267920407147,15.92126322853125,1.5698371441449956,3.3366632800431417,6.9425878842397974,IS002_7620,Fljotsdalsherad,1,Eastern Region
-14.4,65.2589,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",0.13163911616607432,Ind,776.0216283571167,2677.5,273519.4804343989,41027.92206515983,68379.87010859973,164111.68826063932,14.825600683858445,8.684325397380682,0.8562748058972702,1.819998152750805,3.786866118676252,IS002_7620,Fljotsdalsherad,1,Eastern Region
-14.4,65.2589,CR/LWAL+CDH/H:1,"Concrete wall, low rise, high code",0.6801354335247173,Ind,776.0216283571167,2677.5,1413183.982244394,211977.5973366591,353295.9955610985,847910.3893466364,76.59893686660196,44.869014553133525,4.424086497135897,9.40332378921249,19.565474946493968,IS002_7620,Fljotsdalsherad,1,Eastern Region
-14.4,65.2589,CR/LWAL+CDM/HBET:3-5,"Concrete wall, mid rise, low/moderate code",0.19745867424911148,Ind,776.0216283571167,2677.5,410279.2206515983,61541.88309773973,102569.80516289957,246167.53239095892,22.238401025787663,13.026488096071027,1.2844122088459051,2.7299972291262065,5.680299178014378,IS002_7620,Fljotsdalsherad,1,Eastern Region
-14.4,65.2589,MR/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",0.02193985269434573,Ind,776.0216283571167,2677.5,45586.58007239981,6837.987010859973,11396.645018099956,27351.948043439894,2.4709334473097413,1.4473875662301143,0.1427124676495451,0.3033330254584675,0.6311443531127089,IS002_7620,Fljotsdalsherad,1,Eastern Region
-14.4,65.2589,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.02193985269434573,Ind,776.0216283571167,2422.5,41245.00101788555,6186.750152682834,10311.250254471388,24747.000610731335,2.4709334473097413,1.4473875662301143,0.1427124676495451,0.3033330254584675,0.6311443531127089,IS002_7620,Fljotsdalsherad,1,Eastern Region
-14.4,65.2589,S/LFBR+CDH/H:1,"Steel, low rise",0.3071579377208401,Ind,776.0216283571167,2550.0,607821.0676319974,91173.1601447996,151955.26690799935,364692.6405791984,34.593068262336374,20.263425927221594,1.9979745470936303,4.246662356418544,8.836020943577921,IS002_7620,Fljotsdalsherad,1,Eastern Region
-14.4,65.2589,S/LFM+CDH/H:1,"Steel, low rise",0.26327823233214864,Ind,776.0216283571167,2550.0,520989.48654171213,78148.42298125682,130247.37163542803,312593.6919250273,29.65120136771689,17.368650794761365,1.7125496117945405,3.63999630550161,7.573732237352504,IS002_7620,Fljotsdalsherad,1,Eastern Region
-14.4,65.2589,S/LFM+CDH/HBET:3-5,"Steel, mid rise",0.02193985269434573,Ind,776.0216283571167,2550.0,43415.79054514269,6512.368581771402,10853.947636285673,26049.47432708561,2.4709334473097413,1.4473875662301143,0.1427124676495451,0.3033330254584675,0.6311443531127089,IS002_7620,Fljotsdalsherad,1,Eastern Region
-14.4,65.2589,W/LWAL+CDM/H:1,"Wood, low rise",0.3071579377208401,Ind,776.0216283571167,2422.5,577430.0142503976,86614.50213755963,144357.5035625994,346458.0085502385,34.593068262336374,20.263425927221594,1.9979745470936303,4.246662356418544,8.836020943577921,IS002_7620,Fljotsdalsherad,1,Eastern Region
-14.3917,65.2589,CR+PC/LFM+CDL/H:1,"Concrete frame, low rise",0.20012071348932226,Ind,776.0216283571167,2677.5,415810.40022104967,62371.56003315745,103952.60005526242,249486.24013262975,22.53820804310565,13.202104703473804,1.301728012841632,2.766801688475672,5.7568781349303695,IS002_7620,Fljotsdalsherad,1,Eastern Region
-14.3917,65.2589,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",0.10915675281235758,Ind,776.0216283571167,2677.5,226805.67284784524,34020.85092717678,56701.41821196131,136083.40370870713,12.293568023512172,7.2011480200766185,0.7100334615499808,1.509164557350366,3.1401153463256555,IS002_7620,Fljotsdalsherad,1,Eastern Region
-14.3917,65.2589,CR/LWAL+CDH/H:1,"Concrete wall, low rise, high code",0.5639765561971808,Ind,776.0216283571167,2677.5,1171829.309713867,175774.39645708006,292957.3274284668,703097.5858283202,63.51676812147955,37.20593143706253,3.6685062180082335,7.797350212976892,16.22392928934922,IS002_7620,Fljotsdalsherad,1,Eastern Region
