LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1
-6.9233,52.8479,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",4.2403707914354944,Ind,796.7320781743776,2100.0,7094722.809069698,1064208.4213604543,1773680.7022674244,4256833.685441818,983.0071342913247,532.6030954303826,50.376658114594676,105.38868637094005,229.4561466386391,1,Carlow
-6.9233,52.8479,CR/LFINF+CDN/H:1,"Concrete frame with infill panels, low rise, pre code",1.0600926978588736,Ind,796.7320781743776,2100.0,1773680.7022674244,266052.10534011363,443420.1755668561,1064208.4213604543,245.7517835728312,133.15077385759562,12.594164528648667,26.347171592735013,57.364036659659774,1,Carlow
-6.9233,52.8479,CR/LFM+CDN/H:2,"Concrete frame, low rise, pre code",4.2403707914354944,Ind,796.7320781743776,2100.0,7094722.809069698,1064208.4213604543,1773680.7022674244,4256833.685441818,983.0071342913247,532.6030954303826,50.376658114594676,105.38868637094005,229.4561466386391,1,Carlow
-6.9233,52.8479,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1.0600926978588736,Ind,796.7320781743776,1900.0,1604758.7306229074,240713.8095934361,401189.68265572685,962855.2383737444,245.7517835728312,133.15077385759562,12.594164528648667,26.347171592735013,57.364036659659774,1,Carlow
-6.9233,52.8479,S+SL/LFM+CDN/H:1,"Steel, low rise",5.300463489294367,Ind,796.7320781743776,2000.0,8446098.58222583,1266914.7873338743,2111524.6455564573,5067659.149335497,1228.7589178641558,665.7538692879783,62.970822643243345,131.73585796367507,286.8201832982989,1,Carlow
-6.9233,52.8479,S/LFBR+CDN/H:1,"Steel, low rise",2.1201853957177472,Ind,796.7320781743776,2000.0,3378439.4328903323,506765.91493354976,844609.8582225831,2027063.6597341998,491.5035671456624,266.3015477151913,25.188329057297334,52.694343185470025,114.72807331931955,1,Carlow
-6.9233,52.8479,S/LFM+CDN/H:1,"Steel, low rise",3.18027809357662,Ind,796.7320781743776,2000.0,5067659.149335497,760148.8724003246,1266914.7873338743,3040595.4896012982,737.2553507184933,399.45232157278684,37.782493585946,79.04151477820506,172.0921099789793,1,Carlow
-6.8066,52.7563,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",3.138207240684164,Ind,796.7320781743776,2100.0,5250651.790885564,787597.7686328345,1312662.947721391,3150391.074531338,727.5024421703697,394.16809819232805,37.282681405126034,77.99590057630644,169.81556005792015,1,Carlow
-6.8066,52.7563,CR/LFINF+CDN/H:1,"Concrete frame with infill panels, low rise, pre code",0.7845518101710409,Ind,796.7320781743776,2100.0,1312662.947721391,196899.44215820864,328165.7369303477,787597.7686328345,181.87561054259243,98.54202454808201,9.320670351281509,19.49897514407661,42.45389001448004,1,Carlow
-6.8066,52.7563,CR/LFM+CDN/H:2,"Concrete frame, low rise, pre code",3.138207240684164,Ind,796.7320781743776,2100.0,5250651.790885564,787597.7686328345,1312662.947721391,3150391.074531338,727.5024421703697,394.16809819232805,37.282681405126034,77.99590057630644,169.81556005792015,1,Carlow
-6.8066,52.7563,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.7845518101710409,Ind,796.7320781743776,1900.0,1187647.4288907822,178147.11433361736,296911.85722269554,712588.4573344694,181.87561054259243,98.54202454808201,9.320670351281509,19.49897514407661,42.45389001448004,1,Carlow
-6.8066,52.7563,S+SL/LFM+CDN/H:1,"Steel, low rise",3.922759050855205,Ind,796.7320781743776,2000.0,6250775.9415304335,937616.391229565,1562693.9853826084,3750465.56491826,909.3780527129622,492.71012274041016,46.603351756407534,97.49487572038305,212.26945007240025,1,Carlow
-6.8066,52.7563,S/LFBR+CDN/H:1,"Steel, low rise",1.5691036203420818,Ind,796.7320781743776,2000.0,2500310.376612173,375046.55649182596,625077.5941530432,1500186.2259673038,363.75122108518485,197.08404909616402,18.64134070256301,38.99795028815321,84.90778002896008,1,Carlow
-6.8066,52.7563,S/LFM+CDN/H:1,"Steel, low rise",2.3536554305131228,Ind,796.7320781743776,2000.0,3750465.56491826,562569.834737739,937616.3912295648,2250279.338950956,545.6268316277773,295.626073644246,27.96201105384452,58.49692543222982,127.3616700434401,1,Carlow
-6.94,52.8312,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",0.5106518102271532,Ind,796.7320781743776,2100.0,854390.6237701542,128158.59356552313,213597.65594253852,512634.3742620925,118.37982980307665,64.13937558560497,6.066670327833172,12.69156074310275,27.632535552180293,1,Carlow
-6.94,52.8312,CR/LFINF+CDN/H:1,"Concrete frame with infill panels, low rise, pre code",0.1276629525567883,Ind,796.7320781743776,2100.0,213597.65594253852,32039.648391380786,53399.41398563464,128158.59356552313,29.59495745076916,16.03484389640124,1.5166675819582929,3.1728901857756875,6.908133888045073,1,Carlow
-6.94,52.8312,CR/LFM+CDN/H:2,"Concrete frame, low rise, pre code",0.5106518102271532,Ind,796.7320781743776,2100.0,854390.6237701542,128158.59356552313,213597.65594253852,512634.3742620925,118.37982980307665,64.13937558560497,6.066670327833172,12.69156074310275,27.632535552180293,1,Carlow
-6.94,52.8312,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.1276629525567883,Ind,796.7320781743776,1900.0,193255.02204324922,28988.25330648737,48313.75551081228,115953.01322594949,29.59495745076916,16.03484389640124,1.5166675819582929,3.1728901857756875,6.908133888045073,1,Carlow
-6.94,52.8312,S+SL/LFM+CDN/H:1,"Steel, low rise",0.6383147627839415,Ind,796.7320781743776,2000.0,1017131.6949644692,152569.7542446704,254282.9237411173,610279.0169786816,147.97478725384582,80.17421948200621,7.583337909791465,15.864450928878435,34.54066944022537,1,Carlow
-6.94,52.8312,S/LFBR+CDN/H:1,"Steel, low rise",0.2553259051135766,Ind,796.7320781743776,2000.0,406852.67798578774,61027.90169786816,101713.16949644694,244111.60679147264,59.18991490153832,32.06968779280248,3.0333351639165858,6.345780371551375,13.816267776090147,1,Carlow
-6.94,52.8312,S/LFM+CDN/H:1,"Steel, low rise",0.3829888576703649,Ind,796.7320781743776,2000.0,610279.0169786816,91541.85254680224,152569.7542446704,366167.4101872089,88.78487235230749,48.10453168920371,4.550002745874878,9.518670557327061,20.72440166413522,1,Carlow
-6.9233,52.6062999999999,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",2.1249081346957217,Ind,796.7320781743776,2100.0,3555263.195580102,533289.4793370153,888815.7988950255,2133157.9173480608,492.5983973709156,266.8947376795357,25.244436369266,52.81172048133455,114.98363151004543,1,Carlow
-6.9233,52.6062999999999,CR/LFINF+CDN/H:1,"Concrete frame with infill panels, low rise, pre code",0.5312270336739305,Ind,796.7320781743776,2100.0,888815.7988950256,133322.36983425386,222203.9497237564,533289.4793370153,123.14959934272892,66.72368441988395,6.311109092316504,13.20293012033364,28.745907877511357,1,Carlow
-6.9233,52.6062999999999,CR/LFM+CDN/H:2,"Concrete frame, low rise, pre code",2.1249081346957217,Ind,796.7320781743776,2100.0,3555263.195580102,533289.4793370153,888815.7988950255,2133157.9173480608,492.5983973709156,266.8947376795357,25.244436369266,52.81172048133455,114.98363151004543,1,Carlow
-6.9233,52.6062999999999,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.5312270336739305,Ind,796.7320781743776,1900.0,804166.6751907375,120625.00127861061,201041.66879768443,482500.00511444244,123.14959934272892,66.72368441988395,6.311109092316504,13.20293012033364,28.745907877511357,1,Carlow
-6.9233,52.6062999999999,S+SL/LFM+CDN/H:1,"Steel, low rise",2.6561351683696524,Ind,796.7320781743776,2000.0,4232456.185214408,634868.4277821612,1058114.046303602,2539473.7111286446,615.7479967136446,333.61842209941983,31.555545461582504,66.01465060166821,143.72953938755683,1,Carlow
-6.9233,52.6062999999999,S/LFBR+CDN/H:1,"Steel, low rise",1.0624540673478609,Ind,796.7320781743776,2000.0,1692982.4740857629,253947.3711128644,423245.6185214407,1015789.4844514576,246.29919868545775,133.44736883976788,12.622218184633,26.405860240667273,57.491815755022714,1,Carlow
-6.9233,52.6062999999999,S/LFM+CDN/H:1,"Steel, low rise",1.5936811010217913,Ind,796.7320781743776,2000.0,2539473.711128644,380921.05666929664,634868.427782161,1523684.2266771866,369.44879802818673,200.17105325965184,18.933327276949502,39.608790361000906,86.23772363253408,1,Carlow
-6.9483,52.70629999999989,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",0.5922460535069077,Ind,796.7320781743776,2100.0,990909.0009023778,148636.35013535665,247727.25022559444,594545.4005414266,137.29509151158115,74.38785353188976,7.036030202239755,14.719475408502369,32.047786380877305,1,Carlow
-6.9483,52.70629999999989,CR/LFINF+CDN/H:1,"Concrete frame with infill panels, low rise, pre code",0.14806151337672693,Ind,796.7320781743776,2100.0,247727.25022559444,37159.08753383916,61931.81255639861,148636.35013535665,34.32377287789529,18.596963382972447,1.7590075505599387,3.6798688521255927,8.011946595219326,1,Carlow
