LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1
-6.8126,52.7684,CR/LFINF+CDN/HBET:4-10,"Concrete frame with infill panels, mid rise, pre code",3172.3049,3172.3049,Res,ALL,RURAL,80.0,1561.875,396385841.8648,118915752.55943999,198192920.9324,79277168.37296002,7905.499419032081,1646.561371745711,7458.684544618097,3836.5823483030736,4313.942754888961,1,Carlow
-6.8126,52.7684,CR/LFINF+CDN/HBET:4-10,"Concrete frame with infill panels, mid rise, pre code",1607.0264,1607.0264,Res,ALL,URBAN,80.0,1837.5,236232880.8,70869864.24,118116440.4,47246576.16,4004.768353624904,834.1151550771718,3778.4208486622015,1943.5361082401112,2185.3573706598277,1,Carlow
-6.8126,52.7684,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",8.2078,16.4156,Res,ALL,RURAL,80.0,1561.875,2051162.0512,615348.61536,1025581.0256,410232.41024000006,40.90827343332069,8.52039564482875,38.59615827300612,19.85301009269441,22.32318800350976,1,Carlow
-6.8126,52.7684,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",4.1579,8.3158,Res,ALL,URBAN,80.0,1837.5,1222422.6,366726.78,611211.2999999999,244484.52,20.723276652501774,4.316254422821396,19.5520074177407,10.057120137480698,11.308460659347595,1,Carlow
-6.8126,52.7684,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",3172.3049,4655.7857019115,Res,ALL,RURAL,105.0,1413.125,690804531.4139698,207241359.4241909,345402265.7069849,138160906.28279397,11602.387639851147,2416.5510988220167,10946.62649164058,5630.70253475178,6331.293375071458,1,Carlow
-6.8126,52.7684,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",1607.0264,2358.528190564,Res,ALL,URBAN,80.0,1662.5,313684249.345012,94105274.80350359,156842124.672506,62736849.869002394,5877.538202672286,1224.176595621685,5545.34268222635,2852.4016162169755,3207.306964688337,1,Carlow
-6.8126,52.7684,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",3611.4208,5300.247565808,Res,ALL,RURAL,105.0,1413.125,786426882.7005451,235928064.81016347,393213441.35027254,157285376.540109,13208.410090789617,2751.0542579147073,12461.877356663235,6410.114063315699,7207.681892631214,1,Carlow
-6.8126,52.7684,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",1829.4738,2684.9997804629998,Res,ALL,URBAN,80.0,1662.5,357104970.801579,107131491.2404737,178552485.4007895,71420994.1603158,6691.117302296987,1393.6292572810676,6312.938697929812,3247.2360279498907,3651.2679943869234,1,Carlow
-6.8126,52.7684,MUR+ST/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",1641.5549,1641.5549,Res,ALL,RURAL,95.0,1413.125,220369716.77305,66110915.031915,110184858.386525,44073943.354609996,4090.8146339462096,852.0369173656334,3859.603836242887,1985.2948413345819,2232.311864981034,1,Carlow
-6.8126,52.7684,MUR+ST/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",831.579,831.579,Res,ALL,URBAN,80.0,1662.5,110600007.0,33180002.1,55300003.5,22120001.4,2072.325173213734,431.62492323954314,1955.1983905862805,1005.7108043490778,1130.8447060583005,1,Carlow
