LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,NAME_1
21.1902,42.8895,CR/LDUAL+CDM/HBET:6-9/2.5,"Concrete wall, mid rise, low/moderate code",9.3869,COM,Hotels,1273.1680000000001,756.0,9035032.128595201,1807006.4257190404,2710509.63857856,4517516.064297601,1702.288186010319,622.4765721224862,38.717693646711695,75.9697171652685,245.72132764482217,Podujeve,Pristina
21.1902,42.8895,CR/LFINF+CDM/H:2/2.5,"Concrete frame with infill panels, low rise, low/moderate code",19.5534,COM,Offices,185.9051,840.0,3053464.4971656003,610692.89943312,916039.3491496801,1526732.2485828002,517.7722468886906,189.3340364059109,11.776470869359823,23.10713983414848,74.73921570313973,Podujeve,Pristina
21.1902,42.8895,CR/LFINF+CDM/H:2/2.5,"Concrete frame with infill panels, low rise, low/moderate code",17.6823,COM,Hotels,363.7623,756.0,4862708.512671241,972541.7025342481,1458812.5538013722,2431354.2563356203,916.1817174876069,335.0206267245519,20.83809507339687,40.88735768803692,132.24869316199522,Podujeve,Pristina
21.1902,42.8895,CR/LFINF+CDM/H:1/2.5,"Concrete frame with infill panels, low rise, low/moderate code",535.3864,COM,Trade,64.2388,630.0,21667325.319561597,4333465.06391232,6500197.5958684785,10833662.659780798,4898.80253514939,1791.3475724293446,111.42081426070528,218.62375953864696,707.1307154095657,Podujeve,Pristina
21.1902,42.8895,CR/LDUAL+CDM/HBET:6-9/2.5,"Concrete wall, mid rise, low/moderate code",10.3802,COM,Offices,650.6677,840.0,5673411.122013601,1134682.22440272,1702023.3366040802,2836705.5610068003,962.0333974392223,351.7872334582991,21.880968608056392,42.933626460917615,138.8672761757577,Podujeve,Pristina
21.1902,42.8895,CR/LDUAL+CDM/H:5/2.5,"Concrete wall, mid rise, low/moderate code",8.5137,COM,Hotels,909.4057,756.0,5853259.92491604,1170651.9849832081,1755977.977474812,2926629.96245802,1102.8112659718288,403.26554703355157,25.08289083889626,49.21626117779078,159.1882330167462,Podujeve,Pristina
21.1902,42.8895,CR/LFINF+CDM/H:3/2.5,"Concrete frame with infill panels, low rise, low/moderate code",37.9842,COM,Hotels,545.6434,756.0,15668725.993915683,3133745.198783137,4700617.798174704,7834362.996957841,2952.1408191630435,1079.5108094137595,67.14496686145384,131.7481404776083,426.1346389176072,Podujeve,Pristina
21.1902,42.8895,CR/LFINF+CDM/H:3/2.5,"Concrete frame with infill panels, low rise, low/moderate code",40.7966,COM,Offices,278.8576,840.0,9556211.2498944,1911242.24997888,2866863.3749683197,4778105.6249472,1620.435074713908,592.545303988172,36.855985556830476,72.31677651433229,233.90602201977825,Podujeve,Pristina
21.1902,42.8895,CR/LFINF+CDM/H:4/2.5,"Concrete frame with infill panels, mid rise, low/moderate code",12.0065,COM,Hotels,727.5246,756.0,6603678.2270844,1320735.64541688,1981103.46812532,3301839.1135422,1244.1973941189724,454.96628320618163,28.298647630538966,55.52604130474149,179.5969907138207,Podujeve,Pristina
21.1902,42.8895,CR/LFINF+CDM/H:4/2.5,"Concrete frame with infill panels, mid rise, low/moderate code",13.277,COM,Offices,371.8101,840.0,4146679.0660679997,829335.8132136,1244003.7198203998,2073339.5330339998,703.1473066601317,257.12022720006365,15.992733916331366,31.380058001628353,101.49767303934112,Podujeve,Pristina
