LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1,ID_1
21.6665,56.816,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",85.29480000000002,Com,Hotels,182,1764.0,27383724.95040001,5476744.990080002,8215117.485120001,13691862.475200005,1268.8792649310813,647.6328046226615,58.30056114615592,122.94805637549709,276.2938073814381,Kurzeme,1
21.6665,56.816,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",598.158,Com,Trade,489,1260.0,368549070.12,73709814.02399999,110564721.036,184274535.06,23908.43406602706,12202.804976215046,1098.5088658147124,2316.6077188276918,5205.97385361915,Kurzeme,1
21.6665,56.816,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",42.8968,Com,Hotels,364,1764.0,27543863.6928,5508772.7385599995,8263159.10784,13771931.8464,1276.2996115096253,651.420130965484,58.64150010022699,123.66705085722514,277.9095606409787,Kurzeme,1
21.6665,56.816,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",85.15799999999999,Com,Offices,694,1680.0,99287415.35999998,19857483.072,29786224.607999995,49643707.67999999,4830.713498234893,2465.584092715344,221.95437774664947,468.0719844114699,1051.8701516244876,Kurzeme,1
21.6665,56.816,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",66.462,Com,Trade,978,1260.0,81899793.36,16379958.672,24569938.008,40949896.68,5312.985348006015,2711.7344391588995,244.1130812921584,514.8017152950428,1156.8830785820335,Kurzeme,1
21.6665,56.816,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",156.6232,Com,Hotels,909,1764.0,251141542.2432,50228308.44864,75342462.67296,125570771.1216,11637.141991909859,5939.568179815813,534.6859445312864,1127.5808733061058,2533.944999217735,Kurzeme,1
21.6665,56.816,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",127.73700000000001,Com,Offices,1735,1680.0,372327807.6,74465561.52,111698342.28,186163903.8,18115.175618380843,9245.940347682536,832.3289165499353,1755.2699415430116,3944.513068591828,Kurzeme,1
21.6665,56.816,CR/LWAL+CDM/HBET:3-5,"Concrete wall, mid rise, low/moderate code",19.952,Com,Hotels,909,1764.0,31992553.152000006,6398510.630400001,9597765.9456,15996276.576,1482.4384703069888,756.6328891485114,68.11285917596004,143.64087558039566,322.7955413016224,Kurzeme,1
21.6665,56.816,CR/LWAL+CDM/HBET:3-5,"Concrete wall, mid rise, low/moderate code",14.94,Com,Offices,1735,1680.0,43547112.0,8709422.4,13064133.6,21773556.0,2118.7339904539003,1081.3965318926944,97.3484112923901,205.2947300050306,461.3465577300384,Kurzeme,1
21.6665,56.816,CR/LWAL+CDM/HBET:6-,"Concrete wall, mid rise, low/moderate code",1.9952,Com,Hotels,1091,1764.0,3839810.2848,767962.0569600002,1151943.08544,1919905.1424,177.92523334487618,90.81259428614143,8.175041733880352,17.240065484951774,38.74256716832452,Kurzeme,1
21.6665,56.816,CR/LWAL+CDM/HBET:6-,"Concrete wall, mid rise, low/moderate code",1.494,Com,Offices,2082,1680.0,5225653.44,1045130.688,1567696.032,2612826.72,254.24807885446805,129.76758382712333,11.681809355086815,24.63536760060368,55.361586927604606,Kurzeme,1
21.6665,56.816,MUR+CB/LWAL+CDN/H:1,"Unreinforced masonry, low rise",50.3788,Com,Hotels,182,1428.0,13093248.6048,2618649.72096,3927974.58144,6546624.3023999985,749.4550044329776,382.51996062508067,34.4348343611798,72.61844265453335,163.1910792135979,Kurzeme,1
21.6665,56.816,MUR+CB/LWAL+CDN/H:1,"Unreinforced masonry, low rise",10.8315,Com,Offices,347,1360.0,5111601.48,1022320.296,1533480.444,2555800.74,307.21642861581563,156.80249712444072,14.11551963739657,29.767735850729448,66.89525087085558,Kurzeme,1
21.6665,56.816,MUR+CB/LWAL+CDN/H:1,"Unreinforced masonry, low rise",181.896,Com,Trade,489,1020.0,90726086.88,18145217.376,27217826.064,45363043.44,7270.401002534545,3710.7944956911256,334.04947966295344,704.4655051405847,1583.1031601648874,Kurzeme,1
21.6665,56.816,MUR+CB/LWAL+CDN/H:2,"Unreinforced masonry, low rise",14.4652,Com,Hotels,364,1428.0,7518895.2384,1503779.0476799998,2255668.57152,3759447.6192,430.38010155557123,219.66492788370965,19.77445933612305,41.70167994022706,93.71368905335328,Kurzeme,1
21.6665,56.816,MUR+CB/LWAL+CDN/H:2,"Unreinforced masonry, low rise",37.7235,Com,Offices,694,1360.0,35604948.24,7120989.648000001,10681484.472,17802474.12,2139.9213303584397,1092.2104972116215,98.32189540531404,207.347677305081,465.96002330733904,Kurzeme,1
21.6665,56.816,MUR+CB/LWAL+CDN/H:2,"Unreinforced masonry, low rise",19.822000000000006,Com,Trade,978,1020.0,19773634.320000008,3954726.864000002,5932090.296000003,9886817.160000004,1584.5745774754782,808.7629029070404,72.80565582397706,153.53735368448645,345.03530413850126,Kurzeme,1
21.6665,56.816,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",33.918400000000005,Com,Hotels,182,1428.0,8815256.4864,1763051.2972800003,2644576.9459200003,4407628.2432,504.58356734101466,257.5381913119355,23.18384887683393,48.89162475750761,109.871221648759,Kurzeme,1
21.6665,56.816,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",11.952,Com,Offices,347,1360.0,5640387.84,1128077.568,1692116.352,2820193.92,338.997438472624,173.0234451028311,15.575745806782418,32.847156800804896,73.81544923680613,Kurzeme,1
21.6665,56.816,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",111.936,Com,Trade,489,1020.0,55831438.08000001,11166287.616000002,16749431.424,27915719.040000007,4474.092924636644,2283.5658435022315,205.56891056181755,433.51723393266764,974.2173293322388,Kurzeme,1
21.6665,56.816,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",18.9544,Com,Hotels,364,1428.0,9852345.4848,1970469.0969599998,2955703.64544,4926172.7424,563.9463399693693,287.83680205451617,25.911360509402627,54.643580611332034,122.7972477250836,Kurzeme,1
21.6665,56.816,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",28.0125,Com,Offices,694,1360.0,26439318.0,5287863.6000000015,7931795.3999999985,13219659.0,1589.050492840425,811.0473989195209,73.01130846929259,153.97104750377295,346.0099182975288,Kurzeme,1
21.6665,56.816,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",12.826,Com,Trade,978,1020.0,12794704.56,2558940.912,3838411.3679999993,6397352.279999998,1025.3129618958972,523.3171724692611,47.109542003749844,99.34769944290295,223.2581379719713,Kurzeme,1
21.6665,56.816,W/LPB+CDM/H:1,"Wood, low rise",41.8992,Com,Hotels,182,1596.0,12170544.4224,2434108.88448,3651163.32672,6085272.2112,623.3091125977238,318.1354127970968,28.638872141971323,60.395536465156454,135.7232738014082,Kurzeme,1
21.6665,56.816,W/LPB+CDM/H:1,"Wood, low rise",7.8435000000000015,Com,Offices,347,1520.0,4136975.6400000006,827395.1280000001,1241092.692,2068487.8200000003,222.4670689976596,113.54663584873295,10.221583185700966,21.555946650528227,48.441388561654065,Kurzeme,1
21.6665,56.816,W/LPB+CDM/H:1,"Wood, low rise",110.77,Com,Trade,489,1140.0,61749844.2,12349968.84,18524953.26,30874922.1,4427.4877900050105,2259.7786992990827,203.42756774346526,429.00142941253546,964.0692321516943,Kurzeme,1
21.6665,56.816,W/LPB+CDM/H:2,"Wood, low rise",10.4748,Com,Hotels,364,1596.0,6085272.2112,1217054.44224,1825581.66336,3042636.1056,311.654556298862,159.0677063985484,14.319436070985661,30.19776823257823,67.8616369007041,Kurzeme,1
21.6665,56.816,W/LPB+CDM/H:2,"Wood, low rise",31.374000000000002,Com,Offices,694,1520.0,33095805.12,6619161.024,9928741.535999997,16547902.56,1779.7365519812765,908.3730867898636,81.77266548560772,172.44757320422576,387.53110849323235,Kurzeme,1
21.6665,56.816,W/LPB+CDM/H:2,"Wood, low rise",12.826,Com,Trade,978,1140.0,14299963.919999998,2859992.784,4289989.175999999,7149981.959999999,1025.3129618958972,523.3171724692611,47.109542003749844,99.34769944290295,223.2581379719713,Kurzeme,1
