LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1,ID_2,NAME_2
22.0009,56.68319999999989,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",5.462396034132169,Ind,1569.5072174242425,1050.0,9001933.499999996,1350290.0249999994,2250483.374999999,5401160.099999998,342.665369596022,174.89554797838562,15.744274404143622,33.20256098700655,74.61412778984527,1,Kurzeme,1,Kuldiga
22.0009,56.68319999999989,CR/LFM+CDN/H:2,"Concrete frame, low rise, pre code",1.7479667309222942,Ind,1569.5072174242425,1050.0,2880618.7199999993,432092.8079999999,720154.6799999998,1728371.2319999996,109.65291827072708,55.966575353083414,5.0381678093259605,10.624819515842098,23.876520892750488,1,Kurzeme,1,Kuldiga
22.0009,56.68319999999989,CR/LWAL+CDN/H:1,"Concrete wall, low rise, pre code",2.1849584136528684,Ind,1569.5072174242425,1050.0,3600773.4,540116.01,900193.35,2160464.04,137.06614783840885,69.95821919135429,6.297709761657453,13.281024394802625,29.845651115938125,1,Kurzeme,1,Kuldiga
22.0009,56.68319999999989,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1.5294708895570075,Ind,1569.5072174242425,950.0,2280489.82,342073.4729999999,570122.4549999997,1368293.8919999995,95.9463034868862,48.970753433947976,4.408396833160215,9.296717076361837,20.891955781156682,1,Kurzeme,1,Kuldiga
22.0009,56.68319999999989,S+SL/LFM+CDN/H:1,"Steel, low rise",4.369916827305737,Ind,1569.5072174242425,1000.0,6858616.0,1028792.4,1714654.0,4115169.6,274.1322956768177,139.91643838270858,12.595419523314906,26.56204878960525,59.69130223187625,1,Kurzeme,1,Kuldiga
22.0009,56.68319999999989,S/LFM+CDN/H:1,"Steel, low rise",5.462396034132169,Ind,1569.5072174242425,1000.0,8573269.999999996,1285990.4999999993,2143317.499999999,5143961.999999997,342.665369596022,174.89554797838562,15.744274404143622,33.20256098700655,74.61412778984527,1,Kurzeme,1,Kuldiga
22.0009,56.68319999999989,W/LWAL+CDN/H:1,"Wood, low rise",1.0924792068264342,Ind,1569.5072174242425,950.0,1628921.3,244338.195,407230.325,977352.78,68.53307391920443,34.979109595677144,3.1488548808287264,6.640512197401312,14.922825557969064,1,Kurzeme,1,Kuldiga
21.9842,56.7248,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",21.6935574567649,Ind,1569.5072174242425,1050.0,35750604.75,5362590.7124999985,8937651.1875,21450362.85,1360.8736600798102,694.5865139205847,62.527381622856986,131.8618532934332,296.32524961229166,1,Kurzeme,1,Kuldiga
21.9842,56.7248,CR/LFM+CDN/H:2,"Concrete frame, low rise, pre code",6.941938386164768,Ind,1569.5072174242425,1050.0,11440193.52,1716029.0280000002,2860048.38,6864116.112000001,435.4795712255392,222.26768445458717,20.008762119314234,42.19579305389861,94.82407987593331,1,Kurzeme,1,Kuldiga
21.9842,56.7248,CR/LWAL+CDN/H:1,"Concrete wall, low rise, pre code",8.677422982705961,Ind,1569.5072174242425,1050.0,14300241.900000002,2145036.285,3575060.4750000006,8580145.14,544.3494640319242,277.834605568234,25.010952649142794,52.74474131737328,118.53009984491665,1,Kurzeme,1,Kuldiga
