LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1
23.2836,55.975,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",38.88700000000001,COM,Hotels,248,1512.0,14581691.712000003,2916338.342400001,4374507.513600001,7290845.856000002,384.9176614951698,185.45583127317252,15.912303667379573,33.2545764472137,78.2075704625886,Siauliai
23.2836,55.975,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",144.98561,COM,Offices,95,1680.0,23139703.356000002,4627940.671200001,6941911.006800001,11569851.678000001,549.7436519343075,264.87006483568695,22.72612769913831,47.494553065212564,111.69691520001261,Siauliai
23.2836,55.975,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",1136.16955,COM,Trade,613,1281.0,892180547.6461501,178436109.52923003,267654164.29384503,446090273.82307506,27798.114407380916,13393.312209219772,1149.1601505439235,2401.590296111267,5648.020885291654,Siauliai
23.2836,55.975,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",12.87475,COM,Hotels,497,1512.0,9674911.134,1934982.2268,2902473.3402,4837455.567,255.3917777460731,123.04941856461338,10.55776839613379,22.064317246594243,51.890501402447136,Siauliai
23.2836,55.975,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",437.91572,COM,Offices,191,1680.0,140518396.23360002,28103679.246720005,42155518.87008,70259198.11680001,3338.3788513166496,1608.4526300268951,138.00691252400466,288.41590248065063,678.2918150105169,Siauliai
23.2836,55.975,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",125.10631,COM,Trade,1225,1281.0,196319949.30975,39263989.86195,58895984.79292499,98159974.654875,6116.838599274299,2947.132596581252,252.8670492746999,528.4581539457038,1242.8192666005518,Siauliai
23.2836,55.975,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",77.77400000000002,COM,Hotels,1241,1512.0,145934511.40800002,29186902.281600006,43780353.422400005,72967255.70400001,3852.2807896411746,1856.0539242742504,159.25136170337134,332.8139465402596,782.7064108392938,Siauliai
23.2836,55.975,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",878.7903299999998,COM,Offices,476,1680.0,702751051.0943998,140550210.21887997,210825315.32831994,351375525.5471999,16695.673375135746,8044.08395401734,690.1907894914242,1442.4060055714776,3392.226916360081,Siauliai
23.2836,55.975,CR/LWAL+CDL/HBET:3-5,"Concrete wall, mid rise, low/moderate code",6.306,COM,Hotels,1241,1512.0,11832527.952,2366505.5904,3549758.3855999997,5916263.976,312.34709105198704,150.4908587249392,12.91227257054362,26.98491458434537,63.46268195994273,Siauliai
23.2836,55.975,CR/LWAL+CDL/HBET:3-5,"Concrete wall, mid rise, low/moderate code",71.01335999999998,COM,Offices,476,1680.0,56787963.72479998,11357592.744959997,17036389.117439993,28393981.86239999,1349.1453232432925,650.0269861832194,55.7729930902161,116.55806105628102,274.1193467765722,Siauliai
23.2836,55.975,CR/LWAL+CDL/HBET:6-,"Concrete wall, mid rise, low/moderate code",0.78825,COM,Hotels,1490,1512.0,1775832.66,355166.532,532749.798,887916.33,46.877232641766795,22.585755388815414,1.9378813587943187,4.0499116368528005,9.524516128154177,Siauliai
23.2836,55.975,CR/LWAL+CDL/HBET:6-,"Concrete wall, mid rise, low/moderate code",8.876669999999997,COM,Offices,572,1680.0,8530124.803199997,1706024.9606399995,2559037.440959999,4265062.401599999,202.65523237793158,97.64060821869789,8.377665978887503,17.50819614605902,41.17549011454814,Siauliai
23.2836,55.975,MUR+CB/LWAL+CDN/H:1,"Unreinforced masonry, low rise",43.6165,COM,Hotels,248,1224.0,13239875.808,2647975.1616,3971962.7424,6619937.904,431.73197167701466,208.01127021180156,17.847583843141948,37.29905196106401,87.71930200533582,Siauliai
23.2836,55.975,MUR+CB/LWAL+CDN/H:1,"Unreinforced masonry, low rise",73.97225,COM,Offices,95,1360.0,9557214.700000001,1911442.9400000004,2867164.41,4778607.350000001,280.48145506852427,135.13778818147293,11.59496311180526,24.231914829190085,56.98822204082276,Siauliai
23.2836,55.975,MUR+CB/LWAL+CDN/H:1,"Unreinforced masonry, low rise",500.42524,COM,Trade,613,1037.0,318110816.98844,63622163.397688,95433245.09653199,159055408.49422,12243.66387381272,5899.076838218149,506.146942711481,1057.7790967141761,2487.6676258812686,Siauliai
23.2836,55.975,MUR+CB/LWAL+CDN/H:2,"Unreinforced masonry, low rise",6.5687500000000005,COM,Hotels,497,1224.0,3995954.5500000003,799190.9100000001,1198786.365,1997977.2750000001,130.30192742146588,62.7803155941905,5.386616528639689,11.257304717650122,26.47474561349344,Siauliai
23.2836,55.975,MUR+CB/LWAL+CDN/H:2,"Unreinforced masonry, low rise",491.17574,COM,Offices,191,1360.0,127587810.22240001,25517562.044480003,38276343.06672,63793905.111200005,3744.397900801108,1804.075247192329,154.79153702016742,323.49351224181095,760.7867654847691,Siauliai
23.2836,55.975,MUR+CB/LWAL+CDN/H:2,"Unreinforced masonry, low rise",56.17018000000001,COM,Trade,1225,1037.0,71354383.90850002,14270876.781700004,21406315.172550004,35677191.95425001,2746.335697633359,1323.2023903017869,113.53214457231425,237.2669262613364,558.0004870451459,Siauliai
23.2836,55.975,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",18.918000000000006,COM,Hotels,248,1224.0,5742596.736000002,1148519.3472000004,1722779.0208000008,2871298.368000001,187.2572407273799,90.22175575451637,7.741120703049522,16.17790205540126,38.046926170989046,Siauliai
23.2836,55.975,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",97.64336999999999,COM,Offices,95,1360.0,12615523.404,2523104.6808,3784657.0211999994,6307761.702,370.23552069045195,178.38188039954423,15.305351307582939,31.986127574530904,75.22445309388603,Siauliai
23.2836,55.975,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",252.76581,COM,Trade,613,1037.0,160678422.86661,32135684.573321998,48203526.859983,80339211.433305,6184.299609731934,2979.635749916309,255.6558537165133,534.2863804831807,1256.5259947053344,Siauliai
23.2836,55.975,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",10.24725,COM,Hotels,497,1224.0,6233689.097999999,1246737.8195999998,1870106.7293999998,3116844.5489999996,203.27100677748675,97.93729232693717,8.403121784677914,17.56139535953419,41.30060315704976,Siauliai
23.2836,55.975,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",227.83452999999997,COM,Offices,191,1360.0,59182297.51279999,11836459.502559999,17754689.253839996,29591148.756399997,1736.8592672390675,836.8300845410198,71.80089367802944,150.054219533852,352.89506591763376,Siauliai
23.2836,55.975,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",28.085090000000005,COM,Trade,1225,1037.0,35677191.95425001,7135438.390850002,10703157.586275002,17838595.977125004,1373.1678488166795,661.6011951508934,56.766072286157126,118.6334631306682,279.00024352257293,Siauliai
23.2836,55.975,W/LPB+CDL/H:1,"Wood, low rise",27.8515,COM,Hotels,248,1368.0,9449011.296,1889802.2592000002,2834703.3888,4724505.648,275.6842710708648,132.82647374970463,11.396649923934017,23.81746691489629,56.013530196178316,Siauliai
23.2836,55.975,W/LPB+CDL/H:1,"Wood, low rise",35.50668,COM,Offices,95,1520.0,5127164.592,1025432.9184000001,1538149.3776,2563582.296,134.63109843289166,64.86613832710702,5.565582293666526,11.631319118011243,27.35434657959493,Siauliai
23.2836,55.975,W/LPB+CDL/H:1,"Wood, low rise",270.63813999999996,COM,Trade,613,1159.0,192279467.41137996,38455893.48227599,57683840.22341399,96139733.70568998,6621.573319510961,3190.3170655669574,273.73253024192337,572.0642053658299,1345.371267058237,Siauliai
23.2836,55.975,W/LPB+CDL/H:2,"Wood, low rise",3.153,COM,Hotels,497,1368.0,2143712.088,428742.41760000004,643113.6264,1071856.044,62.54492516230362,30.134551485211443,2.585575933747051,5.403506264472059,12.70787789447685,Siauliai
23.2836,55.975,W/LPB+CDL/H:2,"Wood, low rise",313.64234,COM,Offices,191,1520.0,91056644.1488,18211328.82976,27316993.24464,45528322.0744,2391.0010691862494,1151.9998566408847,98.84278869962496,206.56814637127684,485.80359723726207,Siauliai
23.2836,55.975,W/LPB+CDL/H:2,"Wood, low rise",30.638279999999998,COM,Trade,1225,1159.0,43499463.986999996,8699892.7974,13049839.196099998,21749731.993499998,1498.0012896181956,721.7467583464291,61.926624312171406,129.4183234152744,304.36390202462496,Siauliai
23.2836,55.975,W/LWAL+CDL/H:1,"Wood, low rise",4.729500000000002,COM,Hotels,248,1368.0,1604549.0880000005,320909.8176000001,481364.7264000001,802274.5440000002,46.814310181844974,22.55543893862909,1.9352801757623805,4.044475513850315,9.511731542747262,Siauliai
23.2836,55.975,W/LWAL+CDL/H:1,"Wood, low rise",53.26002,COM,Offices,95,1520.0,7690746.887999999,1538149.3776,2307224.0664,3845373.4439999997,201.94664764933748,97.29920749066052,8.348373440499788,17.446978677016862,41.03151986939239,Siauliai
23.2836,55.975,W/LWAL+CDL/H:1,"Wood, low rise",137.87226,COM,Trade,613,1159.0,97953690.94542001,19590738.189084005,29386107.283626,48976845.472710006,3373.2543325810557,1625.2558635907144,139.44864748173458,291.4289348090077,685.3778152938189,Siauliai
23.2836,55.975,W/LWAL+CDL/H:2,"Wood, low rise",11.0355,COM,Hotels,497,1368.0,7502992.308,1500598.4616,2250897.6924,3751496.154,218.9072380680627,105.47093019824005,9.049515768114679,18.91227192565221,44.47757263066898,Siauliai
23.2836,55.975,W/LWAL+CDL/H:2,"Wood, low rise",124.27338,COM,Offices,191,1520.0,36079047.681600004,7215809.536320001,10823714.304480001,18039523.840800002,947.3777821304006,456.4527733860109,39.1641238243797,81.84775610937383,192.48821777325483,Siauliai
23.2836,55.975,W/LWAL+CDL/H:2,"Wood, low rise",15.319139999999999,COM,Trade,1225,1159.0,21749731.993499998,4349946.3987,6524919.598049999,10874865.996749999,749.0006448090978,360.8733791732146,30.963312156085703,64.7091617076372,152.18195101231248,Siauliai
24.0244,54.2833,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",21.645000000000003,COM,Hotels,248,1512.0,8116355.520000001,1623271.1040000003,2434906.6560000004,4058177.7600000007,201.5386634898589,97.1026380707267,8.331507579339023,17.411731293542868,40.94862564786953,Alytaus
24.0244,54.2833,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",80.69761000000003,COM,Offices,95,1680.0,12879338.556000004,2575867.7112000007,3863801.566800001,6439669.278000002,287.82822604703796,138.67751019293217,11.898674950671527,24.866631761107797,58.48093896823716,Alytaus
24.0244,54.2833,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",632.3806,COM,Trade,613,1281.0,496578763.29179996,99315752.65836,148973628.98753998,248289381.64589998,14554.192541818662,7012.304568899754,601.6630425825126,1257.3949104578815,2957.120840646716,Alytaus
24.0244,54.2833,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",7.166250000000002,COM,Hotels,497,1512.0,5385178.8900000015,1077035.7780000004,1615553.6670000004,2692589.4450000008,133.72033217002326,64.42732522167631,5.527931671742677,11.552634377496988,27.169297090305324,Alytaus
