LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,NAME_2,ID_1,NAME_1
23.255,55.9433,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",2345.9196,7037.7588,Res,ALL,RURAL,56,840,331056174,99316852.19,165528087,66211234.79,13968.44649,3230.03563,13329.15958,7453.388442,8004.194552,1,Siauliu,1,Siauliai
23.255,55.9433,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",11054.6877,33164.0631,Res,ALL,URBAN,56,984.375,1828215408,548464622.4,914107704,365643081.6,65823.57452,15220.91173,62811.0599,35122.63657,37718.20273,1,Siauliu,1,Siauliai
23.255,55.9433,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",125.0363,1250.363,Res,ALL,RURAL,56,840,58817075.52,17645122.66,29408537.76,11763415.1,2481.703218,573.8640887,2368.124347,1324.205816,1422.064751,1,Siauliu,1,Siauliai
23.255,55.9433,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",589.2092,5892.092,Res,ALL,URBAN,56,984.375,324809820.4,97442946.13,162404910.2,64961964.09,11694.54285,2704.222699,11159.32455,6240.061881,6701.203043,1,Siauliu,1,Siauliai
23.255,55.9433,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",774.0344,774.0344,Res,ALL,RURAL,70,760,41178630.08,12353589.02,20589315.04,8235726.016,1536.29279,355.2492721,1465.982046,819.7466288,880.3259822,1,Siauliu,1,Siauliai
23.255,55.9433,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",3647.4858,3647.4858,Res,ALL,URBAN,58,890.625,188410149.5,56523044.85,94205074.75,37682029.9,7239.479453,1674.04275,6908.153816,3862.895742,4148.364103,1,Siauliu,1,Siauliai
23.255,55.9433,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",132.479,397.437,Res,ALL,RURAL,58,760,17519022.96,5255706.888,8759511.48,3503804.592,788.8274699,182.4068865,752.7255975,420.9084776,452.0136539,1,Siauliu,1,Siauliai
23.255,55.9433,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",624.2812,1872.8436,Res,ALL,URBAN,56,890.625,93405452.57,28021635.77,46702726.28,18681090.51,3717.194118,859.5565334,3547.071153,1983.448316,2130.025334,1,Siauliu,1,Siauliai
23.255,55.9433,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",64.0067,192.0201,Res,ALL,RURAL,58,760,8464246.008,2539273.802,4232123.004,1692849.202,381.1188431,88.12915905,363.6763676,203.3602507,218.3885925,1,Siauliu,1,Siauliai
23.255,55.9433,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",301.619,904.857,Res,ALL,URBAN,56,890.625,45128476.08,13538542.82,22564238.04,9025695.215,1795.94768,415.2913495,1713.75344,958.2952325,1029.113341,1,Siauliu,1,Siauliai
23.255,55.9433,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",459.955,1379.865,Res,ALL,RURAL,58,760,60824449.2,18247334.76,30412224.6,12164889.84,2738.736999,633.3000662,2613.394592,1461.355829,1569.350162,1,Siauliu,1,Siauliai
23.255,55.9433,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",2167.4483,6502.3449,Res,ALL,URBAN,56,890.625,324295348.6,97288604.58,162147674.3,64859069.72,12905.76438,2984.303143,12315.11271,6886.354549,7395.2568,1,Siauliu,1,Siauliai
23.255,55.9433,W/LPB+CDL/HBET:1-3,"Wood, low rise",556.7093,556.7093,Res,ALL,RURAL,70,760,29616934.76,8885080.428,14808467.38,5923386.952,1104.948932,255.5061811,1054.379286,589.5869381,633.1574686,1,Siauliu,1,Siauliai
23.255,55.9433,W/LPB+CDL/HBET:1-3,"Wood, low rise",2623.384,2623.384,Res,ALL,URBAN,58,890.625,135510375.8,40653112.75,67755187.92,27102075.17,5206.85634,1204.023046,4968.55675,2778.313458,2983.631085,1,Siauliu,1,Siauliai
23.255,55.9433,W/LWAL+CDL/HBET:1-3,"Wood, low rise",287.2858,861.8574,Res,ALL,RURAL,58,760,37990674.19,11397202.26,18995337.1,7598134.838,1710.602667,395.5563396,1632.31437,912.7562007,980.2089702,1,Siauliu,1,Siauliai
23.255,55.9433,W/LWAL+CDL/HBET:1-3,"Wood, low rise",1353.7784,4061.3352,Res,ALL,URBAN,53,890.625,191702331.8,57510699.55,95851165.92,38340466.37,8060.882027,1863.982238,7691.96367,4301.185889,4619.043932,1,Siauliu,1,Siauliai
22.8202,56.2736,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",1768.9648,5306.8944,Res,ALL,RURAL,56,840,249636312.6,74890893.77,124818156.3,49927262.52,7537.415129,1742.9368,7192.454019,4021.870495,4319.087105,2,Akmenes,1,Siauliai
22.8202,56.2736,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",884.0247,2652.0741,Res,ALL,URBAN,56,984.375,146199297.7,43859789.3,73099648.83,29239859.53,3766.757342,871.0174342,3594.366042,2009.894633,2158.426036,2,Akmenes,1,Siauliai
22.8202,56.2736,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",94.2849,942.849,Res,ALL,RURAL,56,840,44351616.96,13305485.09,22175808.48,8870323.392,1339.1343,309.6587372,1277.84681,714.5453232,767.3502901,2,Akmenes,1,Siauliai
22.8202,56.2736,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",47.1181,471.181,Res,ALL,URBAN,56,984.375,25974512.28,7792353.684,12987256.14,5194902.456,669.2213054,154.7493962,638.5933885,357.0881233,383.4769693,2,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",583.6686,583.6686,Res,ALL,RURAL,70,760,31051169.52,9315350.856,15525584.76,6210233.904,828.9881434,191.6935603,791.0482575,442.337711,475.0265096,2,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",291.6833,291.6833,Res,ALL,URBAN,58,890.625,15066842.52,4520052.757,7533421.262,3013368.505,414.2796055,95.79718741,395.3194779,221.054419,237.3903614,2,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",99.8971,299.6913,Res,ALL,RURAL,58,760,13210392.5,3963117.751,6605196.252,2642078.501,425.6534177,98.427245,406.1727505,227.123343,243.9077795,2,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",49.9227,149.7681,Res,ALL,URBAN,56,890.625,7469474.312,2240842.294,3734737.156,1493894.862,212.7165641,49.18815285,202.9812715,113.5028996,121.8907746,2,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",48.2649,144.7947,Res,ALL,RURAL,58,760,6382550.376,1914765.113,3191275.188,1276510.075,205.6528131,47.5547452,196.2408037,109.7337704,117.8431064,2,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",24.12,72.36,Res,ALL,URBAN,56,890.625,3608853.696,1082656.109,1804426.848,721770.7392,102.7733581,23.76510579,98.06978123,54.83857923,58.89115542,2,Akmenes,1,Siauliai
