LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,ID_2,ID_1,NAME_1
6.0123,50.0747,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",13.089199999999998,Com,Trade,1283,2352.0,39498179.34719999,7899635.869439999,11849453.804159995,19749089.6736,373.2472857950158,190.0623701415374,16.134547046704043,35.16120068739077,80.45270595854406,Clervaux,1,1,Diekirch
6.0123,50.0747,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",1.4459,Com,Trade,2565,2352.0,8722941.192,1744588.2384,2616882.3576,4361470.596,82.42947340544555,41.97415944120715,3.563220061633897,7.765144897949889,17.76750813359698,Clervaux,1,1,Diekirch
6.0123,50.0747,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",6.1904,Com,Hotels,5365,3297.0,109498302.312,21899660.462400004,32849490.6936,54749151.156,738.1512115354367,375.8761928795943,31.908431496648078,69.53642765587851,159.10701734404032,Clervaux,1,1,Diekirch
6.0123,50.0747,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",26.1632,Com,Offices,1524,3150.0,125599057.92,25119811.584000006,37679717.376,62799528.96,886.2020010519659,451.2655795616748,38.308297000473864,83.48333020609887,191.01906892274917,Clervaux,1,1,Diekirch
6.0123,50.0747,CR/LFINF+CDL/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",0.6784,Com,Hotels,6438,3297.0,14399776.7424,2879955.3484799997,4319933.02272,7199888.3712,97.07194014712593,49.430293858138434,4.196177292709884,9.144516513649776,20.9236625548327,Clervaux,1,1,Diekirch
6.0123,50.0747,CR/LFINF+CDL/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",2.8672,Com,Offices,1829,3150.0,16518942.72,3303788.5439999998,4955682.816000001,8259471.36,116.55437816302059,59.3510045675262,5.038354382041971,10.97983036328011,25.123063104282764,Clervaux,1,1,Diekirch
6.0123,50.0747,CR/LWAL+CDL/HBET:3-5,"Concrete wall, mid rise, low/moderate code",1.1024,Com,Hotels,5365,3297.0,19499697.672,3899939.5344000007,5849909.301600001,9749848.836,131.4515856158997,66.93685626622913,5.682323417211302,12.383199445567405,28.334126376335945,Clervaux,1,1,Diekirch
6.0123,50.0747,CR/LWAL+CDL/HBET:3-5,"Concrete wall, mid rise, low/moderate code",10.3936,Com,Offices,1524,3150.0,49895516.16,9979103.232,14968654.848,24947758.08,352.0528497329728,179.26988777107627,15.21836456183208,33.164610629820096,75.88428765424281,Clervaux,1,1,Diekirch
6.0123,50.0747,CR/LWAL+CDL/HBET:6-,"Concrete wall, mid rise, low/moderate code",0.1272,Com,Hotels,6438,3297.0,2699958.1392,539991.6278400001,809987.4417600001,1349979.0696,18.200988777586115,9.268180098400961,0.7867832423831037,1.7145968463093333,3.9231867290311317,Clervaux,1,1,Diekirch
6.0123,50.0747,CR/LWAL+CDL/HBET:6-,"Concrete wall, mid rise, low/moderate code",0.5376,Com,Offices,1829,3150.0,3097301.76,619460.3520000001,929190.528,1548650.88,21.853945905566363,11.128313356411166,0.94469144663287,2.0587181931150207,4.710574332053019,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+CB/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.0424,Com,Hotels,1073,2669.0,121426.6888,24285.33776,36428.00664,60713.3444,1.0111660431992284,0.5148988943556088,0.04371018013239464,0.0952553803505185,0.21795481827950733,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+CB/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.1792,Com,Offices,305,2550.0,139372.8,27874.56,41811.84,69686.4,1.2147719156547732,0.6185776514863139,0.052511552983966696,0.1144357661563844,0.26184165687555505,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+CB/LWAL+CDN/H:1,"Unreinforced masonry, low rise",0.4566,Com,Trade,1283,1904.0,1115397.0912,223079.41824,334619.12736,557698.5456,13.020254155640087,6.630082679355956,0.5628330365129318,1.2265535123508409,2.8064897427399096,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+CB/LWAL+CDN/H:2,"Unreinforced masonry, low rise",0.2544,Com,Hotels,2146,2669.0,1457120.2656,291424.05312,437136.07968,728560.1328,12.133992518390741,6.178786732267304,0.5245221615887357,1.143064564206222,2.6154578193540874,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+CB/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1.0752,Com,Offices,610,2550.0,1672473.6,334494.72,501742.08,836236.7999999998,14.577262987857274,7.422931817835767,0.6301386358076003,1.3732291938766128,3.14209988250666,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+CB/LWAL+CDN/H:2,"Unreinforced masonry, low rise",0.0761,Com,Trade,2565,1904.0,371654.136,74330.8272,111496.2408,185827.068,4.338393337128713,2.209166286379324,0.18753789798073145,0.4086918367342047,0.93513200703142,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",21.412,Com,Hotels,1073,2669.0,61320477.844,12264095.5688,18396143.3532,30660238.922,510.63885181561034,260.0239416495824,22.073640966859294,48.10396707701185,110.0671832311512,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",38.7072,Com,Offices,305,2550.0,30104524.8,6020904.960000001,9031357.44,15052262.4,262.39073378143087,133.6127727210438,11.342495444536805,24.71812548977903,56.55779788511989,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",50.6826,Com,Trade,1283,1904.0,123809077.1232,24761815.42464,37142723.13696,61904538.5616,1445.2482112760501,735.9391774085112,62.47446705293543,136.14743987094334,311.52036144412995,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",9.1584,Com,Hotels,2146,2669.0,52456329.5616,10491265.91232,15736898.86848,26228164.7808,436.82373066206674,222.43632236162296,18.882797817194486,41.150324311424,94.15648149674715,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",90.3168,Com,Offices,610,2550.0,140487782.4,28097556.480000004,42146334.72,70243891.2,1224.4900909800112,623.5262726982045,52.931645407838424,115.3512522856355,263.9363901305594,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",4.185499999999998,Com,Trade,2565,1904.0,20440977.479999997,4088195.495999999,6132293.243999997,10220488.739999996,238.61163354207906,121.50414575086272,10.31458438894022,22.478051020381244,51.43226038672807,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1.696,Com,Hotels,1073,2669.0,4857067.552,971413.5104,1457120.2656,2428533.776,40.446641727969144,20.59595577422435,1.7484072052957855,3.8102152140207406,8.718192731180293,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1.7919999999999998,Com,Offices,305,2550.0,1393727.9999999998,278745.6,418118.3999999999,696863.9999999999,12.14771915654773,6.1857765148631385,0.5251155298396669,1.144357661563844,2.6184165687555496,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",3.044,Com,Trade,1283,1904.0,7435980.607999999,1487196.1216,2230794.1824,3717990.304,86.80169437093392,44.200551195706375,3.752220243419545,8.177023415672272,18.70993161826607,Clervaux,1,1,Diekirch
6.0123,50.0747,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",0.424,Com,Hotels,2146,2669.0,2428533.776,485706.7552,728560.1328,1214266.888,20.223320863984572,10.297977887112175,0.8742036026478928,1.9051076070103703,4.359096365590147,Clervaux,1,1,Diekirch
