LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1
14.4698,35.9013,CR+PC/LWAL+CDN/H:2,"Concrete wall, low rise, pre code",1645.2985074626865,3545.9777766601037,Res,ALL,RURAL,106.5,787.5,297396723.6562621,89219017.09687863,148698361.82813105,59479344.73125242,7669.174149382378,1907.8221072711074,7313.297626741512,4142.496747614742,4454.538827209121,MLT.1_1,Centrali
14.4698,35.9013,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",97.9866666666667,2363.98518444007,Res,ALL,RURAL,100.0,787.5,186163833.27465552,55849149.98239666,93081916.63732776,37232766.65493111,5112.78276625492,1271.8814048474048,4875.53175116101,2761.6644984098284,2969.6925514727477,MLT.1_1,Centrali
14.4698,35.9013,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",1230.44776119403,2651.883774734513,Res,ALL,RURAL,106.5,787.5,222410177.3322652,66723053.19967955,111205088.6661326,44482035.46645305,5735.444431215888,1426.7778339314202,5469.299735551961,3097.9945740768303,3331.3573811867373,MLT.1_1,Centrali
14.4698,35.9013,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",164.88,3977.825662101769,Res,ALL,RURAL,100.0,787.5,313253770.89051425,93976131.26715428,156626885.44525713,62650754.17810285,8603.166646823829,2140.16675089713,8203.949603327941,4646.991861115244,4997.036071780104,MLT.1_1,Centrali
14.4698,35.9013,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",3888.134328358208,8379.779023983674,Res,ALL,RURAL,106.5,787.5,702801592.0177307,210840477.6053192,351400796.00886536,140560318.40354615,18123.628718509142,4508.524498159928,17282.628913269808,9789.459928673996,10526.871113367908,MLT.1_1,Centrali
14.4698,35.9013,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",231.56000000000003,5586.519349322452,Res,ALL,RURAL,100.0,787.5,439938398.7591431,131981519.62774292,219969199.37957156,87987679.75182861,12082.419145672771,3005.6829987732867,11521.752608846546,6526.306619116002,7017.914075578611,MLT.1_1,Centrali
14.4698,35.9013,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",2781.8,4474.169265257439,Res,ALL,RURAL,110.0,712.5,350663016.16455185,105198904.84936556,175331508.08227593,70132603.23291038,9676.649271443688,2407.2116560106892,9227.61887697625,5226.8324273210355,5620.5543201026585,MLT.1_1,Centrali
14.4698,35.9013,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",2075.9701492537315,4474.169265257439,Res,ALL,RURAL,106.5,712.5,339505556.55931616,101851666.96779484,169752778.27965808,67901111.31186323,9676.649271443688,2407.2116560106892,9227.61887697625,5226.8324273210355,5620.5543201026585,MLT.1_1,Centrali
14.4698,35.9013,MUR+CL/LWAL+CDN/H:3,"Unreinforced masonry, low rise",10.340000000000003,249.45849918809014,Res,ALL,RURAL,108.0,712.5,19195831.512523536,5758749.453757062,9597915.756261768,3839166.3025047067,539.5241577399224,134.21472710017184,514.488348486238,291.4234342790614,313.3755032884904,MLT.1_1,Centrali
14.4698,35.9013,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",10283.2,16539.21108221127,Res,ALL,RURAL,110.0,712.5,1296260668.5683086,388878200.5704925,648130334.2841543,259252133.71366167,35770.69515713198,8898.496980763937,34110.809704408006,19321.50521842968,20776.937301200538,MLT.1_1,Centrali
14.4698,35.9013,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",6646.268656716417,14324.16114615816,Res,ALL,RURAL,106.5,712.5,1086935252.9719136,326080575.89157414,543467626.4859568,217387050.5943828,30980.02674939877,7706.746354314185,29542.445078133038,16733.83046866099,17994.340633702737,MLT.1_1,Centrali
14.4698,35.9013,MUR+ST/LWAL+CDN/H:3,"Unreinforced masonry, low rise",81.47333333333333,1965.5914368650213,Res,ALL,RURAL,108.0,712.5,151252261.06676343,45375678.32002903,75626130.53338172,30250452.21335269,4251.144249993288,1057.5358993495802,4053.876277788725,2296.251315489624,2469.2211642093102,MLT.1_1,Centrali
14.2597,36.0421,CR+PC/LWAL+CDN/H:2,"Concrete wall, low rise, pre code",362.12686567164184,780.4625192199918,Res,ALL,RURAL,106.5,787.5,65456415.90883168,19636924.772649504,32728207.95441584,13091283.181766335,1743.5111727779838,433.7245568961152,1662.606152071981,941.7558164648552,1012.6955084776503,MLT.2_1,Ghawdex
14.2597,36.0421,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",21.566666666666666,520.3083461466613,Res,ALL,RURAL,100.0,787.5,40974282.25904957,12292284.67771487,20487141.129524786,8194856.451809913,1162.340781851989,289.14970459741005,1108.4041013813203,627.8372109765701,675.1303389851001,MLT.2_1,Ghawdex
