LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,NAME_2,ID_1,NAME_1
11.3841,59.1252,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",33.050000000000026,99.15000000000008,Res,ALL,RURAL,100.0,1561.875,15486238.500000013,4645871.550000004,7743119.2500000065,3097247.7000000025,199.2617048843933,49.02475577611706,192.40421294164935,115.26183725100049,118.8969353229223,NO0101,Halden,NOR.2_1,Astfold
11.3841,59.1252,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",19.830000000000016,59.490000000000045,Res,ALL,RURAL,100.0,1561.875,9291743.100000007,2787522.930000002,4645871.550000004,1858348.6200000013,119.55702293063601,29.414853465670234,115.44252776498962,69.15710235060027,71.33816119375338,NO0101,Halden,NOR.2_1,Astfold
11.3841,59.1252,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",297.45,297.45,Res,ALL,RURAL,165.0,1413.125,69353888.17499998,20806166.452499993,34676944.08749999,13870777.634999998,597.7851146531794,147.07426732835106,577.2126388249477,345.7855117530011,356.69080596876665,NO0101,Halden,NOR.2_1,Astfold
11.3841,59.1252,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",317.28,317.28,Res,ALL,RURAL,159.1,1413.125,71332225.34879999,21399667.60464,35666112.674399994,14266445.069759997,637.6374556300582,156.87921848357442,615.6934814132774,368.8378792032012,380.470193033351,NO0101,Halden,NOR.2_1,Astfold
11.3841,59.1252,MUR/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",13.220000000000011,39.66000000000004,Res,ALL,RURAL,100.0,1413.125,5604354.600000005,1681306.3800000015,2802177.3000000026,1120870.9200000009,79.70468195375734,19.609902310446827,76.96168517665977,46.10473490040019,47.55877412916893,NO0101,Halden,NOR.2_1,Astfold
11.3841,59.1252,W/LFM+CDN/H:1,"Wood, low rise",694.05,694.05,Res,ALL,RURAL,165.0,1413.125,161825739.07499996,48547721.72249999,80912869.53749998,32365147.814999994,1394.831934190752,343.17329043281916,1346.8294905915445,806.8328607570024,832.2785472604553,NO0101,Halden,NOR.2_1,Astfold
11.3841,59.1252,W/LFM+CDN/H:2,"Wood, low rise",475.91999999999985,475.91999999999985,Res,ALL,RURAL,159.1,1413.125,106998338.02319998,32099501.40695999,53499169.01159999,21399667.60464,956.4561834450873,235.31882772536167,923.5402221199163,553.2568188048017,570.7052895500266,NO0101,Halden,NOR.2_1,Astfold
10.6723,59.4428,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",3.2833333333333035,9.849999999999909,Res,ALL,RURAL,100.0,1561.875,1538471.499999986,461541.4499999957,769235.749999993,307694.2999999972,21.297113917078704,5.239771531246708,20.5641843901794,12.319198411207633,12.707718110877915,NO0104,Moss,NOR.2_1,Astfold
10.6723,59.4428,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",1.9699999999999815,5.909999999999945,Res,ALL,RURAL,100.0,1561.875,923082.8999999914,276924.86999999743,461541.4499999957,184616.57999999827,12.77826835024722,3.1438629187480243,12.33851063410764,7.3915190467245795,7.624630866526747,NO0104,Moss,NOR.2_1,Astfold
10.6723,59.4428,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",29.55,29.55,Res,ALL,RURAL,165.0,1413.125,6889922.324999998,2066976.6975,3444961.1625,1377984.465,63.89134175123671,15.719314593740268,61.69255317053876,36.957595233623245,38.123154332634094,NO0104,Moss,NOR.2_1,Astfold
