LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1,ID_1
19.4643,51.615,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",300.1801000000001,Com,Hotels,252,1323.0,100078844.61960004,20015768.92392001,30023653.38588001,50039422.30980002,3906.203249245717,1870.147539320252,159.82816524776234,333.244058498026,787.7399210220134,Lodz,1
19.4643,51.615,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",14251.37664,Com,Trade,242,1113.0,3838551292.47744,767710258.495488,1151565387.743232,1919275646.23872,178092.070108845,85263.98280755602,7286.9041866085545,15193.301639090732,35914.729544418435,Lodz,1
19.4643,51.615,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",836.22432,Com,Offices,408,1470.0,501533898.1632,100306779.63264,150460169.44896,250766949.0816,17617.949278417767,8434.831059357764,720.8648216503806,1503.0136798657377,3552.9031869579608,Lodz,1
19.4643,51.615,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",759.3983999999997,Com,Trade,484,1113.0,409081842.89279985,81816368.57856,122724552.86783996,204540921.4464,18979.616707869798,9086.747723718225,776.5794870275548,1619.1795707734345,3827.502260506405,Lodz,1
19.4643,51.615,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",842.2964000000003,Com,Hotels,1261,1323.0,1405205611.0092006,281041122.2018401,421561683.30276006,702602805.5046003,54846.94337196065,26258.71457306169,2244.144958478828,4679.075009477022,11060.644847005848,Lodz,1
19.4643,51.615,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",2346.42048,Com,Offices,1019,1470.0,3514773629.6064005,702954725.92128,1054432088.88192,1757386814.8032002,123467.43412222154,59111.70089637423,5051.855268261878,10533.192006117906,24898.91605691801,Lodz,1
19.4643,51.615,CR/LFINF+CDL/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",58.24390000000001,Com,Hotels,1513,1323.0,116586756.38610002,23317351.27722001,34976026.91583001,58293378.19305001,4550.527819794716,2178.6266258522887,186.19167153863052,388.21235409841705,917.6768838297786,Lodz,1
19.4643,51.615,CR/LFINF+CDL/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",162.25248,Com,Offices,1223,1470.0,291699131.0688,58339826.21376,87509739.32063998,145849565.5344,10246.845755690812,4905.815737954677,419.26506436272314,874.1737816866168,2066.418194668006,Lodz,1
19.4643,51.615,CR/LWAL+CDL/HBET:3-5,"Concrete wall, mid rise, low/moderate code",1384.4127,Com,Hotels,1261,1323.0,2309619860.6481004,461923972.12962013,692885958.1944301,1154809930.3240502,90147.36969114807,43159.270229127986,3688.51485196786,7690.607329406379,18179.464136834078,Lodz,1
19.4643,51.615,CR/LWAL+CDL/HBET:3-5,"Concrete wall, mid rise, low/moderate code",3856.6166399999997,Com,Offices,1019,1470.0,5776941763.555201,1155388352.7110405,1733082529.06656,2888470881.7776003,202933.1762966301,97156.99774989169,8303.315307941066,17312.53366962996,40924.28224248757,Lodz,1
19.4643,51.615,CR/LWAL+CDL/HBET:6-,"Concrete wall, mid rise, low/moderate code",71.68480000000002,Com,Hotels,1513,1323.0,143491392.47520006,28698278.49504001,43047417.742560014,71745696.23760003,5600.64962436273,2681.386616433586,229.1589803552376,477.799820428821,1129.4484724058816,Lodz,1
