LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1,ID_1
25.987,47.6617,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",14.9452,Com,Trade,178,798.0,2122875.9888,424575.19776,636862.79664,1061437.9944,720.3575813088871,302.3185891873418,23.048200992768503,47.386562413661224,124.25111753125721,SUCEAVA,36
25.987,47.6617,CR/LFINF+CDH/HBET:3-5/8.0,"Concrete frame with infill panels, mid rise, high code",122.47620000000002,Com,Hotels,350,945.0,40509003.15000001,8101800.630000003,12152700.945000002,20254501.575000007,11607.699198888342,4871.501788240661,371.394139718032,763.5776687012731,2002.1578655533222,SUCEAVA,36
25.987,47.6617,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",8.7483,Com,Hotels,350,945.0,2893500.225,578700.045,868050.0675,1446750.1125,829.1213713491671,347.96441344576147,26.52815283700228,54.541262050090936,143.01127611095157,SUCEAVA,36
25.987,47.6617,CR+PC/LWAL+CDM/HBET:3-5/2.0,"Concrete wall, mid rise",24.9459,Com,Offices,150,1050.0,3928979.2500000005,785795.8500000002,1178693.775,1964489.625,1013.2505164696092,425.2394568761909,32.41945689970338,66.65364547440385,174.77085308343268,SUCEAVA,36
25.987,47.6617,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",3.5637000000000003,Com,Offices,150,1050.0,561282.75,112256.55,168384.82499999998,280641.375,144.75007378137275,60.74849383945584,4.631350985671912,9.521949353486264,24.96726472620467,SUCEAVA,36
25.987,47.6617,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",14.9452,Com,Trade,178,798.0,2122875.9888,424575.19776,636862.79664,1061437.9944,720.3575813088871,302.3185891873418,23.048200992768503,47.386562413661224,124.25111753125721,SUCEAVA,36
25.987,47.6617,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",4.37415,Com,Hotels,350,945.0,1446750.1125,289350.0225,434025.03375,723375.05625,414.56068567458357,173.9822067228807,13.26407641850114,27.270631025045468,71.5056380554758,SUCEAVA,36
25.987,47.6617,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",1.7818500000000002,Com,Offices,150,1050.0,280641.375,56128.275,84192.41249999999,140320.6875,72.37503689068637,30.37424691972792,2.315675492835956,4.760974676743132,12.483632363102336,SUCEAVA,36
25.987,47.6617,MCF/LWAL+CDN/H:1,"Confined or reinforced masonry, low rise",597.808,Com,Trade,178,798.0,84915039.552,16983007.9104,25474511.8656,42457519.776,28814.303252355487,12092.743567493671,921.92803971074,1895.462496546449,4970.044701250287,SUCEAVA,36
25.987,47.6617,CR/LFINF+CDM/HBET:3-5/2.0,"Concrete frame with infill panels, mid rise, low/moderate code",96.2313,Com,Hotels,350,945.0,31828502.475,6365700.495000001,9548550.7425,15914251.2375,9120.335084840839,3827.608547903376,291.80968120702505,599.9538825510001,1573.1240372204672,SUCEAVA,36
25.987,47.6617,MCF/LWAL+CDN/H:1,"Confined or reinforced masonry, low rise",597.808,Com,Trade,178,798.0,84915039.552,16983007.9104,25474511.8656,42457519.776,28814.303252355487,12092.743567493671,921.92803971074,1895.462496546449,4970.044701250287,SUCEAVA,36
25.987,47.6617,CR+PC/LWAL+CDL/H:1/0.0,"Concrete wall, low rise",59.7808,Com,Trade,178,798.0,8491503.9552,1698300.79104,2547451.18656,4245751.9776,2881.4303252355485,1209.2743567493676,92.19280397107401,189.5462496546449,497.00447012502883,SUCEAVA,36
25.987,47.6617,CR/LFINF+CDM/HBET:3-5/2.0,"Concrete frame with infill panels, mid rise, low/moderate code",39.2007,Com,Offices,150,1050.0,6174110.25,1234822.05,1852233.075,3087055.125,1592.2508115951,668.2334322340142,50.94486084239102,104.74144288834887,274.63991198825136,SUCEAVA,36
25.987,47.6617,CR+PC/LWAL+CDM/H:2/2.0,"Concrete wall, low rise",149.452,Com,Trade,178,798.0,21228759.888,4245751.9776,6368627.9664,10614379.944,7203.575813088872,3023.185891873418,230.482009927685,473.86562413661227,1242.5111753125718,SUCEAVA,36
25.987,47.6617,MCF/LWAL+CDN/H:2,"Confined or reinforced masonry, low rise",298.904,Com,Trade,178,798.0,42457519.776,8491503.9552,12737255.9328,21228759.888,14407.151626177743,6046.371783746836,460.96401985537,947.7312482732243,2485.022350625144,SUCEAVA,36
25.987,47.6617,CR+PC/LWAL+CDM/H:2/2.0,"Concrete wall, low rise",35.637,Com,Offices,150,1050.0,5612827.5,1122565.5,1683848.25,2806413.75,1447.5007378137275,607.4849383945584,46.31350985671912,95.21949353486264,249.6726472620467,SUCEAVA,36
25.987,47.6617,CR+PC/LWAL+CDM/H:2/2.0,"Concrete wall, low rise",87.48299999999998,Com,Hotels,350,945.0,28935002.25,5787000.449999998,8680500.674999999,14467501.124999998,8291.21371349167,3479.6441344576137,265.28152837002267,545.4126205009092,1430.1127611095153,SUCEAVA,36
26.6572,47.8757,CR/LFINF+CDM/H:2/2.0,"Concrete frame with infill panels, low rise, low/moderate code",32.6032,Com,Hotels,350,945.0,10783508.4,2156701.68,3235052.52,5391754.2,4143.99964326597,1739.1475542863975,132.58934058611635,272.6005845333221,714.7791598019452,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDM/HBET:3-5/2.0,"Concrete frame with infill panels, mid rise, low/moderate code",44.82940000000001,Com,Hotels,350,945.0,14827324.050000004,2965464.8100000005,4448197.215000002,7413662.025000001,5697.999509490709,2391.3278871437965,182.31034330590995,374.8258037333178,982.8213447276747,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDM/H:1/2.0,"Concrete frame with infill panels, low rise, low/moderate code",43.3896,Com,Trade,178,798.0,6163232.3424,1232646.46848,1848969.70272,3081616.1712,2804.768915936267,1177.1012114867588,89.73998384983881,184.50330882811954,483.7815013882391,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDL/HBET:6-/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",3.23595,Com,Offices,150,1050.0,509662.125,101932.425,152898.63749999998,254831.0625,176.27247341575386,73.97776723441343,5.639925923173752,11.59555584623512,30.404416334607433,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDL/HBET:6-/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",6.1131,Com,Hotels,350,945.0,2021907.825,404381.565,606572.3474999999,1010953.9125,776.9999331123693,326.09016642869943,24.86050135989681,51.11260959999786,134.02109246286471,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDL/HBET:3-5/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",16.17975,Com,Offices,150,1050.0,2548310.625,509662.125,764493.1875,1274155.3125,881.3623670787691,369.88883617206716,28.199629615868766,57.9777792311756,152.02208167303715,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDL/HBET:3-5/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",30.5655,Com,Hotels,350,945.0,10109539.125,2021907.825,3032861.7375,5054769.5625,3884.9996655618456,1630.4508321434973,124.30250679948405,255.5630479999894,670.1054623143236,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDL/H:2/0.0,"Concrete frame with infill panels, low rise, low/moderate code",21.6948,Com,Trade,178,798.0,3081616.1712,616323.23424,924484.85136,1540808.0856,1402.3844579681336,588.5506057433794,44.869991924919404,92.25165441405977,241.89075069411956,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDL/H:2/0.0,"Concrete frame with infill panels, low rise, low/moderate code",10.7865,Com,Offices,150,1050.0,1698873.75,339774.75,509662.125,849436.875,587.5749113858462,246.5925574480449,18.799753077245843,38.65185282078375,101.34805444869149,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDL/H:2/0.0,"Concrete frame with infill panels, low rise, low/moderate code",20.377,Com,Hotels,350,945.0,6739692.75,1347938.55,2021907.825,3369846.375,2589.9997770412306,1086.9672214289978,82.86833786632269,170.37536533332627,446.73697487621564,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDL/H:1/0.0,"Concrete frame with infill panels, low rise, low/moderate code",28.9264,Com,Trade,178,798.0,4108821.5616,821764.31232,1232646.46848,2054410.7808,1869.8459439575115,784.7341409911724,59.82665589989255,123.00220588541302,322.5210009254926,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDH/HBET:6-/8.0,"Concrete frame with infill panels, mid rise, high code",19.4157,Com,Offices,150,1050.0,3057972.75,611594.55,917391.825,1528986.375,1057.6348404945234,443.8666034064807,33.839555539042514,69.57333507741073,182.42649800764462,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDH/HBET:6-/8.0,"Concrete frame with infill panels, mid rise, high code",36.6786,Com,Hotels,350,945.0,12131446.95,2426289.39,3639434.085,6065723.4750000015,4661.999598674215,1956.5409985721963,149.16300815938084,306.67565759998723,804.1265547771883,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDH/HBET:3-5/8.0,"Concrete frame with infill panels, mid rise, high code",30.2022,Com,Offices,150,1050.0,4756846.5,951369.3,1427053.95,2378423.25,1645.2097518803694,690.4591608545254,52.639308616288346,108.22518789819445,283.77455245633615,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDH/HBET:3-5/8.0,"Concrete frame with infill panels, mid rise, high code",57.05560000000001,Com,Hotels,350,945.0,18871139.700000007,3774227.9400000013,5661341.910000001,9435569.85,7251.999375715448,3043.5082200011952,232.03134602570358,477.0510229333137,1250.8635296534042,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDH/H:2/8.0,"Concrete frame with infill panels, low rise, high code",50.6212,Com,Trade,178,798.0,7190437.7328,1438087.5465600004,2157131.31984,3595218.8664,3272.2304019256444,1373.2847467345516,104.69664782481196,215.25386029947282,564.411751619612,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDH/H:2/8.0,"Concrete frame with infill panels, low rise, high code",15.1011,Com,Offices,150,1050.0,2378423.25,475684.65,713526.975,1189211.625,822.6048759401847,345.2295804272628,26.319654308144173,54.112593949097224,141.88727622816802,BOTOSANI,7
26.6572,47.8757,CR/LFINF+CDH/H:2/8.0,"Concrete frame with infill panels, low rise, high code",28.52780000000001,Com,Hotels,350,945.0,9435569.85,1887113.9700000002,2830670.9550000005,4717784.925000002,3625.999687857724,1521.7541100005976,116.01567301285179,238.52551146665684,625.4317648267021,BOTOSANI,7
