LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,ID_2,ID_1,NAME_1
18.7504,49.1958,CR+PC/LWAL+CDM/HBET:3-5,"Concrete wall, mid rise",86.071,COM,Hotels,,2205.0,,,,,,,,,,Zilina,1,1,Zilinsky
18.7504,49.1958,CR+PC/LWAL+CDM/HBET:3-5,"Concrete wall, mid rise",215.9616,COM,Offices,,2100.0,,,,,,,,,,Zilina,1,1,Zilinsky
18.7504,49.1958,CR+PC/LWAL+CDM/HBET:6-,"Concrete wall, mid rise",0.5644,COM,Hotels,,2205.0,,,,,,,,,,Zilina,1,1,Zilinsky
18.7504,49.1958,CR+PC/LWAL+CDM/HBET:6-,"Concrete wall, mid rise",1.8944,COM,Offices,,2100.0,,,,,,,,,,Zilina,1,1,Zilinsky
18.7504,49.1958,CR+PC/LWAL+CDN/H:2,"Concrete wall, low rise",60.9174,COM,Trade,103.86,1575.0,9964837.8333,1992967.56666,2989451.34999,4982418.91665,1027.753192900597,544.8962433184244,48.58754607097219,105.41510336602488,232.9662975851405,Zilina,1,1,Zilinsky
18.7504,49.1958,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",18.0608,COM,Hotels,3089.1,2205.0,123020516.1024,24604103.220480002,36906154.83072,61510258.0512,9062.919203046393,4804.996628909543,428.4540367836198,929.5700282776639,2054.340231323609,Zilina,1,1,Zilinsky
18.7504,49.1958,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",56.832,COM,Offices,401.07,2100.0,47866581.504,9573316.300800001,14359974.4512,23933290.752,3702.646706119125,1963.07663594365,175.04447435513472,379.7749186765795,839.2986763251214,Zilina,1,1,Zilinsky
18.7504,49.1958,CR/LFINF+CDM/H:1,"Concrete frame with infill panels, low rise, low/moderate code",3.7888,COM,Offices,80.21,2100.0,638189.2608,127637.85216000001,191456.77824,319094.6304,49.366160902554846,26.173049919638334,2.333809939748732,5.063413074533696,11.190090977973588,Zilina,1,1,Zilinsky
18.7504,49.1958,CR/LFINF+CDM/H:1,"Concrete frame with infill panels, low rise, low/moderate code",245.9258,COM,Trade,51.93,1575.0,20114209.70055,4022841.9401100003,6034262.910165,10057104.850275,2074.5388523363904,1099.883157809412,98.07486151362905,212.78233827586504,470.246785866302,Zilina,1,1,Zilinsky
18.7504,49.1958,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",0.2822,COM,Hotels,1235.64,2205.0,768878.2256400001,153775.64512800003,230663.467692,384439.11282000004,56.64324501903996,30.03122893068464,2.677837729897624,5.809812676735401,12.839626445772558,Zilina,1,1,Zilinsky
18.7504,49.1958,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",45.4656,COM,Offices,160.43,2100.0,15317497.0368,3063499.4073600005,4595249.11104,7658748.5184,1184.8617170323212,628.1923548596301,56.01493010356151,121.52948902342963,268.57892466220704,Zilina,1,1,Zilinsky
