LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,NAME_1
18.7504,49.1958,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",417.16621253406,3062.0,RES,ALL,BIG_CITY,69.0,1443.75,305043176.4,91512952.91999999,152521588.2,61008635.28,25448.88164927281,5621.034458723956,24116.21278838617,12819.288806543245,14185.512017884457,Zilina,Zilinsky
18.7504,49.1958,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",54.75,54.75,RES,ALL,BIG_CITY,105.0,1443.75,8300045.25,2490013.5749999997,4150022.625,1660009.05,455.0379720110014,100.50673958691594,431.2092260496873,229.2149125271857,253.6436260545963,Zilina,Zilinsky
18.7504,49.1958,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",36.5,36.5,RES,ALL,BIG_CITY,100.0,1443.75,5269870.0,1580961.0,2634935.0,1053974.0,303.3586480073343,67.00449305794396,287.47281736645823,152.8099416847905,169.09575070306423,Zilina,Zilinsky
18.7504,49.1958,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",622.7111716621254,4570.7,RES,ALL,BIG_CITY,69.0,1443.75,455343189.53999996,136602956.862,227671594.76999998,91068637.90799999,37987.98280677049,8390.614696436834,35998.685105119745,19135.57261530608,21174.957472287555,Zilina,Zilinsky
18.7504,49.1958,CR/LFINF+CDL/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",217.79722222222222,3920.35,RES,ALL,BIG_CITY,62.5,1443.75,353762583.125,106128774.9375,176881291.5625,70752516.625,32582.796594946652,7196.741489307139,30876.54957705738,16412.834380382694,18162.041815582405,Zilina,Zilinsky
18.7504,49.1958,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",88.60354223433242,650.35,RES,ALL,BIG_CITY,69.0,1443.75,64789297.77,19436789.331,32394648.885,12957859.554000001,5405.1862118238305,1193.8732071296945,5122.1355280623575,2722.738234923383,3012.915656705145,Zilina,Zilinsky
18.7504,49.1958,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",74.28888888888889,1337.2,RES,ALL,BIG_CITY,62.5,1443.75,120665585.0,36199675.5,60332792.5,24133117.0,11113.731071654996,2454.7509073173333,10531.743873491176,5598.286411531557,6194.927064113355,Zilina,Zilinsky
18.7504,49.1958,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",364.95,364.95,RES,ALL,BIG_CITY,105.0,1443.75,55326055.05,16597816.514999999,27663027.525,11065211.01,3033.170920281552,669.9531436026479,2874.334375284628,1527.890088160665,1690.7258690159804,Zilina,Zilinsky
18.7504,49.1958,MCF/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",279.8,279.8,RES,ALL,BIG_CITY,100.0,1443.75,40397524.0,12119257.2,20198762.0,8079504.800000001,2325.4725948617024,513.639922126376,2203.695734222877,1171.4033337919009,1296.2463300470513,Zilina,Zilinsky
18.7504,49.1958,MCF/LWAL+CDL/HBET:3-5,"Confined or reinforced masonry, mid rise",39.776566757493185,291.96,RES,ALL,BIG_CITY,69.0,1443.75,29085697.512,8725709.2536,14542848.756,5817139.5024,2426.5367362252414,535.9625148821183,2299.467500227702,1222.312070528532,1352.5806952127841,Zilina,Zilinsky
18.7504,49.1958,MUR+ADO/LWAL+CDN/H:1,"Adobe, low rise",5.6,5.6,RES,ALL,BIG_CITY,105.0,1306.25,768045.6,230413.68,384022.8,153609.12,46.54269668057731,10.280141400670852,44.105418554853856,23.444812970817164,25.943457642113955,Zilina,Zilinsky
18.7504,49.1958,MUR+ADO/LWAL+CDN/H:2,"Adobe, low rise",7.4,7.4,RES,ALL,BIG_CITY,100.0,1306.25,966588.0,289976.39999999997,483294.0,193317.6,61.502849185048596,13.584472565172202,58.28216023319975,30.980645711436974,34.28242616993631,Zilina,Zilinsky
18.7504,49.1958,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",729.76,729.76,RES,ALL,BIG_CITY,105.0,1306.25,100087313.76,30026194.128000002,50043656.88,20017462.752,6065.178273146089,1339.649283670279,5747.566115105385,3055.19405599706,3380.803151590908,Zilina,Zilinsky
18.7504,49.1958,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",2929.86,2929.86,RES,ALL,BIG_CITY,100.0,1306.25,382698313.2,114809493.96,191349156.6,76539662.64,24350.6402315279,5378.459836458841,23075.482429843596,12266.074951906856,13573.339072736431,Zilina,Zilinsky
18.7504,49.1958,MUR+CL/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",24.032697547683924,176.4,RES,ALL,BIG_CITY,69.0,1306.25,15898543.920000002,4769563.176,7949271.960000001,3179708.7840000005,1466.0949454381853,323.8244541211319,1389.3206844778967,738.5116085807407,817.2189157265898,Zilina,Zilinsky
18.7504,49.1958,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",358.87,358.87,RES,ALL,BIG_CITY,105.0,1306.25,49219379.37,14765813.810999999,24609689.685,9843875.874,2982.638849599782,658.7918472247767,2826.4484922822153,1502.4357197923496,1662.5586864331137,Zilina,Zilinsky
18.7504,49.1958,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",261.55,261.55,RES,ALL,BIG_CITY,100.0,1306.25,34163661.0,10249098.299999999,17081830.5,6832732.2,2173.793270858035,480.1376755974039,2059.959325539648,1094.9983629495055,1211.698454695519,Zilina,Zilinsky
18.7504,49.1958,W/LFM+CDL/H:1,"Wood, low rise",5.4,5.4,RES,ALL,BIG_CITY,105.0,1306.25,740615.4,222184.62,370307.7,148123.08000000002,44.88045751341384,9.91299349350404,42.53022503503766,22.607498221859416,25.016905583467036,Zilina,Zilinsky
18.7504,49.1958,W/LFM+CDL/H:2,"Wood, low rise",5.4,5.4,RES,ALL,BIG_CITY,100.0,1306.25,705348.0,211604.4,352674.0,141069.6,44.88045751341384,9.91299349350404,42.53022503503766,22.607498221859416,25.016905583467036,Zilina,Zilinsky
18.7504,49.1958,W/LFM+CDL/HBET:3-5,"Wood, mid rise",0.343324250681199,2.5200000000000005,RES,ALL,BIG_CITY,69.0,1306.25,227122.05600000004,68136.6168,113561.02800000002,45424.41120000001,20.944213506259793,4.626063630301885,19.84743834968424,10.550165836867727,11.674555938951285,Zilina,Zilinsky
18.7504,49.1958,W/LFM+CDN/H:1,"Wood, low rise",10.8,10.8,RES,ALL,BIG_CITY,105.0,1306.25,1481230.8,444369.24,740615.4,296246.16000000003,89.76091502682767,19.82598698700808,85.06045007007532,45.21499644371883,50.03381116693407,Zilina,Zilinsky
18.7504,49.1958,W/LFM+CDN/H:2,"Wood, low rise",10.080000000000002,10.080000000000002,RES,ALL,BIG_CITY,100.0,1306.25,1316649.6000000003,394994.88000000006,658324.8000000002,263329.9200000001,83.77685402503917,18.50425452120754,79.38975339873696,42.20066334747091,46.69822375580514,Zilina,Zilinsky
18.7504,49.1958,W/LFM+CDN/HBET:3-5,"Wood, mid rise",0.2452316076294278,1.8,RES,ALL,BIG_CITY,69.0,1306.25,162230.04,48669.012,81115.02,32446.008,14.960152504471278,3.3043311645013462,14.176741678345884,7.535832740619803,8.338968527822344,Zilina,Zilinsky
18.5406,49.2305,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",4123.297002724796,30265.0,RES,ALL,BIG_CITY,69.0,1443.75,3015065883.0,904519764.9,1507532941.5,603013176.6,21207.540160318676,4684.226036680468,20096.975508513347,10682.810582336846,11821.337375843554,Bytca,Zilinsky
18.5406,49.2305,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",37.5,37.5,RES,ALL,BIG_CITY,105.0,1443.75,5684962.5,1705488.75,2842481.25,1136992.5,26.277308971153158,5.8040137576579385,24.901258270915267,13.236590016112068,14.647287348228424,Bytca,Zilinsky
18.5406,49.2305,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",25.0,25.0,RES,ALL,BIG_CITY,100.0,1443.75,3609500.0,1082850.0,1804750.0,721900.0,17.518205980768773,3.8693425051052928,16.600838847276847,8.824393344074712,9.764858232152285,Bytca,Zilinsky
18.5406,49.2305,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",454.366485013624,3335.05,RES,ALL,BIG_CITY,69.0,1443.75,332245018.11,99673505.433,166122509.055,66449003.62200001,2336.963714246516,516.1780288660564,2214.5851039044255,1177.1917208862549,1302.651617885579,Bytca,Zilinsky
18.5406,49.2305,CR/LFINF+CDL/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",158.91111111111113,2860.4,RES,ALL,BIG_CITY,62.5,1443.75,258115345.0,77434603.5,129057672.5,51623069.0,2004.3630554956396,442.7146920641272,1899.4015775500272,1009.6517888556522,1117.2560194899356,Bytca,Zilinsky
18.5406,49.2305,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",64.66621253405994,474.65,RES,ALL,BIG_CITY,69.0,1443.75,47285677.23,14185703.168999998,23642838.615,9457135.446,332.6006587508759,73.46333680192909,315.18352635439817,167.53993203060247,185.39559839564322,Bytca,Zilinsky
18.5406,49.2305,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",54.12777777777777,974.3,RES,ALL,BIG_CITY,62.5,1443.75,87918396.25,26375518.875,43959198.125,17583679.25,682.7195234825205,150.79601610896344,646.967891556073,343.90425740527957,380.55605502343866,Bytca,Zilinsky
18.5406,49.2305,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",611.25,611.25,RES,ALL,BIG_CITY,105.0,1443.75,92664888.75,27799466.625,46332444.375,18532977.75,428.32013622979645,94.60542424982441,405.89050981591885,215.75641726262668,238.7507837761233,Bytca,Zilinsky
18.5406,49.2305,MCF/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",432.5,432.5,RES,ALL,BIG_CITY,100.0,1443.75,62444350.0,18733305.0,31222175.0,12488870.0,303.0649634672997,66.93962533832156,287.19451205788937,152.6620048524925,168.93204741623447,Bytca,Zilinsky
18.5406,49.2305,MCF/LWAL+CDL/HBET:3-5,"Confined or reinforced masonry, mid rise",66.62125340599455,489.0,RES,ALL,BIG_CITY,69.0,1443.75,48715255.8,14614576.739999998,24357627.9,9743051.16,342.65610898383716,75.68433939985952,324.71240785273505,172.60513381010136,191.00062702089863,Bytca,Zilinsky
18.5406,49.2305,MUR+ADO/LWAL+CDN/H:1,"Adobe, low rise",33.599999999999994,33.599999999999994,RES,ALL,BIG_CITY,105.0,1306.25,4608273.6,1382482.0799999998,2304136.8,921654.72,23.54446883815322,5.200396326861512,22.311527410740073,11.859984654436408,13.123969464012665,Bytca,Zilinsky
18.5406,49.2305,MUR+ADO/LWAL+CDN/H:2,"Adobe, low rise",14.4,14.4,RES,ALL,BIG_CITY,100.0,1306.25,1880928.0,564278.4,940464.0,376185.60000000003,10.09048664492281,2.228741282940648,9.56208317603146,5.082850566187033,5.624558341719713,Bytca,Zilinsky
