LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1,ID_1
-4.9486,37.1133,CR/LFINF+CDM+LFC:5.0/H:3,"Concrete frame with infill panels, low rise, low/moderate code",246.73155,Com,Hotels,1415,2646.0,923785129.0395,184757025.8079,277135538.71185,461892564.51975,37257.301795764426,21024.239517397174,2050.93994925324,4283.34158690275,9119.507017851056,Andalucia,ESP.1_1
-4.9486,37.1133,MUR+ST/LWAL+CDN/H:4,"Unreinforced masonry, mid rise",296.0778600000001,Com,Hotels,1886,2142.0,1196098891.7623205,239219778.3524641,358829667.5286961,598049445.8811603,59590.618674327976,33626.896731995264,3280.344376784406,6850.924861822126,14586.05532353393,Andalucia,ESP.1_1
-4.9486,37.1133,CR/LFINF+CDM+LFC:5.0/H:2,"Concrete frame with infill panels, low rise, low/moderate code",1235.49356,Com,Trade,457,1890.0,1067132852.5788,213426570.51576,320139855.77364,533566426.2894,60254.14925271508,34001.32604208324,3316.870408063459,6927.2086500622645,14748.468366736319,Andalucia,ESP.1_1
-4.9486,37.1133,MUR+ST/LWAL+CDN/H:3,"Unreinforced masonry, low rise",427.66802000000007,Com,Hotels,1415,2142.0,1296231831.8586,259246366.37172005,388869549.55758005,648115915.9293001,64579.32311265834,36442.01516348843,3554.9625787056157,7424.458750631436,15807.145497608491,Andalucia,ESP.1_1
-4.9486,37.1133,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1897.3651100000002,Com,Trade,457,1530.0,1326656658.5631,265331331.71262002,397996997.56893,663328329.2815499,92533.15778095524,52216.32213605638,5093.765269526024,10638.21328402419,22649.4335632022,Andalucia,ESP.1_1
-4.9486,37.1133,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",372.12156,Com,Offices,130,2040.0,98686637.71200001,19737327.5424,29605991.3136,49343318.856000006,5162.480902274533,2913.1802294321656,284.1842487084085,593.512360651345,1263.6256129306396,Andalucia,ESP.1_1
-4.9486,37.1133,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",2253.4814899999997,Com,Hotels,943,2142.0,4551820782.53994,910364156.5079881,1365546234.761982,2275910391.26997,226775.40995508136,127969.02367453749,12483.532767207316,26071.57516860086,55508.043870115216,Andalucia,ESP.1_1
-4.9486,37.1133,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",10016.322789999998,Com,Trade,228,1530.0,3494094042.0636,698818808.41272,1048228212.6190797,1747047021.0317998,243710.04600840263,137525.21339747257,13415.750612670545,28018.49100442501,59653.15167152271,Andalucia,ESP.1_1
-4.9486,37.1133,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",537.50892,Com,Offices,65,2040.0,71273682.792,14254736.5584,21382104.8376,35636841.396,3728.458429420497,2103.963499034342,205.2441796227395,428.64781602597145,912.6184982276843,Andalucia,ESP.1_1
-4.9486,37.1133,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1480.3893,Com,Hotels,472,2142.0,1496709111.6432002,299341822.32864004,449012733.49296,748354555.8216001,74567.26408876668,42078.195274394915,4104.7787535584275,8572.737366861193,18251.90379827151,Andalucia,ESP.1_1
