LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,NAME_1
-6.8459,37.3386,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",8748.525071529231,17497.050143058463,RES,ALL,RURAL,100,950.0,1662219763.590554,498665929.0771662,831109881.795277,332443952.7181108,34979.17571210847,7005.909145026781,32858.21339280477,16349.529071657338,18737.883869829628,Huelva,Andalucia
-6.8459,37.3386,MUR+ST/LWAL+CDN/H:3,"Unreinforced masonry, low rise",544.4184331895632,816.6276497843448,RES,ALL,RURAL,100,950.0,77579626.72951277,23273888.01885383,38789813.36475638,15515925.345902555,1632.5587353080336,326.98192397737546,1533.5685363926311,763.0701970734897,874.5402191478321,Huelva,Andalucia
-6.8459,37.3386,MUR+ST/LWAL+CDN/H:4,"Unreinforced masonry, mid rise",322.3697456263968,644.7394912527936,RES,ALL,RURAL,90,950.0,55125226.50211386,16537567.950634155,27562613.25105693,11025045.300422773,1288.9290348187083,258.15701852576944,1210.7748227924758,602.4550978420253,690.4623130534236,Huelva,Andalucia
-6.8459,37.3386,MUR+ST/LWAL+CDN/H:5,"Unreinforced masonry, mid rise",148.1172033138318,740.586016569159,RES,ALL,RURAL,83,950.0,58395207.40647819,17518562.221943457,29197603.703239094,11679041.481295638,1480.5403306099747,296.5344617372106,1390.767767663439,692.0156545795818,793.1059613267438,Huelva,Andalucia
-6.8459,37.3386,MUR+ST/LWAL+CDN/H:6,"Unreinforced masonry, mid rise",51.9655962192709,1091.2775206046888,RES,ALL,RURAL,80,950.0,82937091.56595635,24881127.469786905,41468545.78297818,16587418.313191272,2181.62420704094,436.95314917981574,2049.3414232470122,1019.7075165524881,1168.6673629931054,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDL/H:7/4.0,"Concrete frame with infill panels, mid rise, low/moderate code",29.74547337404449,874.5169171969079,RES,ALL,RURAL,80,1050.0,73459421.04454027,22037826.31336208,36729710.522270136,14691884.208908055,1748.2878919437662,350.1610853016331,1642.280455615756,817.162872853706,936.5348045903651,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDL/H:7/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",24.66077707078903,725.0268458811975,RES,ALL,RURAL,80,1050.0,60902255.05402058,18270676.516206175,30451127.52701029,12180451.010804117,1449.4352608422685,290.30448952357625,1361.5487538010973,677.4769116821326,776.4433850022688,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDL/H:6/4.0,"Concrete frame with infill panels, mid rise, low/moderate code",8.237208011273859,172.98136823675105,RES,ALL,RURAL,80,1050.0,14530434.931887088,4359130.479566126,7265217.465943544,2906086.986377418,345.8151874174483,69.2626322574659,324.84668352839134,161.63661221282098,185.24864266622606,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDL/H:6/0.0,"Concrete frame with infill panels, mid rise, low/moderate code",8.084667122176196,169.7780095657001,RES,ALL,RURAL,80,1050.0,14261352.80351881,4278405.841055643,7130676.401759405,2852270.560703762,339.4112024652734,67.97999091936468,318.8310042037915,158.64334161628727,181.81811224648118,Huelva,Andalucia
-6.8459,37.3386,CR/LFLS+CDL/H:2/4.0,"Concrete frame, low rise, low/moderate code",525.8084447196483,1051.6168894392965,RES,ALL,RURAL,100,1050.0,110419773.39112614,33125932.01733784,55209886.69556307,22083954.67822523,2102.336774299726,421.07282785094355,1974.8615839900622,982.6479758334992,1126.194129224835,Huelva,Andalucia
-6.8459,37.3386,CR/LFLS+CDL/H:2/0.0,"Concrete frame, low rise, low/moderate code",524.8931993850621,1049.7863987701242,RES,ALL,RURAL,100,1050.0,110227571.87086304,33068271.56125891,55113785.93543152,22045514.37417261,2098.677354327054,420.339889943457,1971.424052947433,980.9375354926226,1124.2338261278376,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDN/HBET:10-15,"Concrete frame with infill panels, high rise, pre code",2.542348151627735,152.5408890976641,RES,ALL,RURAL,75,1050.0,12012595.016441047,3603778.504932314,6006297.508220524,2402519.0032882094,304.9516643892843,61.078158957200976,286.46092021904,142.5366950730344,163.35859141642513,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDN/H:9,"Concrete frame with infill panels, high rise, pre code",1.016939260651094,45.762266729299235,RES,ALL,RURAL,77,1050.0,3699879.265063843,1109963.7795191528,1849939.6325319216,739975.8530127687,91.48549931678531,18.323447687160296,85.93827606571203,42.76100852191033,49.00757742492755,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDN/H:8,"Concrete frame with infill panels, high rise, pre code",1.016939260651094,40.677570426043765,RES,ALL,RURAL,80,1050.0,3416915.9157876763,1025074.7747363029,1708457.9578938382,683383.1831575353,81.32044383714249,16.287509055253594,76.38957872507736,38.009785352809175,43.56229104438004,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDN/H:7,"Concrete frame with infill panels, mid rise, pre code",3.0508177819532816,89.69404278942648,RES,ALL,RURAL,80,1050.0,7534299.594311824,2260289.8782935473,3767149.797155912,1506859.918862365,179.31157866089916,35.91395746683417,168.43902108879553,83.81157670294422,96.05485175285799,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDM/HBET:10-15/5.0,"Concrete frame with infill panels, high rise, low/moderate code",3.3558995601486097,201.3539736089166,RES,ALL,RURAL,75,1050.0,15856625.421702182,4756987.626510655,7928312.710851091,3171325.0843404364,402.53619699385524,80.62316982350528,378.12841468913285,188.1484374964054,215.6333406696812,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDM/H:9/5.0,"Concrete frame with infill panels, high rise, low/moderate code",5.796553785711235,260.84492035700555,RES,ALL,RURAL,77,1050.0,21089311.810863897,6326793.543259169,10544655.905431949,4217862.36217278,521.4673461056761,104.44365181681367,489.8481735745585,243.73774857488883,279.343191322087,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDM/H:8/5.0,"Concrete frame with infill panels, high rise, low/moderate code",16.779497800743044,671.1799120297218,RES,ALL,RURAL,80,1050.0,56379112.61049663,16913733.78314899,28189556.305248316,11275822.522099327,1341.7873233128505,268.7438994116842,1260.4280489637758,627.1614583213511,718.7778022322703,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDM/H:7/5.0,"Concrete frame with infill panels, mid rise, low/moderate code",21.965888030063628,645.7971080838706,RES,ALL,RURAL,80,1050.0,54246957.07904513,16274087.123713538,27123478.539522566,10849391.415809028,1291.0433663584738,258.580493761206,1212.7609518393278,603.4433522611984,691.5949326205774,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDM/H:6/5.0,"Concrete frame with infill panels, mid rise, low/moderate code",15.559170687961734,326.7425844471964,RES,ALL,RURAL,80,1050.0,27446377.0935645,8233913.12806935,13723188.54678225,5489275.4187129,653.2064651218468,130.82941648632448,613.5992911091836,305.3136008464396,349.91410281398254,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDM/H:5/5.0,"Concrete frame with infill panels, mid rise, low/moderate code",51.02492740316864,255.1246370158432,RES,ALL,RURAL,83,1050.0,22234112.115930736,6670233.63477922,11117056.057965368,4446822.423186148,510.03165869107806,102.15322085591865,479.10588906634456,238.39262250965007,273.2172441439711,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDM/H:4/5.0,"Concrete frame with infill panels, mid rise, low/moderate code",93.35502412777042,186.71004825554084,RES,ALL,RURAL,90,1050.0,17644099.560148608,5293229.868044582,8822049.780074304,3528819.912029722,373.260837212484,74.75966656361399,350.628166348105,174.46491476939408,199.95091589370438,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDM/H:3/5.0,"Concrete frame with infill panels, low rise, low/moderate code",239.10784366058846,358.66176549088266,RES,ALL,RURAL,100,1050.0,37659485.37654268,11297845.612962803,18829742.68827134,7531897.075308536,717.0176008953046,143.61002124811876,673.5412386650178,335.1394042904721,384.09688806786954,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDM/H:2/5.0,"Concrete frame with infill panels, low rise, low/moderate code",3142.749091116141,6285.498182232282,RES,ALL,RURAL,100,1050.0,659977309.1343895,197993192.74031684,329988654.56719476,131995461.8268779,12565.634981715259,2516.745899217786,11803.717704598952,5873.272032716074,6731.245212177604,Huelva,Andalucia
-6.8459,37.3386,MCF/LWAL+CDL/H:4,"Confined or reinforced masonry, mid rise",80.21775633087073,160.43551266174146,RES,ALL,URBAN,90,1181.25,17055578.48004441,5116673.544013322,8527789.240022205,3411115.696008882,320.7341775884231,64.23920696083009,301.28646073034906,149.91356011116088,171.81307593411336,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDN/H:7,"Concrete frame with infill panels, mid rise, pre code",2.9491822180467184,86.70595721057352,RES,ALL,URBAN,80,1181.25,8193366.132570355,2458009.8397711064,4096683.0662851776,1638673.2265140712,173.337956270214,34.717512585448624,162.82760929176956,81.01946079537004,92.85486089086275,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDL/HBET:10-15/0.0,"Concrete frame with infill panels, high rise, low/moderate code",8.643983715534299,518.639022932058,RES,ALL,RURAL,75,1050.0,40842823.05589957,12252846.91676987,20421411.527949784,8168564.611179914,1036.8356589235666,207.6657404544833,973.9671287447361,484.624763248317,555.4192108158454,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDL/H:9/4.0,"Concrete frame with infill panels, high rise, low/moderate code",12.71174075813867,572.0283341162402,RES,ALL,RURAL,77,1050.0,46248490.813298024,13874547.243989406,23124245.406649012,9249698.162659606,1143.5687414598158,229.0430960895036,1074.2284508213997,534.5126065238788,612.594717811594,Huelva,Andalucia
-6.8459,37.3386,MCF/LWAL+CDL/H:3,"Confined or reinforced masonry, low rise",205.45969452392134,308.189541785882,RES,ALL,URBAN,100,1181.25,36403348.675748385,10921004.602724515,18201674.337874193,7280669.735149678,616.1162051101143,123.40068248909456,578.7579990132624,287.9773351400057,330.0453388807876,Huelva,Andalucia
-6.8459,37.3386,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",2543.17813269562,2543.17813269562,RES,ALL,URBAN,100,1181.25,300400201.03400666,90120060.31020199,150200100.51700333,60080040.20680133,5084.186994002763,1018.3016446548254,4775.907315621405,2376.3871323993462,2723.532030891859,Huelva,Andalucia
-6.8459,37.3386,MCF/LWAL+CDL/H:6,"Confined or reinforced masonry, mid rise",7.2746494711819025,152.76763889481995,RES,ALL,URBAN,80,1181.25,14435930.805004906,4330779.241501472,7217965.402502453,2887186.1610009815,305.40497057132933,61.168950745790404,286.88674018073675,142.74857378231863,163.60142156961527,Huelva,Andalucia
-6.8459,37.3386,MCF/LWAL+CDL/H:5,"Confined or reinforced masonry, mid rise",22.020560561415497,110.10280280707748,RES,ALL,URBAN,83,1181.25,10794434.746084753,3238330.423825426,5397217.373042377,2158886.9492169507,220.11169050185904,44.08573026723635,206.7652181482788,102.88185497824769,117.91093446458761,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDL/H:8/4.0,"Concrete frame with infill panels, high rise, low/moderate code",30.762412634695593,1230.4965053878236,RES,ALL,RURAL,80,1050.0,103361706.45257719,31008511.935773157,51680853.226288594,20672341.290515438,2459.9434260735597,492.69714892142116,2310.7847564335893,1149.7960069224773,1317.759304092496,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDL/H:9/0.0,"Concrete frame with infill panels, high rise, low/moderate code",18.559141506882465,835.1613678097109,RES,ALL,RURAL,77,1050.0,67522796.58741513,20256838.976224538,33761398.293707564,13504559.317483027,1669.6103625313315,334.4029202906753,1568.373538199244,780.3884055248633,894.3882880049274,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDH/H:5/9.0,"Concrete frame with infill panels, mid rise, high code",33.03084084212324,165.1542042106162,RES,ALL,URBAN,83,1181.25,16191652.119127128,4857495.635738138,8095826.059563564,3238330.423825426,330.1675357527885,66.12859540085451,310.1478272224182,154.3227824673715,176.8664016968814,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDL/H:9/0.0,"Concrete frame with infill panels, high rise, low/moderate code",17.940858493117535,807.3386321902891,RES,ALL,URBAN,77,1181.25,73429386.21042405,22028815.863127213,36714693.105212025,14685877.24208481,1613.9886234343905,323.2625534104272,1516.1244232524464,754.39038750791,864.5924547235945,Huelva,Andalucia
-6.8459,37.3386,CR/LFINF+CDL/H:8/4.0,"Concrete frame with infill panels, high rise, low/moderate code",29.737587365304407,1189.5034946121764,RES,ALL,URBAN,80,1181.25,112403322.22687222,33720996.668061666,56201661.11343611,22480664.445374444,2377.9923706004415,476.2833359228212,2233.8028032090833,1111.4914689614259,1273.8592026977767,Huelva,Andalucia
