LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,NAME_2,ID_1,NAME_1
14.6708,58.225,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",399.5653,1598.2612,Res,ALL,RURAL,80.0,1443.75,184605561.6448,55381668.49344,92302780.8224,36921112.32896,2899.6041903582673,613.9810386936967,2730.410836048767,1392.4435748875615,1578.945149876675,1,Odeshog,1,Ostergotland
14.6708,58.225,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",2.4582,9.8328,Res,ALL,URBAN,80.0,1575.0,1238932.8,371679.84,619466.4,247786.56000000003,17.83890398074781,3.777325481759416,16.797995014019182,8.56657171127874,9.713964069019113,1,Odeshog,1,Ostergotland
14.6708,58.225,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",28.1096,224.8768,Res,ALL,RURAL,80.0,1443.75,25974169.9072,7792250.97216,12987084.9536,5194833.98144,407.97693868458913,86.38768884717636,384.17128032387416,195.9180735297054,222.15901423358528,1,Odeshog,1,Ostergotland
14.6708,58.225,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",299.8018,299.8018,Res,ALL,RURAL,105.0,1306.25,41118116.6718,12335435.00154,20559058.3359,8223623.334360002,543.907688904011,115.17054944851317,512.1704033026176,261.1945345039508,296.1784957516938,1,Odeshog,1,Ostergotland
14.6708,58.225,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",1.8444,1.8444,Res,ALL,URBAN,95.0,1425.0,249685.65,74905.69499999999,124842.825,49937.13000000001,3.3461551645605785,0.7085366445526264,3.150905337630886,1.606885613892534,1.822109198692016,1,Odeshog,1,Ostergotland
14.6708,58.225,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",28.1096,56.2192,Res,ALL,RURAL,95.0,1306.25,6976184.3088,2092855.29264,3488092.1544,1395236.86176,101.99423467114728,21.59692221179409,96.04282008096851,48.97951838242635,55.53975355839632,1,Odeshog,1,Ostergotland
14.6708,58.225,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",9.0973,18.1946,Res,ALL,RURAL,95.0,1306.25,2257749.7194000003,677324.9158200001,1128874.8597,451549.9438800001,33.009084123353894,6.989558031325754,31.08298756021413,15.85157286409082,17.974706151876898,1,Odeshog,1,Ostergotland
14.6708,58.225,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",178.0616,356.1232,Res,ALL,RURAL,95.0,1306.25,44190971.7648,13257291.52944,22095485.8824,8838194.35296,646.0873372911733,136.80673236572542,608.3878181165647,310.2630919829613,351.81921415508384,1,Odeshog,1,Ostergotland
14.6708,58.225,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",1.0955,2.191,Res,ALL,URBAN,80.0,1425.0,249774.0,74932.19999999997,124887.0,49954.8,3.9749652816917305,0.8416849860197378,3.743024070022378,1.90885186512608,2.164520307056065,1,Odeshog,1,Ostergotland
14.6708,58.225,W/LPB+CDL/HBET:1-3,"Wood, low rise",251.351,251.351,Res,ALL,RURAL,105.0,1306.25,34473041.001,10341912.3003,17236520.5005,6894608.200200002,456.0070737190772,96.5579018352566,429.39883296403224,218.98303293076472,248.31325591001786,1,Odeshog,1,Ostergotland
14.6708,58.225,W/LPB+CDL/HBET:1-3,"Wood, low rise",1.5464,1.5464,Res,ALL,URBAN,95.0,1425.0,209343.9,62803.17,104671.95,41868.78,2.8055163448690514,0.5940582667188147,2.6418130633877706,1.3472608508584991,1.5277107269883612,1,Odeshog,1,Ostergotland
14.6708,58.225,W/LWAL+CDL/HBET:1-3,"Wood, low rise",156.6983,313.3966,Res,ALL,RURAL,95.0,1306.25,38889070.6974,11666721.209219998,19444535.3487,7777814.1394799985,568.5717044273074,120.39306841151684,535.3952611881218,273.0386510425249,309.6089935473878,1,Odeshog,1,Ostergotland
