LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1
26.6339,40.0615,CR+PC/LFM+CDL/HBET:1-3,"Concrete frame, low rise",25.0,IND,878,577.5,12676125.0,1901418.75,3169031.25,7605675.0,6629.666816955698,2524.3384558913194,161.87988950301576,341.03669073101804,1009.0850120417845,Canakkale
26.6339,40.0615,CR/LFM+CDL/HBET:1-3,"Concrete frame, low rise, low/moderate code",283.4,IND,878,577.5,143696553.0,21554482.95,35924138.25,86217931.8,75153.90303700979,28615.900735983996,1835.0704274061864,3865.9919261268205,11438.987696505668,Canakkale
26.6339,40.0615,CR/LFM+CDL/HBET:4-6,"Concrete frame, mid rise, low/moderate code",121.6,IND,878,577.5,61656672.0,9248500.799999999,15414168.0,36994003.199999996,32246.69939767251,12278.382249455375,787.3837825426685,1658.8024637156716,4908.189498571239,Canakkale
26.6339,40.0615,CR/LWAL+CDL/HBET:1-3,"Concrete wall, low rise, low/moderate code",343.0,IND,878,577.5,173916435.0,26087465.25,43479108.75,104349861.0,90959.02872863217,34633.9236148289,2220.992083981376,4679.023396829568,13844.64636521328,Canakkale
26.6339,40.0615,MUR+CL/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",36.0,IND,878,522.5,16515180.0,2477277.0,4128795.0,9909108.0,9546.720216416204,3635.0473764834996,233.10704088434267,491.092834652666,1453.0824173401695,Canakkale
26.6339,40.0615,MUR+STRUB/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",1.0,IND,878,522.5,458755.0,68813.25,114688.75,275253.0,265.1866726782279,100.97353823565278,6.47519558012063,13.641467629240722,40.36340048167138,Canakkale
26.6339,40.0615,S/LFM+CDL/HBET:1-3,"Steel, low rise",5.0,IND,878,550.0,2414500.0,362175.0,603625.0,1448700.0,1325.9333633911394,504.8676911782638,32.37597790060315,68.2073381462036,201.81700240835684,Canakkale
26.6339,40.0615,W/LWAL+CDL/HBET:1-3,"Wood, low rise",11.0,IND,878,522.5,5046305.0,756945.75,1261576.25,3027783.0,2917.053399460507,1110.7089205921804,71.22715138132693,150.05614392164796,443.9974052983851,Canakkale
32.7453,39.9313,CR+PC/LFM+CDL/HBET:1-3,"Concrete frame, low rise",206.0,IND,878,577.5,104451270.0,15667690.5,26112817.5,62670762.0,18763.850494727205,7144.5987697743085,458.1663194550015,965.231233299262,2855.9987741761906,Ankara
32.7453,39.9313,CR/LDUAL+CDL/HBET:1-3,"Concrete wall, low rise, low/moderate code",2.0,IND,878,577.5,1014090.0,152113.5,253522.5,608454.0,182.17330577405053,69.36503659975057,4.448216693737879,9.371177022322934,27.728143438603794,Ankara
32.7453,39.9313,CR/LFM+CDL/HBET:1-3,"Concrete frame, low rise, low/moderate code",6125.7,IND,878,577.5,3106005556.5,465900833.47499996,776501389.125,1863603333.8999999,557969.5095900507,212454.70234954607,13624.22050041506,28702.509542821794,84927.14413092764,Ankara
32.7453,39.9313,CR/LFM+CDL/HBET:4-6,"Concrete frame, mid rise, low/moderate code",2334.3,IND,878,577.5,1183595143.5,177539271.525,295898785.875,710157086.1,212623.57383418307,80959.40246739889,5191.736114096165,10937.569261604212,32362.90261436642,Ankara
32.7453,39.9313,CR/LWAL+CDL/HBET:1-3,"Concrete wall, low rise, low/moderate code",2272.0,IND,878,577.5,1152006240.0,172800936.0,288001560.0,691203744.0,206948.87535932142,78798.68157731666,5053.17416408623,10645.657097358853,31499.170946253915,Ankara
32.7453,39.9313,MUR+CL/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",112.0,IND,878,522.5,51380560.0,7707084.0,12845140.0,30828336.0,10201.70512334683,3884.4420495860327,249.10013484932122,524.7859132500843,1552.7760325618128,Ankara
32.7453,39.9313,MUR+STRUB/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",1.0,IND,878,522.5,458755.0,68813.25,114688.75,275253.0,91.08665288702527,34.682518299875284,2.2241083468689395,4.685588511161467,13.864071719301897,Ankara
32.7453,39.9313,S/LFM+CDL/HBET:1-3,"Steel, low rise",83.0,IND,878,550.0,40080700.0,6012105.0,10020175.0,24048420.0,7560.192189623097,2878.6490188896487,184.60099279012195,388.90384642640174,1150.7179527020573,Ankara
32.7453,39.9313,SRC/LFM+CDH/HBET:1-3,"Steel, low rise",13454.5,IND,878,550.0,6497178050.0,974576707.5,1624294512.5,3898306830.0,1225525.3712684817,466635.9424656722,29924.26575294815,63042.25062342197,186534.15294734747,Ankara
32.7453,39.9313,W/LFM+CDL/HBET:1-3,"Wood, low rise",4.0,IND,878,522.5,1835020.0,275253.0,458755.0,1101012.0,364.34661154810107,138.73007319950113,8.896433387475758,18.742354044645868,55.45628687720759,Ankara
32.7453,39.9313,W/LWAL+CDL/HBET:1-3,"Wood, low rise",92.0,IND,878,522.5,42205460.0,6330819.0,10551365.0,25323276.0,8379.972065606325,3190.7916835885267,204.61796791194243,431.0741430268549,1275.4945981757746,Ankara
