LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1
43.4142,38.6368,MUR+CBH/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",16534.6,16534.6,Res,ALL,URBAN,64.0,380.0,402121472.0,120636441.59999998,201060736.0,80424294.39999999,109967.73359165556,29530.6252109696,106951.9234817712,67579.90090461679,68020.81653245253,78,Van
43.4142,38.6368,MUR+CL/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",1122.9,1122.9,Res,ALL,URBAN,64.0,380.0,27308928.000000004,8192678.4,13654464.000000002,5461785.6000000015,7468.1436533130545,2005.4878285170346,7263.33354769277,4589.4954051379655,4619.4389271159225,78,Van
43.4142,38.6368,MUR+STRUB/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",1824.45,1824.45,Res,ALL,URBAN,64.0,380.0,44370624.0,13311187.2,22185312.0,8874124.8,12133.987610906584,3258.4488990452437,11801.219067671273,7456.857148369364,7505.508371695293,78,Van
43.4142,38.6368,MUR+STRUB/LWAL+CDN/HBET:4-6,"Unreinforced masonry, mid rise",3.5500000000000003,6.8273600000000005,Res,ALL,URBAN,61.8,380.0,160333.72224,48100.116672000004,80166.86112,32066.744448,45.40716471002175,12.193594604064529,44.16189592143175,27.904655222390893,28.086715249295725,78,Van
43.4142,38.6368,S/LFM+CDL/HBET:1-3,"Steel, low rise",9.0,9.0,Res,ALL,URBAN,64.0,400.0,230400.0,69120.0,115200.0,46080.0,59.85688207304078,16.0739072550123,58.21533701062867,36.7846278798127,37.02462404848456,78,Van
43.4142,38.6368,CR+PC/LWAL+CDL/HBET:1-3/15.0,"Concrete wall, low rise",28.0,28.0,Res,ALL,URBAN,64.0,420.0,752640.0,225792.0,376320.0,150528.0,186.22141089390462,50.00771146003826,181.11438181084478,114.44106451497288,115.18771926195195,78,Van
43.4142,38.6368,CR/LDUAL+CDH/HBET:1-3/19.0,"Concrete wall, low rise, high code",5068.352332181189,5068.352332181189,Res,ALL,URBAN,64.0,420.0,136237310.68903035,40871193.2067091,68118655.34451517,27247462.137806077,33708.41865022118,9052.025035911747,32783.98212294819,20715.27272256288,20850.42662714094,78,Van
43.4142,38.6368,CR/LDUAL+CDH/HBET:4-6/19.0,"Concrete wall, mid rise, high code",3041.011399308713,5848.4731231505175,Res,ALL,URBAN,61.8,420.0,151802968.3844948,45540890.51534844,75901484.1922474,30360593.676898964,38896.818448863225,10445.312729439283,37830.092651312385,23903.767500019752,24059.72429359047,78,Van
43.4142,38.6368,CR/LDUAL+CDH/HBET:7-/19.0,"Concrete wall, mid rise, high code",1419.1386530107336,39735.88228430053,Res,ALL,URBAN,60.0,420.0,1001344233.5643735,300403270.06931204,500672116.78218675,200268846.71287468,264274.0022177341,70967.8762815481,257026.41984391387,162407.738144893,163467.34475678494,78,Van
43.4142,38.6368,CR/LFINF(CBH)+CDL/HBET:1-3/15.0,"Concrete frame with infill panels, low rise, low/moderate code",4412.3200000000015,4412.3200000000015,Res,ALL,URBAN,64.0,420.0,118603161.60000004,35580948.48000001,59301580.80000002,23720632.32000001,29345.301989835483,7880.358051048433,28540.52175541524,18033.94992073947,18151.609909067716,78,Van
