LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1
-1.2425,52.4015,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",2481.1139248000004,COM,Hotels,213,3150.0,1664703387.8445604,332940677.5689121,499411016.3533681,832351693.9222802,30242.78315690019,16997.744573853655,1598.08914757692,3432.102246560818,7342.645322663798,England
-1.2425,52.4015,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",43472.4999381,COM,Trade,1098,2667.0,127303390753.73415,25460678150.74683,38191017226.12024,63651695376.86707,2731570.4230845566,1535260.0353017137,144341.64429663413,309992.2694637509,663197.9830206996,England
-1.2425,52.4015,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",1630.4462934399994,COM,Hotels,426,3150.0,2187895881.1671352,437579176.23342705,656368764.3501406,1093947940.5835676,39747.65786335452,22339.892868493367,2100.3457368153795,4510.762952622787,9650.333852643844,England
-1.2425,52.4015,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",4787.7202575,COM,Trade,2196,2667.0,28040394439.14849,5608078887.829699,8412118331.744547,14020197219.574245,601667.4940714882,338163.0033704215,31793.31372172558,68280.23556470283,146078.85088561664,England
-1.2425,52.4015,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",9853.56672992,COM,Hotels,1065,3150.0,33056252987.19912,6611250597.439824,9916875896.159735,16528126493.59956,600535.2655441607,337526.6422522368,31733.48450188454,68151.74461027909,145803.9571214668,England
-1.2425,52.4015,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",64202.79696880001,COM,Offices,522,3507.0,117533107082.12161,23506621416.424324,35259932124.63648,58766553541.06081,1917873.2303314898,1077927.2239952015,101344.2572371766,217649.8435441691,465640.44159218244,England
-1.2425,52.4015,CR/LFINF+CDL/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",2481.1139248000004,COM,Hotels,1491,3150.0,11652923714.911922,2330584742.9823847,3495877114.4735765,5826461857.455961,211699.48209830132,118984.21201697558,11186.624033038439,24024.715725925722,51398.51725864658,England
-1.2425,52.4015,CR/LFINF+CDL/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",3033.2030064,COM,Offices,697,3507.0,7414297731.581026,1482859546.3162053,2224289319.4743075,3707148865.790513,120984.49104362825,67998.48629963397,6393.0624757274045,13729.924966086151,29373.82458048251,England
-1.2425,52.4015,CR/LWAL+CDL/HBET:3-5,"Concrete wall, mid rise, low/moderate code",5316.672695999999,COM,Hotels,1065,3150.0,17836107726.905994,3567221545.381199,5350832318.071798,8918053863.452997,324029.8195382162,182118.69186271768,17122.38372403842,36772.524070294465,78671.19988568353,England
-1.2425,52.4015,CR/LWAL+CDL/HBET:3-5,"Concrete wall, mid rise, low/moderate code",45245.27817880001,COM,Offices,522,3507.0,82828449479.13295,16565689895.826591,24848534843.739883,41414224739.566475,1351572.079643058,759641.6263588232,71419.77183249847,153383.1574582924,328148.185216538,England
-1.2425,52.4015,CR/LWAL+CDL/HBET:6-,"Concrete wall, mid rise, low/moderate code",567.11175424,COM,Hotels,1491,3150.0,2663525420.5512958,532705084.1102592,799057626.1653887,1331762710.2756479,48388.453051040306,27196.391318165846,2556.942636123072,5491.363594497308,11748.232516262076,England
-1.2425,52.4015,CR/LWAL+CDL/HBET:6-,"Concrete wall, mid rise, low/moderate code",1011.0676687999999,COM,Offices,697,3507.0,2471432577.193675,494286515.438735,741429773.1581025,1235716288.5968375,40328.16368120941,22666.162099877984,2131.0208252424677,4576.641655362049,9791.274860160833,England
-1.2425,52.4015,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",14177.793855999998,COM,Hotels,213,2550.0,7700668732.886399,1540133746.57728,2310200619.8659196,3850334366.4431996,172815.90375371533,97129.96899344944,9131.937986153825,19612.012837490383,41957.97327236455,England
-1.2425,52.4015,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",12638.34586,COM,Offices,87,2839.0,3121582958.99898,624316591.799796,936474887.699694,1560791479.49949,62922.35007649244,35365.066404042045,3324.9428227420135,7140.742898430744,15276.9173750716,England
-1.2425,52.4015,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",94605.3522882,COM,Trade,1098,2159.0,224269745238.06573,44853949047.61315,67280923571.419716,112134872619.03287,5944474.841426304,3341050.4732997646,314117.93957064877,674608.7273792641,1443259.0467498924,England
-1.2425,52.4015,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",7159.785897279999,COM,Hotels,426,2550.0,7777675420.215262,1555535084.0430527,2333302626.0645785,3888837710.107631,174544.0627912525,98101.26868338395,9223.257366015365,19808.13296586529,42377.5530050882,England
-1.2425,52.4015,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",32354.165401599996,COM,Offices,174,2839.0,15982504750.074776,3196500950.0149555,4794751425.022432,7991252375.037388,322162.43239164137,181069.1399886953,17023.707252439115,36560.60363996542,78217.8169603666,England
-1.2425,52.4015,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",10532.9845665,COM,Trade,2196,2159.0,49938607239.2454,9987721447.849081,14981582171.773619,24969303619.6227,1323668.4869572741,743958.6074149273,69945.29018779629,150216.51824234624,321373.47194835666,England
-1.2425,52.4015,MUR+CL/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",10704.234361279998,COM,Hotels,1065,2550.0,29070024466.646152,5814004893.329231,8721007339.993845,14535012233.323076,652380.0366702754,366665.6329502716,34473.06589773069,74035.3484615262,158391.34910317618,England
-1.2425,52.4015,MUR+CL/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",38167.80449719999,COM,Offices,435,2839.0,47135902680.88459,9427180536.176918,14140770804.265377,23567951340.442295,950127.4861550359,534012.5027010349,50206.63662340441,107825.21776630424,230681.4523635812,England
-1.2425,52.4015,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",3828.00434112,COM,Hotels,213,2550.0,2079180557.879328,415836111.5758656,623754167.3637984,1039590278.939664,46660.294013503146,26225.091628231352,2465.6232562615332,5295.243466122404,11328.652783538431,England
-1.2425,52.4015,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",3538.7368408,COM,Offices,87,2839.0,874043228.5197145,174808645.7039429,262212968.55591434,437021614.25985724,17618.258021417885,9902.218593131773,930.9839903677639,1999.4080115606087,4277.536865020048,England
-1.2425,52.4015,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",25470.671769900004,COM,Trade,1098,2159.0,60380316025.63309,12076063205.126617,18114094807.689926,30190158012.816544,1600435.534230159,899513.5889653212,84570.21449979005,181625.42660210957,388569.74335574027,England
-1.2425,52.4015,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1914.00217056,COM,Hotels,426,2550.0,2079180557.879328,415836111.5758656,623754167.3637984,1039590278.939664,46660.294013503146,26225.091628231352,2465.6232562615332,5295.243466122404,11328.652783538431,England
-1.2425,52.4015,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",10363.443605199998,COM,Offices,174,2839.0,5119396052.758327,1023879210.5516653,1535818815.827498,2559698026.3791633,103192.6541254476,57998.708902628954,5452.906229296903,11710.81835342642,25054.144495117424,England
-1.2425,52.4015,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",2872.6321545,COM,Trade,2196,2159.0,13619620156.157839,2723924031.231568,4085886046.8473516,6809810078.078919,361000.4964428929,202897.80202225287,19075.988233035347,40968.1413388217,87647.31053136998,England
-1.2425,52.4015,MUR+ST/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",2906.4477404799986,COM,Hotels,1065,2550.0,7893185451.208556,1578637090.2417114,2367955635.362567,3946592725.604278,177136.30134755815,99558.21821828563,9360.236435807668,20102.313158427634,43006.92260417365,England
