LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,NAME_2,ID_1,NAME_1
0.1349,51.5411,CR/LFINF+CDN/HBET:4-10,"Concrete frame with infill panels, mid rise, pre code",9102.5682,18205.1364,Res,ALL,URBAN,75.0,1968.75,2688170440.824,806451132.2471999,1344085220.412,537634088.1648,53256.45761942537,11211.150034609285,50147.425508289736,25488.008052080786,28948.861198326602,1,Barking and Dagenham,1,England
0.1349,51.5411,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",3257.691,6515.382,Res,ALL,URBAN,75.0,1968.75,962061306.12,288618391.836,481030653.06,192412261.224,19059.794869615307,4012.325067489892,17947.112634819467,9121.827226649191,10360.421642986184,1,Barking and Dagenham,1,England
0.1349,51.5411,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",9085.876,18171.752,Res,ALL,URBAN,75.0,1781.25,2427564349.68,728269304.9039999,1213782174.84,485512869.936,53158.79645146235,11190.591137988467,50055.465652820654,25441.268393705366,28895.775061504828,1,Barking and Dagenham,1,England
0.1349,51.5411,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",10683.0064,21366.0128,Res,ALL,URBAN,75.0,1781.25,2854285649.952,856285694.9856,1427142824.976,570857129.9904001,62503.13813519682,13157.691866685622,58854.29868557125,29913.376880123848,33975.12247746024,1,Barking and Dagenham,1,England
0.1349,51.5411,MUR+ST/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",5341.5032,5341.5032,Res,ALL,URBAN,75.0,1781.25,713571412.488,214071423.7464,356785706.244,142714282.49760002,15625.78453379921,3289.422966671405,14713.574671392813,7478.344220030963,8493.78061936506,1,Barking and Dagenham,1,England
0.1349,51.5411,W/LPB+CDL/HBET:1-3,"Wood, low rise",1823.4139,1823.4139,Res,ALL,URBAN,93.0,1781.25,302051429.99724,90615428.999172,151025714.99862,60410285.999448,5334.130047387128,1122.9010516005828,5022.7315364157375,2552.8612993790052,2899.497962465109,1,Barking and Dagenham,1,England
-2.4261,51.3559,CR/LFINF+CDN/HBET:4-10,"Concrete frame with infill panels, mid rise, pre code",4736.1722,9472.3444,Res,ALL,RURAL,75.0,1640.625,1165524616.698,349657385.00939995,582762308.349,233104923.3396,27865.336225994142,5866.001592274592,26238.59969512494,13336.071264398535,15146.890850599355,2,Bath and North East Somerset,1,England
-2.4261,51.3559,CR/LFINF+CDN/HBET:4-10,"Concrete frame with infill panels, mid rise, pre code",3759.4985,7518.996999999999,Res,ALL,URBAN,75.0,1968.75,1110255097.02,333076529.106,555127548.51,222051019.404,22119.062677581835,4656.339181914445,20827.78497705862,10585.962206863891,12023.362121945656,2,Bath and North East Somerset,1,England
-2.4261,51.3559,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",1695.0145,3390.0290000000005,Res,ALL,RURAL,75.0,1640.625,417126118.305,125137835.4915,208563059.1525,83425223.66100001,9972.641820421002,2099.3657612213765,9390.453949907554,4772.806648835288,5420.875453321406,2,Bath and North East Somerset,1,England
-2.4261,51.3559,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",1345.4757,2690.9514,Res,ALL,URBAN,75.0,1968.75,397345883.72400004,119203765.1172,198672941.86200002,79469176.7448,7916.1253394470805,1666.4433355203535,7453.993816318169,3788.578426205978,4303.0051926815,2,Bath and North East Somerset,1,England
-2.4261,51.3559,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",4727.4871,9454.9742,Res,ALL,RURAL,93.0,1484.375,1305251624.33064,391575487.299192,652625812.16532,261050324.86612803,27814.237317120776,5855.244633220387,26190.483863903242,13311.615837600833,15119.114778241486,2,Bath and North East Somerset,1,England
-2.4261,51.3559,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",3752.6043,7505.2086,Res,ALL,URBAN,75.0,1781.25,1002620816.874,300786245.06219995,501310408.437,200524163.3748,22078.500554226343,4647.800347921572,20789.59080962144,10566.549580247183,12001.313579263398,2,Bath and North East Somerset,1,England
-2.4261,51.3559,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",5558.4925,11116.985,Res,ALL,RURAL,93.0,1484.375,1534690885.6620002,460407265.69860005,767345442.8310001,306938177.13240004,32703.46935910961,6884.4890934595605,30794.289873128822,15651.553400576267,17776.777455721553,2,Bath and North East Somerset,1,England
-2.4261,51.3559,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",4412.2433,8824.4866,Res,ALL,URBAN,75.0,1781.25,1178863164.894,353658949.4682,589431582.447,235772632.97880003,25959.495954431288,5464.798392107216,24444.019519855523,12423.955168831271,14110.924360264667,2,Bath and North East Somerset,1,England
-2.4261,51.3559,MUR+ST/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",2779.2463,2779.2463,Res,ALL,RURAL,93.0,1484.375,383672728.31796,115101818.49538799,191836364.15898,76734545.66359201,8175.867486865255,1721.1223043287216,7698.572606783291,3912.888420538842,4444.194443883618,2,Bath and North East Somerset,1,England
-2.4261,51.3559,MUR+ST/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",2206.1217,2206.1217,Res,ALL,URBAN,75.0,1781.25,294715797.903,88414739.37089999,147357898.9515,58943159.5806,6489.874135695677,1366.1996289906365,6111.005018464967,3105.9888626025945,3527.7311700193986,2,Bath and North East Somerset,1,England
-2.4261,51.3559,W/LPB+CDL/HBET:1-3,"Wood, low rise",948.7435,948.7435,Res,ALL,RURAL,120.0,1484.375,168997782.16799998,50699334.65040001,84498891.08399999,33799556.4336,2790.972910542239,587.534684830523,2628.040098484148,1335.7317252564098,1517.1021695236936,2,Bath and North East Somerset,1,England
-2.4261,51.3559,W/LPB+CDL/HBET:1-3,"Wood, low rise",753.0975,753.0975,Res,ALL,URBAN,93.0,1781.25,124751805.831,37425541.7493,62375902.9155,24950361.1662,2215.4299043915275,466.37568774822154,2086.0964297180067,1060.2825979427412,1204.2515718029895,2,Bath and North East Somerset,1,England
