TAXONOMY,AREA_PER_BUILDING
CR/LDUAL+CDM/HBET:6-/Offices,445.8763
CR/LDUAL+CDM/HBET:6-/SOS/Offices,445.8763
CR/LFINF+CDM/H:1/Offices,63.6966
CR/LFINF+CDM/H:2/Offices,95.5449
CR/LFINF+CDM/HBET:3-5/Offices,318.4831
CR/LFINF+CDM/HBET:3-5/SOS/Offices,318.4831
CR+PC/LWAL+CDM/H:1/Offices,63.6966
CR+PC/LWAL+CDM/H:2/Offices,127.3932
CR+PC/LWAL+CDM/HBET:3-5/Offices,254.7864
CR+PC/LWAL+CDM/HBET:6-/Offices,318.4831
MCF/LWAL+CDL/H:1/Offices,63.6966
MCF/LWAL+CDL/H:2/Offices,95.5449
MCF/LWAL+CDL/HBET:3-5/Offices,191.0898
MUR/LWAL+CDN/HBET:3-5/Offices,191.0898
MUR/LWAL+CDN/H:1/Offices,63.6966
MUR/LWAL+CDN/H:2/Offices,95.5449
CR/LFINF+CDM/H:1/Trade,157.6817
CR/LFINF+CDM/H:2/Trade,315.3635
CR+PC/LWAL+CDM/H:1/Trade,157.6817
CR+PC/LWAL+CDM/H:2/Trade,315.3635
MCF/LWAL+CDL/H:1/Trade,157.6817
MCF/LWAL+CDL/H:2/Trade,315.3635
MUR/LWAL+CDN/H:1/Trade,157.6817
MUR/LWAL+CDN/H:2/Trade,315.3635
CR/LDUAL+CDM/HBET:6-/Hotels,2382.1706
CR/LDUAL+CDM/HBET:6-/SOS/Hotels,2382.1706
CR/LFINF+CDM/H:1/Hotels,297.7713
CR/LFINF+CDM/H:2/Hotels,595.5427
CR/LFINF+CDM/HBET:3-5/Hotels,1786.628
CR/LFINF+CDM/HBET:3-5/SOS/Hotels,1786.628
CR+PC/LWAL+CDM/H:1/Hotels,297.7713
CR+PC/LWAL+CDM/H:2/Hotels,595.5427
CR+PC/LWAL+CDM/HBET:3-5/Hotels,1488.8566
CR+PC/LWAL+CDM/HBET:6-/Hotels,1786.628
MCF/LWAL+CDL/H:1/Hotels,297.7713
MCF/LWAL+CDL/H:2/Hotels,595.5427
MCF/LWAL+CDL/HBET:3-5/Hotels,1488.8566
MUR/LWAL+CDN/H:1/Hotels,297.7713
MUR/LWAL+CDN/H:2/Hotels,595.5427
CR/LFINF+CDL/HBET:3-5/Hotels,1786.628
MUR/LWAL+CDN/HBET:3-5/Hotels,1488.8566
