TAXONOMY,AREA_PER_BUILDING
CR+PC/LWAL+CDM/HBET:3-5/Offices,1338
CR+PC/LWAL+CDM/HBET:6-/Offices,1338
CR+PC/LWAL+CDN/HBET:3-5/Offices,1338
CR+PC/LWAL+CDN/HBET:6-/Offices,1338
CR/LFINF+CDH/HBET:6-/Offices,1338
CR/LFINF+CDL/HBET:3-5/Offices,1338
CR/LFINF+CDL/HBET:6-/Offices,1338
CR/LFINF+CDM/HBET:3-5/Offices,1338
CR/LFINF+CDM/HBET:6-/Offices,1338
CR/LFINF+CDN/HBET:3-5/Offices,1338
CR/LFINF+CDN/HBET:6-/Offices,1338
CR/LWAL+CDH/HBET:3-5/Offices,1338
CR/LWAL+CDL/HBET:3-5/Offices,1338
CR/LWAL+CDM/HBET:3-5/Offices,1338
CR/LWAL+CDN/HBET:3-5/Offices,1338
CR/LWAL+CDN/HBET:6-/Offices,1338
MUR+CL/LWAL+CDN/H:2/Offices,1338
CR+PC/LWAL+CDH/HBET:3-5/Offices,1338
CR+PC/LWAL+CDL/HBET:6-/Offices,1338
CR+PC/LWAL+CDL/HBET:3-5/Offices,1338
CR+PC/LWAL+CDH/HBET:6-/Offices,1338
CR+PC/LWAL+CDM/HBET:3-5/Trade,978
CR+PC/LWAL+CDN/HBET:3-5/Trade,978
CR/LFINF+CDL/H:1/Trade,978
CR/LFINF+CDL/H:2/Trade,978
CR/LFINF+CDL/HBET:3-5/Trade,978
CR/LFINF+CDM/H:1/Trade,978
CR/LFINF+CDM/H:2/Trade,978
CR/LFINF+CDM/HBET:3-5/Trade,978
CR/LFINF+CDN/H:1/Trade,978
CR/LFINF+CDN/HBET:3-5/Trade,978
CR/LWAL+CDN/H:2/Trade,978
MUR+CL/LWAL+CDN/H:1/Trade,978
MUR+CL/LWAL+CDN/H:2/Trade,978
W/LWAL+CDL/H:1/Trade,978
W/LWAL+CDL/H:2/Trade,978
W/LWAL+CDN/H:1/Trade,978
W/LWAL+CDN/H:2/Trade,978
CR+PC/LWAL+CDH/HBET:3-5/Trade,978
CR+PC/LWAL+CDL/HBET:3-5/Trade,978
CR+PC/LWAL+CDM/HBET:3-5/Hotels,815
CR+PC/LWAL+CDM/HBET:6-/Hotels,815
CR+PC/LWAL+CDN/HBET:3-5/Hotels,815
CR+PC/LWAL+CDN/HBET:6-/Hotels,815
CR/LFINF+CDH/HBET:6-/Hotels,815
CR/LFINF+CDL/HBET:3-5/Hotels,815
CR/LFINF+CDL/HBET:6-/Hotels,815
CR/LFINF+CDM/HBET:3-5/Hotels,815
CR/LFINF+CDM/HBET:6-/Hotels,815
CR/LFINF+CDN/HBET:3-5/Hotels,815
CR/LFINF+CDN/HBET:6-/Hotels,815
CR/LWAL+CDH/HBET:3-5/Hotels,815
CR/LWAL+CDL/H:1/Hotels,815
CR/LWAL+CDL/H:2/Hotels,815
CR/LWAL+CDL/HBET:3-5/Hotels,815
CR/LWAL+CDM/H:1/Hotels,815
CR/LWAL+CDM/H:2/Hotels,815
CR/LWAL+CDM/HBET:3-5/Hotels,815
CR/LWAL+CDN/H:1/Hotels,815
CR/LWAL+CDN/H:2/Hotels,815
CR/LWAL+CDN/HBET:3-5/Hotels,815
CR/LWAL+CDN/HBET:6-/Hotels,815
MUR+CL/LWAL+CDN/H:1/Hotels,815
MUR+CL/LWAL+CDN/H:2/Hotels,815
CR+PC/LWAL+CDH/HBET:3-5/Hotels,815
CR+PC/LWAL+CDL/HBET:6-/Hotels,815
CR+PC/LWAL+CDL/HBET:3-5/Hotels,815
CR+PC/LWAL+CDH/HBET:6-/Hotels,815
