TAXONOMY,AREA_PER_BUILDING
CR/LWAL+CDL/H:2/Offices,258
CR/LWAL+CDL/HBET:3-5/Offices,646
CR/LWAL+CDL/HBET:6-/Offices,775
MUR/LWAL+CDN/H:1/Offices,129
MUR/LWAL+CDN/H:2/Offices,258
MUR/LWAL+CDN/HBET:3-5/Offices,646
MUR+CB/LWAL+CDN/H:1/Offices,129
MUR+CB/LWAL+CDN/H:2/Offices,258
MUR+CB/LWAL+CDN/HBET:3-5/Offices,646
W/LFM+CDL/H:1/Offices,129
W/LFM+CDL/H:2/Offices,258
CR/LWAL+CDL/H:2/Trade,606
MUR/LWAL+CDN/H:1/Trade,303
MUR/LWAL+CDN/H:2/Trade,606
MUR+CB/LWAL+CDN/H:1/Trade,303
MUR+CB/LWAL+CDN/H:2/Trade,606
W/LFM+CDL/H:1/Trade,303
W/LFM+CDL/H:2/Trade,606
CR/LWAL+CDL/H:1/Trade,303
CR/LWAL+CDL/H:2/Hotels,272
CR/LWAL+CDL/HBET:3-5/Hotels,817
CR/LWAL+CDL/HBET:6-/Hotels,954
MUR/LWAL+CDN/H:1/Hotels,136
MUR/LWAL+CDN/H:2/Hotels,272
MUR/LWAL+CDN/HBET:3-5/Hotels,817
MUR+CB/LWAL+CDN/H:1/Hotels,136
MUR+CB/LWAL+CDN/H:2/Hotels,272
MUR+CB/LWAL+CDN/HBET:3-5/Hotels,817
W/LFM+CDL/H:1/Hotels,136
W/LFM+CDL/H:2/Hotels,272
CR/LWAL+CDL/H:1/Hotels,136
