TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDN/HBET:3-5/Offices,879
CR/LFINF+CDN/HBET:6-/Offices,1055
CR/LFINF+CDN/H:2/Offices,352
CR/LWAL+CDN/HBET:3-5/Offices,879
CR/LWAL+CDN/HBET:6-/Offices,1055
CR+PC/LWAL+CDN/HBET:3-5/Offices,879
CR+PC/LWAL+CDN/HBET:6-/Offices,1055
MUR/LWAL+CDN/H:2/Offices,352
MUR/LWAL+CDN/H:1/Offices,176
S/LFM+CDN/HBET:3-5/Offices,879
S/LFM+CDN/HBET:6-/Offices,1055
CR/LFINF+CDN/H:2/Trade,1882
MUR/LWAL+CDN/H:2/Trade,1882
MUR/LWAL+CDN/H:1/Trade,941
CR/LFINF+CDN/H:1/Trade,941
W/LWAL+CDN/H:1/Trade,941
W/LWAL+CDN/H:2/Trade,1882
CR/LFINF+CDN/HBET:3-5/Hotels,3565
CR/LFINF+CDN/HBET:6-/Hotels,5704
CR/LFINF+CDN/H:2/Hotels,1426
CR/LWAL+CDN/HBET:3-5/Hotels,3565
CR/LWAL+CDN/HBET:6-/Hotels,5704
CR+PC/LWAL+CDN/HBET:3-5/Hotels,3565
CR+PC/LWAL+CDN/HBET:6-/Hotels,5704
MUR/LWAL+CDN/H:2/Hotels,1426
MUR/LWAL+CDN/H:1/Hotels,357
S/LFM+CDN/HBET:3-5/Hotels,3565
S/LFM+CDN/HBET:6-/Hotels,5704
W/LWAL+CDN/H:1/Hotels,357
W/LWAL+CDN/H:2/Hotels,713
