TAXONOMY,AREA_PER_BUILDING
CR+PC/LWAL+CDL/H:2/Offices,248
CR+PC/LWAL+CDL/HBET:3-5/Offices,1242
CR+PC/LWAL+CDL/HBET:6-/Offices,1739
MCF/LWAL+CDN/H:2/Offices,248
MCF/LWAL+CDN/HBET:3-5/Offices,1242
MCF/LWAL+CDL/H:2/Offices,248
MUR+CL/LWAL+CDN/H:2/Offices,248
CR/LFINF+CDM/H:2/Offices,248
MUR+CL/LWAL+CDN/H:1/Offices,124
CR/LDUAL+CDL/HBET:6-/Offices,1739
CR/LDUAL+CDM/HBET:3-5/Offices,1242
CR/LDUAL+CDM/HBET:6-/Offices,1739
CR/LFINF+CDL/HBET:3-5/Offices,1242
CR/LWAL+CDL/HBET:3-5/Offices,1242
CR/LWAL+CDM/HBET:3-5/Offices,1242
CR/LWAL+CDM/HBET:6-/Offices,1739
MCF/LWAL+CDL/HBET:3-5/Offices,1242
CR/LDUAL+CDL/HBET:3-5/Offices,1242
CR/LWAL+CDL/HBET:6-/Offices,1739
CR/LFINF+CDM/HBET:3-5/Offices,1242
CR+PC/LWAL+CDL/H:2/Trade,443
MCF/LWAL+CDN/H:2/Trade,443
MCF/LWAL+CDL/H:2/Trade,443
MUR+CL/LWAL+CDN/H:2/Trade,443
CR/LFINF+CDL/H:1/Trade,221
CR/LFINF+CDL/H:2/Trade,443
CR/LFINF+CDM/H:1/Trade,221
CR/LFINF+CDM/H:2/Trade,443
CR+PC/LWAL+CDL/H:1/Trade,221
MUR+CL/LWAL+CDN/H:1/Trade,221
MUR+ST/LWAL+CDN/H:2/Trade,443
MCF/LWAL+CDL/H:1/Trade,221
MUR+ST/LWAL+CDN/H:1/Trade,221
W/LWAL+CDL/H:1/Trade,221
W/LWAL+CDL/H:2/Trade,443
W/LWAL+CDM/H:1/Trade,221
W/LWAL+CDM/H:2/Trade,443
MCF/LWAL+CDN/H:1/Trade,221
CR+PC/LWAL+CDL/H:2/Hotels,436
CR+PC/LWAL+CDL/HBET:3-5/Hotels,1091
CR+PC/LWAL+CDL/HBET:6-/Hotels,1527
MCF/LWAL+CDN/H:2/Hotels,436
MCF/LWAL+CDN/HBET:3-5/Hotels,1091
MCF/LWAL+CDL/H:2/Hotels,436
MUR+CL/LWAL+CDN/H:2/Hotels,436
CR/LFINF+CDM/H:2/Hotels,436
MUR+CL/LWAL+CDN/H:1/Hotels,218
MUR+ST/LWAL+CDN/H:2/Hotels,436
CR/LDUAL+CDL/HBET:6-/Hotels,1527
CR/LDUAL+CDM/HBET:3-5/Hotels,1091
CR/LDUAL+CDM/HBET:6-/Hotels,1527
CR/LFINF+CDL/HBET:3-5/Hotels,1091
CR/LWAL+CDL/HBET:3-5/Hotels,1091
CR/LWAL+CDM/HBET:3-5/Hotels,1091
CR/LWAL+CDM/HBET:6-/Hotels,1527
MCF/LWAL+CDL/HBET:3-5/Hotels,1091
CR/LDUAL+CDL/HBET:3-5/Hotels,1091
MUR+ST/LWAL+CDN/H:1/Hotels,218
W/LWAL+CDL/H:1/Hotels,218
W/LWAL+CDL/H:2/Hotels,436
W/LWAL+CDM/H:1/Hotels,218
W/LWAL+CDM/H:2/Hotels,436
CR/LWAL+CDL/HBET:6-/Hotels,1527
CR/LFINF+CDM/HBET:3-5/Hotels,1091
