TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDN/HBET:3-5/Offices,343.
CR/LFINF+CDL/HBET:3-5/Offices,343.
CR/LFINF+CDN/H:2/Offices,343.
CR/LFINF+CDN/HBET:6-/Offices,343.
MCF/LWAL+CDN/H:1/Offices,343.
MCF/LWAL+CDN/HBET:3-5/Offices,343.
MCF/LWAL+CDN/H:2/Offices,343.
CR/LFINF+CDM/H:2/Offices,343.
MUR/LWAL+CDN/H:1/Offices,343.
CR/LFINF+CDL/H:2/Offices,343.
CR/LFINF+CDM/HBET:3-5/Offices,343.
MCF/LWAL+CDL/H:2/Offices,343.
CR/LFINF+CDL/HBET:6-/Offices,343.
CR/LFINF+CDM/HBET:6-/Offices,343.
CR/LDUAL+CDM/HBET:3-5/Offices,343.
CR/LDUAL+CDM/HBET:6-/Offices,343.
MCF/LWAL+CDL/HBET:3-5/Offices,343.
CR/LFINF+CDN/HBET:3-5/Trade,174.2997319
CR/LFINF+CDL/HBET:3-5/Trade,174.2997319
CR/LFINF+CDN/H:2/Trade,174.2997319
CR/LFINF+CDN/HBET:6-/Trade,174.2997319
MUR/LWAL+CDN/HBET:3-5/Trade,174.2997319
MCF/LWAL+CDN/H:1/Trade,174.2997319
MUR/LWAL+CDN/H:2/Trade,174.2997319
MCF/LWAL+CDN/HBET:3-5/Trade,174.2997319
MCF/LWAL+CDN/H:2/Trade,174.2997319
CR/LFINF+CDL/H:1/Trade,174.2997319
CR/LFINF+CDM/H:2/Trade,174.2997319
MUR/LWAL+CDN/H:1/Trade,174.2997319
CR/LFINF+CDL/H:2/Trade,174.2997319
CR/LFINF+CDM/HBET:3-5/Trade,174.2997319
MCF/LWAL+CDL/H:2/Trade,174.2997319
CR/LFINF+CDL/HBET:6-/Trade,174.2997319
CR/LFINF+CDM/H:1/Trade,174.2997319
CR/LFINF+CDM/HBET:6-/Trade,174.2997319
CR/LDUAL+CDM/HBET:3-5/Trade,174.2997319
CR/LDUAL+CDM/HBET:6-/Trade,174.2997319
MCF/LWAL+CDL/HBET:3-5/Trade,174.2997319
CR/LFINF+CDN/HBET:3-5/Hotels,1553.678788
CR/LFINF+CDL/HBET:3-5/Hotels,1553.678788
CR/LFINF+CDN/H:2/Hotels,1553.678788
CR/LFINF+CDN/HBET:6-/Hotels,1553.678788
MCF/LWAL+CDN/H:1/Hotels,1553.678788
MUR/LWAL+CDN/H:2/Hotels,1553.678788
MCF/LWAL+CDN/HBET:3-5/Hotels,1553.678788
MCF/LWAL+CDN/H:2/Hotels,1553.678788
CR/LFINF+CDL/H:1/Hotels,1553.678788
CR/LFINF+CDM/H:2/Hotels,1553.678788
MUR/LWAL+CDN/H:1/Hotels,1553.678788
CR/LFINF+CDL/H:2/Hotels,1553.678788
CR/LFINF+CDM/HBET:3-5/Hotels,1553.678788
MCF/LWAL+CDL/H:2/Hotels,1553.678788
CR/LFINF+CDL/HBET:6-/Hotels,1553.678788
CR/LFINF+CDM/H:1/Hotels,1553.678788
CR/LFINF+CDM/HBET:6-/Hotels,1553.678788
CR/LDUAL+CDM/HBET:3-5/Hotels,1553.678788
CR/LDUAL+CDM/HBET:6-/Hotels,1553.678788
MCF/LWAL+CDL/HBET:3-5/Hotels,1553.678788
