TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDL/HBET:3-5/Offices,938
CR/LFINF+CDL/HBET:6-/Offices,1125
CR/LWAL+CDL/HBET:3-5/Offices,938
CR/LWAL+CDL/HBET:6-/Offices,1125
MUR+CB/LWAL+CDN/H:1/Offices,188
MUR+CB/LWAL+CDN/H:2/Offices,375
MUR+CL/LWAL+CDN/H:1/Offices,188
MUR+CL/LWAL+CDN/H:2/Offices,375
MUR+ST/LWAL+CDN/H:1/Offices,188
MUR+ST/LWAL+CDN/H:2/Offices,375
MUR+CB/LWAL+CDN/H:1/Trade,324
MUR+CB/LWAL+CDN/H:2/Trade,649
MUR+CL/LWAL+CDN/H:1/Trade,324
MUR+CL/LWAL+CDN/H:2/Trade,649
MUR+ST/LWAL+CDN/H:1/Trade,324
MUR+ST/LWAL+CDN/H:2/Trade,649
CR/LFINF+CDL/H:1/Trade,324
CR/LFINF+CDL/H:2/Trade,649
W/LPB+CDL/H:1/Trade,324
W/LPB+CDL/H:2/Trade,649
CR/LFINF+CDL/HBET:3-5/Hotels,727
CR/LFINF+CDL/HBET:6-/Hotels,872
CR/LWAL+CDL/HBET:3-5/Hotels,727
CR/LWAL+CDL/HBET:6-/Hotels,872
MUR+CB/LWAL+CDN/H:1/Hotels,145
MUR+CB/LWAL+CDN/H:2/Hotels,291
MUR+CL/LWAL+CDN/H:1/Hotels,145
MUR+CL/LWAL+CDN/H:2/Hotels,291
MUR+ST/LWAL+CDN/H:1/Hotels,145
MUR+ST/LWAL+CDN/H:2/Hotels,291
W/LPB+CDL/H:1/Hotels,145
W/LPB+CDL/H:2/Hotels,291
