TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDL/HBET:3-5/Offices,1301
CR/LFINF+CDL/HBET:6-/Offices,1561
CR/LWAL+CDL/HBET:3-5/Offices,1301
CR/LWAL+CDL/HBET:6-/Offices,1561
MUR+CB/LWAL+CDN/H:1/Offices,260
MUR+CB/LWAL+CDN/H:2/Offices,520
MUR+CL/LWAL+CDN/H:1/Offices,260
MUR+CL/LWAL+CDN/H:2/Offices,520
W/LPB+CDL/H:2/Offices,520
MUR+CB/LWAL+CDN/H:1/Trade,741
MUR+CB/LWAL+CDN/H:2/Trade,1482
MUR+CL/LWAL+CDN/H:1/Trade,741
MUR+CL/LWAL+CDN/H:2/Trade,1482
W/LPB+CDL/H:2/Trade,1482
CR/LFINF+CDL/H:1/Trade,741
CR/LFINF+CDL/H:2/Trade,1482
MUR+ST/LWAL+CDN/H:1/Trade,741
MUR+ST/LWAL+CDN/H:2/Trade,1482
W/LPB+CDL/H:1/Trade,741
CR/LFINF+CDL/HBET:3-5/Hotels,807
CR/LFINF+CDL/HBET:6-/Hotels,969
CR/LWAL+CDL/HBET:3-5/Hotels,807
CR/LWAL+CDL/HBET:6-/Hotels,969
MUR+CB/LWAL+CDN/H:1/Hotels,161
MUR+CB/LWAL+CDN/H:2/Hotels,323
MUR+CL/LWAL+CDN/H:1/Hotels,161
MUR+CL/LWAL+CDN/H:2/Hotels,323
W/LPB+CDL/H:2/Hotels,323
MUR+ST/LWAL+CDN/H:1/Hotels,161
MUR+ST/LWAL+CDN/H:2/Hotels,323
W/LPB+CDL/H:1/Hotels,161
