TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDM/HBET:3-5/Offices,359
CR/LFINF+CDM/HBET:6-/Offices,430
CR/LWAL+CDM/HBET:3-5/Offices,359
CR/LWAL+CDM/HBET:6-/Offices,430
MUR+CB/LWAL+CDN/H:1/Offices,72
MUR+CB/LWAL+CDN/H:2/Offices,143
MUR+CL/LWAL+CDN/H:1/Offices,72
MUR+CL/LWAL+CDN/H:2/Offices,143
W/LPB+CDM/H:1/Offices,72
W/LPB+CDM/H:2/Offices,143
W/LWAL+CDM/H:1/Offices,72
W/LWAL+CDM/H:2/Offices,143
MUR+CB/LWAL+CDN/H:1/Trade,684
MUR+CB/LWAL+CDN/H:2/Trade,1368
MUR+CL/LWAL+CDN/H:1/Trade,684
MUR+CL/LWAL+CDN/H:2/Trade,1368
W/LPB+CDM/H:1/Trade,684
W/LPB+CDM/H:2/Trade,1368
W/LWAL+CDM/H:1/Trade,684
W/LWAL+CDM/H:2/Trade,1368
CR/LFINF+CDL/H:1/Trade,684
CR/LFINF+CDM/H:2/Trade,1368
CR/LFINF+CDM/HBET:3-5/Hotels,976
CR/LFINF+CDM/HBET:6-/Hotels,1172
CR/LWAL+CDM/HBET:3-5/Hotels,976
CR/LWAL+CDM/HBET:6-/Hotels,1172
MUR+CB/LWAL+CDN/H:1/Hotels,195
MUR+CB/LWAL+CDN/H:2/Hotels,391
MUR+CL/LWAL+CDN/H:1/Hotels,195
MUR+CL/LWAL+CDN/H:2/Hotels,391
W/LPB+CDM/H:1/Hotels,195
W/LPB+CDM/H:2/Hotels,391
W/LWAL+CDM/H:1/Hotels,195
W/LWAL+CDM/H:2/Hotels,391
CR/LFINF+CDL/H:1/Hotels,195
CR/LFINF+CDM/H:2/Hotels,391
