TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDL/H:3/Offices,556
CR/LWAL+CDL/HBET:3-5/Offices,556
CR/LWAL+CDL/HBET:6-/Offices,668
MUR+CB/LWAL+CDN/H:1/Offices,111
MUR+CB/LWAL+CDN/H:2/Offices,223
MUR+CL/LWAL+CDN/H:1/Offices,111
MUR+CL/LWAL+CDN/H:2/Offices,223
W/LPB+CDL/H:1/Offices,111
W/LPB+CDL/H:2/Offices,223
W/LWAL+CDL/H:1/Offices,111
W/LWAL+CDL/H:2/Offices,223
CR/LFINF+CDL/H:3/Trade,609
MUR+CB/LWAL+CDN/H:1/Trade,609
MUR+CB/LWAL+CDN/H:2/Trade,1219
MUR+CL/LWAL+CDN/H:1/Trade,609
MUR+CL/LWAL+CDN/H:2/Trade,1219
W/LPB+CDL/H:1/Trade,609
W/LPB+CDL/H:2/Trade,1219
W/LWAL+CDL/H:1/Trade,609
W/LWAL+CDL/H:2/Trade,1219
CR/LFINF+CDL/H:3/Hotels,1022
CR/LWAL+CDL/HBET:3-5/Hotels,1022
CR/LWAL+CDL/HBET:6-/Hotels,1226
MUR+CB/LWAL+CDN/H:1/Hotels,204
MUR+CB/LWAL+CDN/H:2/Hotels,409
MUR+CL/LWAL+CDN/H:1/Hotels,204
MUR+CL/LWAL+CDN/H:2/Hotels,409
W/LPB+CDL/H:1/Hotels,204
W/LPB+CDL/H:2/Hotels,409
W/LWAL+CDL/H:1/Hotels,204
W/LWAL+CDL/H:2/Hotels,409
W/LWAL+CDL/HBET:3-5/Hotels,1022
