TAXONOMY,AREA_PER_BUILDING
S/LFM+CDM/HBET:6-/Offices,481.81
MCF/LWAL+CDL/H:2/Offices,240.9
MUR+CL/LWAL+CDN/H:2/Offices,1204.52
MUR+CL/LWAL+CDN/H:1/Offices,481.81
MCF/LWAL+CDL/H:1/Offices,481.81
CR+PC/LWAL+CDN/HBET:6-/Offices,240.9
CR+PC/LWAL+CDN/HBET:3-5/Offices,1204.52
CR+PC/LWAL+CDN/H:2/Offices,1686.33
CR/LFLS+CDN/HBET:6-/Offices,1204.52
CR/LFLS+CDN/HBET:3-5/Offices,1204.52
CR/LFINF+CDN/HBET:3-5/Offices,481.81
CR/LFINF+CDN/H:2/Offices,481.81
CR/LFINF+CDM/H:2/Offices,240.9
CR/LFINF+CDM/H:1/Offices,1927.23
CR/LDUAL+CDN/HBET:6-/Offices,1445.42
CR/LDUAL+CDM/HBET:6-/Offices,1927.23
S/LFM+CDM/HBET:3-5/Offices,240.9
CR/LDUAL+CDM/HBET:3-5/Offices,1445.42
MCF/LWAL+CDN/H:1/Offices,481.81
MCF/LWAL+CDN/H:2/Offices,240.9
MCF/LWAL+CDL/H:2/Trade,1430.8
MUR+CL/LWAL+CDN/H:2/Trade,1430.8
MUR+CL/LWAL+CDN/H:1/Trade,715.4
MCF/LWAL+CDL/H:1/Trade,715.4
CR+PC/LWAL+CDN/H:2/Trade,1430.8
CR/LFINF+CDN/H:2/Trade,1430.8
W/LWAL+CDN/H:2/Trade,1430.8
W/LWAL+CDN/H:1/Trade,715.4
MUR+ST/LWAL+CDN/H:2/Trade,1430.8
CR/LFINF+CDL/H:2/Trade,1430.8
CR/LFINF+CDL/H:1/Trade,715.4
MUR+ST/LWAL+CDN/H:1/Trade,715.4
CR/LFINF+CDN/H:1/Trade,715.4
MCF/LWAL+CDN/H:1/Trade,715.4
MCF/LWAL+CDN/H:2/Trade,1430.8
S/LFM+CDM/HBET:6-/Hotels,394.01
MCF/LWAL+CDL/H:2/Hotels,197.01
MUR+CL/LWAL+CDN/H:2/Hotels,985.03
MUR+CL/LWAL+CDN/H:1/Hotels,394.01
MCF/LWAL+CDL/H:1/Hotels,394.01
CR+PC/LWAL+CDN/HBET:6-/Hotels,197.01
CR+PC/LWAL+CDN/HBET:3-5/Hotels,985.03
CR+PC/LWAL+CDN/H:2/Hotels,1379.05
CR/LFLS+CDN/HBET:6-/Hotels,985.03
CR/LFLS+CDN/HBET:3-5/Hotels,985.03
CR/LFINF+CDN/HBET:3-5/Hotels,394.01
CR/LFINF+CDN/H:2/Hotels,394.01
CR/LDUAL+CDN/HBET:6-/Hotels,1182.04
W/LWAL+CDN/H:2/Hotels,394.01
W/LWAL+CDN/H:1/Hotels,197.01
MUR+ST/LWAL+CDN/H:2/Hotels,394.01
S/LFM+CDM/HBET:3-5/Hotels,197.01
CR/LFINF+CDL/H:2/Hotels,197.01
CR/LFINF+CDL/H:1/Hotels,1576.05
CR/LDUAL+CDL/HBET:6-/Hotels,1576.05
CR/LDUAL+CDL/HBET:3-5/Hotels,1182.04
MUR+ST/LWAL+CDN/H:1/Hotels,197.01
MCF/LWAL+CDN/H:1/Hotels,394.01
MCF/LWAL+CDN/H:2/Hotels,197.01
