TAXONOMY,AREA_PER_BUILDING
CR/LFM+CDL/H:1/Offices,118
CR/LFM+CDL/H:2/Offices,235
CR/LFM+CDL/HBET:3-5/Offices,588
CR/LFM+CDL/HBET:6-/Offices,706
MR/LWAL+CDL/H:1/Offices,118
MR/LWAL+CDL/H:2/Offices,235
MR/LWAL+CDL/HBET:3-5/Offices,588
S/LFM+CDL/HBET:3-5/Offices,588
S/LFM+CDL/HBET:6-/Offices,706
S/LWAL+CDL/HBET:3-5/Offices,588
S/LWAL+CDL/HBET:6-/Offices,706
CR/LFM+CDL/H:1/Trade,249
CR/LFM+CDL/H:2/Trade,498
MR/LWAL+CDL/H:1/Trade,249
MR/LWAL+CDL/H:2/Trade,498
S/LFM+CDL/H:1/Trade,249
S/LFM+CDL/H:2/Trade,498
S/LWAL+CDL/H:1/Trade,249
S/LWAL+CDL/H:2/Trade,498
W/LFM+CDL/H:1/Trade,249
W/LFM+CDL/H:2/Trade,498
CR/LFM+CDL/H:1/Hotels,255
CR/LFM+CDL/H:2/Hotels,509
CR/LFM+CDL/HBET:3-5/Hotels,1273
CR/LFM+CDL/HBET:6-/Hotels,1528
MR/LWAL+CDL/H:1/Hotels,255
MR/LWAL+CDL/H:2/Hotels,509
MR/LWAL+CDL/HBET:3-5/Hotels,1273
S/LFM+CDL/HBET:3-5/Hotels,1273
S/LFM+CDL/HBET:6-/Hotels,1528
S/LWAL+CDL/HBET:3-5/Hotels,1273
S/LWAL+CDL/HBET:6-/Hotels,1528
W/LFM+CDL/H:1/Hotels,255
W/LFM+CDL/H:2/Hotels,509
CR/LFM+CDN/H:1/Offices,118
CR/LFM+CDN/H:2/Offices,235
CR/LFM+CDN/HBET:3-5/Offices,588
CR/LFM+CDN/HBET:6-/Offices,706
CR/LFM+CDN/H:1/Trade,249
CR/LFM+CDN/H:2/Trade,498
CR/LFM+CDN/H:1/Hotels,255
CR/LFM+CDN/H:2/Hotels,509
CR/LFM+CDN/HBET:3-5/Hotels,1273
CR/LFM+CDN/HBET:6-/Hotels,1528
