TAXONOMY,AREA_PER_BUILDING
CR+PC/LWAL+CDN/H:1/Offices,89.083
CR+PC/LWAL+CDN/H:2/Offices,178.166
CR+PC/LWAL+CDH/H:2/Offices,178.166
CR+PC/LWAL+CDH/H:1/Offices,89.083
W/LWAL+CDN/H:2/Offices,178.166
W/LWAL+CDN/H:1/Offices,89.083
W/LWAL+CDM/H:2/Offices,178.166
W/LWAL+CDM/H:1/Offices,89.083
W/LWAL+CDH/H:2/Offices,178.166
W/LWAL+CDH/H:1/Offices,89.083
CR+PC/LWAL+CDM/H:2/Offices,178.166
S/LFBR+CDH/H:1/Offices,89.083
S/LFM+CDH/H:2/Offices,178.166
S/LFM+CDH/H:1/Offices,89.083
CR+PC/LWAL+CDM/HBET:6-/Offices,534.4981
S/LFBR+CDH/H:2/Offices,178.166
CR/LWAL+CDM/HBET:3-5/Offices,445.4151
CR/LWAL+CDM/H:2/Offices,178.166
CR/LWAL+CDM/H:1/Offices,89.083
CR/LWAL+CDH/HBET:6-/Offices,534.4981
CR/LWAL+CDH/HBET:3-5/Offices,445.4151
CR/LWAL+CDH/H:2/Offices,178.166
CR/LWAL+CDH/H:1/Offices,89.083
CR+PC/LWAL+CDN/HBET:6-/Offices,534.4981
CR+PC/LWAL+CDN/HBET:3-5/Offices,445.4151
CR+PC/LWAL+CDH/HBET:3-5/Offices,445.4151
CR+PC/LWAL+CDM/HBET:3-5/Offices,445.4151
CR+PC/LWAL+CDM/H:1/Offices,89.083
CR/LWAL+CDN/H:2/Offices,178.166
S/LFBR+CDH/HBET:6-/Offices,534.4981
S/LFBR+CDH/HBET:3-5/Offices,445.4151
S/LFM+CDH/HBET:6-/Offices,534.4981
S/LFM+CDH/HBET:3-5/Offices,445.4151
CR/LWAL+CDN/HBET:6-/Offices,534.4981
CR/LWAL+CDN/HBET:3-5/Offices,445.4151
CR/LWAL+CDN/H:1/Offices,89.083
CR/LWAL+CDM/HBET:6-/Offices,534.4981
CR+PC/LWAL+CDH/HBET:6-/Offices,534.4981
CR+PC/LWAL+CDN/H:1/Trade,232.7052
CR+PC/LWAL+CDN/H:2/Trade,465.4105
CR+PC/LWAL+CDH/H:2/Trade,465.4105
CR+PC/LWAL+CDH/H:1/Trade,232.7052
W/LWAL+CDN/H:2/Trade,465.4105
W/LWAL+CDN/H:1/Trade,232.7052
W/LWAL+CDM/H:2/Trade,465.4105
W/LWAL+CDM/H:1/Trade,232.7052
W/LWAL+CDH/H:2/Trade,465.4105
W/LWAL+CDH/H:1/Trade,232.7052
CR+PC/LWAL+CDM/H:2/Trade,465.4105
S/LFBR+CDH/H:1/Trade,232.7052
S/LFM+CDH/H:2/Trade,465.4105
S/LFM+CDH/H:1/Trade,232.7052
S/LFBR+CDH/H:2/Trade,465.4105
CR/LWAL+CDM/H:2/Trade,465.4105
CR/LWAL+CDM/H:1/Trade,232.7052
CR/LWAL+CDH/H:2/Trade,465.4105
CR/LWAL+CDH/H:1/Trade,232.7052
CR+PC/LWAL+CDM/H:1/Trade,232.7052
CR/LWAL+CDN/H:2/Trade,465.4105
CR/LWAL+CDN/H:1/Trade,232.7052
CR+PC/LWAL+CDN/H:1/Hotels,340.6718
CR+PC/LWAL+CDN/H:2/Hotels,681.3436
CR+PC/LWAL+CDH/H:2/Hotels,681.3436
CR+PC/LWAL+CDH/H:1/Hotels,340.6718
W/LWAL+CDN/H:2/Hotels,681.3436
W/LWAL+CDN/H:1/Hotels,340.6718
W/LWAL+CDM/H:2/Hotels,681.3436
W/LWAL+CDM/H:1/Hotels,340.6718
W/LWAL+CDH/H:2/Hotels,681.3436
W/LWAL+CDH/H:1/Hotels,340.6718
CR+PC/LWAL+CDM/H:2/Hotels,681.3436
S/LFBR+CDH/H:1/Hotels,340.6718
S/LFM+CDH/H:2/Hotels,681.3436
S/LFM+CDH/H:1/Hotels,340.6718
CR+PC/LWAL+CDM/HBET:6-/Hotels,4088.0618
S/LFBR+CDH/H:2/Hotels,681.3436
CR/LWAL+CDM/HBET:3-5/Hotels,3406.7182
CR/LWAL+CDM/H:2/Hotels,681.3436
CR/LWAL+CDM/H:1/Hotels,340.6718
CR/LWAL+CDH/HBET:6-/Hotels,4088.0618
CR/LWAL+CDH/HBET:3-5/Hotels,3406.7182
CR/LWAL+CDH/H:2/Hotels,681.3436
CR/LWAL+CDH/H:1/Hotels,340.6718
CR+PC/LWAL+CDN/HBET:6-/Hotels,4088.0618
CR+PC/LWAL+CDN/HBET:3-5/Hotels,3406.7182
CR+PC/LWAL+CDH/HBET:3-5/Hotels,3406.7182
CR+PC/LWAL+CDM/HBET:3-5/Hotels,3406.7182
CR+PC/LWAL+CDM/H:1/Hotels,340.6718
CR/LWAL+CDN/H:2/Hotels,681.3436
S/LFBR+CDH/HBET:3-5/Hotels,3406.7182
S/LFM+CDH/HBET:3-5/Hotels,3406.7182
CR/LWAL+CDN/HBET:6-/Hotels,4088.0618
CR/LWAL+CDN/HBET:3-5/Hotels,3406.7182
CR/LWAL+CDN/H:1/Hotels,340.6718
CR/LWAL+CDM/HBET:6-/Hotels,4088.0618
CR+PC/LWAL+CDH/HBET:6-/Hotels,4088.0618
MUR/LWAL+CDN/H:2/Hotels,681.3436
MUR/LWAL+CDN/H:1/Hotels,340.6718
