TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDL/HBET:3-5/Offices,1328
CR/LFINF+CDL/HBET:6-/Offices,1593
CR/LWAL+CDL/HBET:3-5/Offices,1328
CR/LWAL+CDL/HBET:6-/Offices,1593
MUR+CL/LWAL+CDN/H:1/Offices,266
MUR+CL/LWAL+CDN/H:2/Offices,531
MUR+ST/LWAL+CDN/H:1/Offices,266
MUR+ST/LWAL+CDN/H:2/Offices,531
W/LPB+CDL/H:1/Offices,266
W/LPB+CDL/H:2/Offices,531
S/LFM+CDL/HBET:3-5/Offices,1328
S/LFM+CDL/HBET:6-/Offices,1593
MUR+CL/LWAL+CDN/H:1/Trade,1269
MUR+CL/LWAL+CDN/H:2/Trade,2539
MUR+ST/LWAL+CDN/H:1/Trade,1269
MUR+ST/LWAL+CDN/H:2/Trade,2539
W/LPB+CDL/H:1/Trade,1269
W/LPB+CDL/H:2/Trade,2539
CR/LFINF+CDL/H:1/Trade,1269
CR/LFINF+CDL/H:2/Trade,2539
CR/LFINF+CDL/HBET:3-5/Hotels,4905
CR/LFINF+CDL/HBET:6-/Hotels,5886
CR/LWAL+CDL/HBET:3-5/Hotels,4905
CR/LWAL+CDL/HBET:6-/Hotels,5886
MUR+CL/LWAL+CDN/H:1/Hotels,491
MUR+CL/LWAL+CDN/H:2/Hotels,1962
MUR+ST/LWAL+CDN/H:1/Hotels,491
MUR+ST/LWAL+CDN/H:2/Hotels,1962
W/LPB+CDL/H:1/Hotels,491
W/LPB+CDL/H:2/Hotels,1962
S/LFM+CDL/HBET:3-5/Hotels,4905
S/LFM+CDL/HBET:6-/Hotels,5886
CR/LFINF+CDL/H:1/Hotels,491
CR/LFINF+CDL/H:2/Hotels,1962
