TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDL/H:1/Offices,102
CR/LFINF+CDM/H:2/Offices,204
CR/LFINF+CDM/HBET:3-5/Offices,511
CR/LFINF+CDM/HBET:6-/Offices,613
MUR+CL/LWAL+CDN/H:1/Offices,102
MUR+CL/LWAL+CDN/H:2/Offices,204
CR/LFINF+CDL/H:1/Trade,554
CR/LFINF+CDM/H:2/Trade,1108
MUR+CL/LWAL+CDN/H:1/Trade,554
MUR+CL/LWAL+CDN/H:2/Trade,1108
CR/LFINF+CDL/H:1/Hotels,454
CR/LFINF+CDM/H:2/Hotels,907
CR/LFINF+CDM/HBET:3-5/Hotels,2268
CR/LFINF+CDM/HBET:6-/Hotels,2722
MUR+CL/LWAL+CDN/H:1/Hotels,454
MUR+CL/LWAL+CDN/H:2/Hotels,907
