TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDL3/H:1/Offices,59.67
CR/LFINF+CDL3/H:2/Offices,119.34
CR/LFINF+CDL3/HBET:3-5/Offices,298.34
CR/LFINF+CDL3/HBET:6-/Offices,358.01
CR/LFINF+CDL2/H:1/Offices,59.67
CR/LFINF+CDL2/H:2/Offices,119.34
CR/LFINF+CDL2/HBET:3-5/Offices,298.34
CR/LFINF+CDL2/HBET:6-/Offices,358.01
MCF/LWAL+CDL/H:1/Offices,47.73
MCF/LWAL+CDL/H:2/Offices,119.34
MCF/LWAL+CDL/HBET:3-5/Offices,298.34
MCF/LWAL+CDL/HBET:6-/Offices,358.01
MUR+CL/LWAL+CDN/HBET:3-5/Offices,238.67
MUR+STRUB/LWAL+CDN/H:1/Offices,47.73
MUR+STRUB/LWAL+CDN/H:2/Offices,119.34
MUR+STRUB/LWAL+CDN/HBET:3-5/Offices,238.67
S/LFM+CDL/HBET:3-5/Offices,298.34
CR/LFINF+CDL3/H:1/Trade,341.49
CR/LFINF+CDL3/H:2/Trade,682.98
CR/LFINF+CDL2/H:1/Trade,341.49
CR/LFINF+CDL2/H:2/Trade,682.98
MCF/LWAL+CDL/H:1/Trade,341.49
MCF/LWAL+CDL/H:2/Trade,682.98
MUR+STRUB/LWAL+CDN/H:1/Trade,341.49
MUR+STRUB/LWAL+CDN/H:2/Trade,682.98
MUR+CL/LWAL+CDN/H:1/Trade,341.49
MUR+CL/LWAL+CDN/H:2/Trade,682.98
CR/LFINF+CDL3/H:1/Hotels,204.0466
CR/LFINF+CDL3/H:2/Hotels,510.1166
CR/LFINF+CDL3/HBET:3-5/Hotels,1530.3497
CR/LFINF+CDL3/HBET:6-/Hotels,2040.4663
CR/LFINF+CDL2/H:1/Hotels,255.0583
CR/LFINF+CDL2/H:2/Hotels,510.1166
CR/LFINF+CDL2/HBET:3-5/Hotels,1275.2914
CR/LFINF+CDL2/HBET:6-/Hotels,1530.3497
MCF/LWAL+CDL/H:1/Hotels,255.0583
MCF/LWAL+CDL/H:2/Hotels,510.1166
MCF/LWAL+CDL/HBET:3-5/Hotels,1530.3497
MCF/LWAL+CDL/HBET:6-/Hotels,2040.4663
MUR+CL/LWAL+CDN/HBET:3-5/Hotels,1530.3497
MUR+STRUB/LWAL+CDN/H:1/Hotels,255.0583
MUR+STRUB/LWAL+CDN/H:2/Hotels,510.1166
MUR+STRUB/LWAL+CDN/HBET:3-5/Hotels,1530.3497
MUR+CL/LWAL+CDN/HBET:6-/Hotels,2040.4663
MUR+STDRE/LWAL+CDN/HBET:3-5/Hotels,1530.3497
MUR+STDRE/LWAL+CDN/HBET:6-/Hotels,2040.4663
S/LFM+CDL/HBET:3-5/Hotels,2040.4663
