TAXONOMY,AREA_PER_BUILDING
CR/LDUAL+CDM/H:5/Offices,464.7626
CR/LDUAL+CDM/HBET:6-9/Offices,650.6677
MCF/LWAL+CDL/H:1/Offices,92.9525
MCF/LWAL+CDL/H:2/Offices,185.9051
MCF/LWAL+CDL/H:3/Offices,278.8576
MCF/LWAL+CDL/H:4/Offices,371.8101
CR/LFINF+CDM/H:2/Offices,185.9051
CR/LFINF+CDM/H:3/Offices,278.8576
CR/LFINF+CDM/H:4/Offices,371.8101
CR/LFINF+CDM/H:5/Offices,464.7626
MIX/LH+CDM/H:1/Offices,92.9525
MIX/LH+CDM/H:2/Offices,185.9051
MIX/LH+CDM/H:3/Offices,278.8576
MIX/LH+CDM/H:4/Offices,371.8101
MIX/LH+CDN/H:1/Offices,92.9525
MIX/LH+CDN/H:2/Offices,185.9051
MIX/LH+CDN/H:3/Offices,278.8576
MIX/LH+CDN/H:4/Offices,371.8101
MUR/LWAL+CDN/H:1/Offices,92.9525
MUR/LWAL+CDN/H:2/Offices,185.9051
MUR/LWAL+CDN/H:3/Offices,278.8576
S/LFM+CDM/H:3/Offices,278.8576
S/LFM+CDM/H:4/Offices,371.8101
MCF/LWAL+CDL/H:1/Trade,64.2388
MCF/LWAL+CDL/H:2/Trade,128.4775
CR/LFINF+CDM/H:2/Trade,128.4775
MIX/LH+CDM/H:1/Trade,64.2388
MIX/LH+CDM/H:2/Trade,128.4775
MUR/LWAL+CDN/H:1/Trade,64.2388
MUR/LWAL+CDN/H:2/Trade,128.4775
CR/LFINF+CDM/H:1/Trade,64.2388
CR/LDUAL+CDM/H:5/Hotels,909.4057
CR/LDUAL+CDM/HBET:6-9/Hotels,1273.168
MCF/LWAL+CDL/H:1/Hotels,90.9406
MCF/LWAL+CDL/H:2/Hotels,363.7623
MCF/LWAL+CDL/H:3/Hotels,545.6434
MCF/LWAL+CDL/H:4/Hotels,727.5246
CR/LFINF+CDM/H:2/Hotels,363.7623
CR/LFINF+CDM/H:3/Hotels,545.6434
CR/LFINF+CDM/H:4/Hotels,727.5246
CR/LFINF+CDM/H:5/Hotels,909.4057
MIX/LH+CDM/H:1/Hotels,90.9406
MIX/LH+CDM/H:2/Hotels,363.7623
MIX/LH+CDM/H:3/Hotels,545.6434
MIX/LH+CDM/H:4/Hotels,727.5246
MIX/LH+CDN/H:1/Hotels,181.8811
MIX/LH+CDN/H:2/Hotels,363.7623
MIX/LH+CDN/H:3/Hotels,545.6434
MIX/LH+CDN/H:4/Hotels,727.5246
MUR/LWAL+CDN/H:1/Hotels,90.9406
MUR/LWAL+CDN/H:2/Hotels,363.7623
MUR/LWAL+CDN/H:3/Hotels,545.6434
