TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDM/H:2/Offices,694
CR/LFINF+CDM/HBET:3-5/Offices,1735
CR/LWAL+CDM/HBET:3-5/Offices,1735
CR/LWAL+CDM/HBET:6-/Offices,2082
MUR+CB/LWAL+CDN/H:1/Offices,347
MUR+CB/LWAL+CDN/H:2/Offices,694
MUR+CL/LWAL+CDN/H:1/Offices,347
MUR+CL/LWAL+CDN/H:2/Offices,694
W/LPB+CDM/H:1/Offices,347
W/LPB+CDM/H:2/Offices,694
W/LWAL+CDM/H:1/Offices,347
W/LWAL+CDM/H:2/Offices,694
CR/LFINF+CDM/H:2/Trade,978
MUR+CB/LWAL+CDN/H:1/Trade,489
MUR+CB/LWAL+CDN/H:2/Trade,978
MUR+CL/LWAL+CDN/H:1/Trade,489
MUR+CL/LWAL+CDN/H:2/Trade,978
W/LPB+CDM/H:1/Trade,489
W/LPB+CDM/H:2/Trade,978
W/LWAL+CDM/H:1/Trade,489
W/LWAL+CDM/H:2/Trade,978
CR/LFINF+CDL/H:1/Trade,489
CR/LFINF+CDM/H:2/Hotels,364
CR/LFINF+CDM/HBET:3-5/Hotels,909
CR/LWAL+CDM/HBET:3-5/Hotels,909
CR/LWAL+CDM/HBET:6-/Hotels,1091
MUR+CB/LWAL+CDN/H:1/Hotels,182
MUR+CB/LWAL+CDN/H:2/Hotels,364
MUR+CL/LWAL+CDN/H:1/Hotels,182
MUR+CL/LWAL+CDN/H:2/Hotels,364
W/LPB+CDM/H:1/Hotels,182
W/LPB+CDM/H:2/Hotels,364
W/LWAL+CDM/H:1/Hotels,182
W/LWAL+CDM/H:2/Hotels,364
CR/LFINF+CDL/H:1/Hotels,182
