TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDL/HBET:3-5/Offices,476
CR/LFINF+CDL/H:1/Offices,95
CR/LFINF+CDL/H:2/Offices,191
CR/LWAL+CDL/HBET:3-5/Offices,476
CR/LWAL+CDL/HBET:6-/Offices,572
MUR+CB/LWAL+CDN/H:1/Offices,95
MUR+CB/LWAL+CDN/H:2/Offices,191
MUR+CL/LWAL+CDN/H:1/Offices,95
MUR+CL/LWAL+CDN/H:2/Offices,191
W/LPB+CDL/H:1/Offices,95
W/LPB+CDL/H:2/Offices,191
W/LWAL+CDL/H:1/Offices,95
W/LWAL+CDL/H:2/Offices,191
CR/LFINF+CDL/H:1/Trade,613
CR/LFINF+CDL/H:2/Trade,1225
MUR+CB/LWAL+CDN/H:1/Trade,613
MUR+CB/LWAL+CDN/H:2/Trade,1225
MUR+CL/LWAL+CDN/H:1/Trade,613
MUR+CL/LWAL+CDN/H:2/Trade,1225
W/LPB+CDL/H:1/Trade,613
W/LPB+CDL/H:2/Trade,1225
W/LWAL+CDL/H:1/Trade,613
W/LWAL+CDL/H:2/Trade,1225
CR/LFINF+CDL/HBET:3-5/Hotels,1241
CR/LFINF+CDL/H:1/Hotels,248
CR/LFINF+CDL/H:2/Hotels,497
CR/LWAL+CDL/HBET:3-5/Hotels,1241
CR/LWAL+CDL/HBET:6-/Hotels,1490
MUR+CB/LWAL+CDN/H:1/Hotels,248
MUR+CB/LWAL+CDN/H:2/Hotels,497
MUR+CL/LWAL+CDN/H:1/Hotels,248
MUR+CL/LWAL+CDN/H:2/Hotels,497
W/LPB+CDL/H:1/Hotels,248
W/LPB+CDL/H:2/Hotels,497
W/LWAL+CDL/H:1/Hotels,248
W/LWAL+CDL/H:2/Hotels,497
