TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDL/HBET:3-5/Offices,1524
CR/LFINF+CDL/HBET:6-/Offices,1829
CR/LWAL+CDL/HBET:3-5/Offices,1524
CR/LWAL+CDL/HBET:6-/Offices,1829
MUR+CB/LWAL+CDN/H:1/Offices,305
MUR+CB/LWAL+CDN/H:2/Offices,610
MUR+CL/LWAL+CDN/H:1/Offices,305
MUR+CL/LWAL+CDN/H:2/Offices,610
MUR+ST/LWAL+CDN/H:1/Offices,305
MUR+ST/LWAL+CDN/H:2/Offices,610
MUR+CB/LWAL+CDN/H:1/Trade,1283
MUR+CB/LWAL+CDN/H:2/Trade,2565
MUR+CL/LWAL+CDN/H:1/Trade,1283
MUR+CL/LWAL+CDN/H:2/Trade,2565
MUR+ST/LWAL+CDN/H:1/Trade,1283
MUR+ST/LWAL+CDN/H:2/Trade,2565
CR/LFINF+CDL/H:1/Trade,1283
CR/LFINF+CDL/H:2/Trade,2565
W/LPB+CDL/H:1/Trade,1283
W/LPB+CDL/H:2/Trade,2565
CR/LFINF+CDL/HBET:3-5/Hotels,5365
CR/LFINF+CDL/HBET:6-/Hotels,6438
CR/LWAL+CDL/HBET:3-5/Hotels,5365
CR/LWAL+CDL/HBET:6-/Hotels,6438
MUR+CB/LWAL+CDN/H:1/Hotels,1073
MUR+CB/LWAL+CDN/H:2/Hotels,2146
MUR+CL/LWAL+CDN/H:1/Hotels,1073
MUR+CL/LWAL+CDN/H:2/Hotels,2146
MUR+ST/LWAL+CDN/H:1/Hotels,1073
MUR+ST/LWAL+CDN/H:2/Hotels,2146
W/LPB+CDL/H:1/Hotels,1073
W/LPB+CDL/H:2/Hotels,2146
