TAXONOMY,AREA_PER_BUILDING
CR+PC/LWAL+CDN/H:1/Offices,156
CR+PC/LWAL+CDN/H:2/Offices,313
CR+PC/LWAL+CDN/HBET:3-5/Offices,782
CR+PC/LWAL+CDN/HBET:6-/Offices,938
CR/LWAL+CDN/H:1/Offices,156
CR/LWAL+CDN/H:2/Offices,313
CR/LWAL+CDN/HBET:3-5/Offices,782
CR/LWAL+CDN/HBET:6-/Offices,938
CR/LFM+CDN/H:1/Offices,156
CR/LFM+CDN/H:2/Offices,313
CR/LFM+CDN/HBET:3-5/Offices,782
CR/LFM+CDN/HBET:6-/Offices,938
S/LFBR+CDN/HBET:3-5/Offices,782
S/LFBR+CDN/HBET:6-/Offices,938
S/LFM+CDN/HBET:3-5/Offices,782
S/LFM+CDN/HBET:6-/Offices,938
MUR/LWAL+CDN/H:1/Offices,156
MUR/LWAL+CDN/H:2/Offices,313
CR+PC/LWAL+CDN/H:1/Trade,390
CR+PC/LWAL+CDN/H:2/Trade,779
CR/LWAL+CDN/H:1/Trade,390
CR/LWAL+CDN/H:2/Trade,779
CR/LFM+CDN/H:1/Trade,390
CR/LFM+CDN/H:2/Trade,779
MUR/LWAL+CDN/H:1/Trade,390
MUR/LWAL+CDN/H:2/Trade,779
S/LFBR+CDN/H:1/Trade,390
S/LFBR+CDN/H:2/Trade,779
S/LFM+CDN/H:1/Trade,390
S/LFM+CDN/H:2/Trade,779
CR+PC/LWAL+CDN/H:1/Hotels,470
CR+PC/LWAL+CDN/H:2/Hotels,939
CR+PC/LWAL+CDN/HBET:3-5/Hotels,1879
CR+PC/LWAL+CDN/HBET:6-/Hotels,2818
CR/LWAL+CDN/H:1/Hotels,470
CR/LWAL+CDN/H:2/Hotels,939
CR/LWAL+CDN/HBET:3-5/Hotels,1879
CR/LWAL+CDN/HBET:6-/Hotels,2818
CR/LFM+CDN/H:1/Hotels,470
CR/LFM+CDN/H:2/Hotels,939
CR/LFM+CDN/HBET:3-5/Hotels,1879
CR/LFM+CDN/HBET:6-/Hotels,2818
S/LFBR+CDN/HBET:3-5/Hotels,1879
S/LFBR+CDN/HBET:6-/Hotels,2818
S/LFM+CDN/HBET:3-5/Hotels,1879
S/LFM+CDN/HBET:6-/Hotels,2818
MUR/LWAL+CDN/H:1/Hotels,470
MUR/LWAL+CDN/H:2/Hotels,939
