TAXONOMY,AREA_PER_BUILDING
CR/LDUAL+CDM/HBET:3-5/Offices,616
CR/LDUAL+CDM/HBET:6-/Offices,770
CR/LDUAL+CDN/HBET:3-5/Offices,616
CR/LDUAL+CDN/HBET:6-/Offices,770
CR/LFINF+CDM/H:1/Offices,154
CR/LFINF+CDM/H:2/Offices,308
CR/LFINF+CDM/HBET:3-5/Offices,616
CR/LFINF+CDN/H:1/Offices,154
CR/LFINF+CDN/H:2/Offices,308
CR/LFINF+CDN/HBET:3-5/Offices,616
MCF/LWAL+CDL/H:2/Offices,308
MCF/LWAL+CDL/H:1/Offices,154
MCF/LWAL+CDL/HBET:3-5/Offices,616
MCF/LWAL+CDN/HBET:3-5/Offices,616
MCF/LWAL+CDN/H:2/Offices,308
MCF/LWAL+CDN/H:1/Offices,154
CR/LFINF+CDL/H:2/Trade,364
CR/LFINF+CDM/H:1/Trade,182
CR/LFINF+CDM/H:2/Trade,364
CR/LFINF+CDN/H:1/Trade,182
CR/LFINF+CDN/H:2/Trade,364
MCF/LWAL+CDL/H:2/Trade,364
MCF/LWAL+CDL/H:1/Trade,182
CR/LDUAL+CDM/H:1/Trade,182
CR/LFINF+CDL/H:1/Trade,182
CR+PC/LWAL+CDM/H:2/Trade,364
CR+PC/LWAL+CDM/H:1/Trade,182
CR/LDUAL+CDN/H:1/Trade,182
MCF/LWAL+CDN/H:2/Trade,364
MCF/LWAL+CDN/H:1/Trade,182
CR+PC/LWAL+CDN/H:1/Trade,182
CR+PC/LWAL+CDN/H:2/Trade,364
S/LFINF+CDM/H:2/Trade,364
CR/LDUAL+CDM/H:2/Trade,364
CR/LDUAL+CDN/H:2/Trade,364
CR/LDUAL+CDM/HBET:3-5/Hotels,1051
CR/LDUAL+CDM/HBET:6-/Hotels,1577
CR/LDUAL+CDN/HBET:3-5/Hotels,1051
CR/LDUAL+CDN/HBET:6-/Hotels,1577
CR/LFINF+CDM/H:1/Hotels,263
CR/LFINF+CDM/H:2/Hotels,526
CR/LFINF+CDM/HBET:3-5/Hotels,1051
CR/LFINF+CDN/H:1/Hotels,263
CR/LFINF+CDN/H:2/Hotels,526
CR/LFINF+CDN/HBET:3-5/Hotels,1051
MCF/LWAL+CDL/H:2/Hotels,526
MCF/LWAL+CDL/H:1/Hotels,263
MCF/LWAL+CDL/HBET:3-5/Hotels,1051
MCF/LWAL+CDN/HBET:3-5/Hotels,1051
MCF/LWAL+CDN/H:2/Hotels,526
MCF/LWAL+CDN/H:1/Hotels,263
