TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDL/HBET:3-5/Offices,1019
CR/LFINF+CDL/HBET:6-/Offices,1223
CR/LFINF+CDL/H:2/Offices,408
CR/LWAL+CDL/HBET:3-5/Offices,1019
CR/LWAL+CDL/HBET:6-/Offices,1223
MUR+CB/LWAL+CDN/H:1/Offices,204
MUR+CB/LWAL+CDN/H:2/Offices,408
MUR+CL/LWAL+CDN/H:1/Offices,204
MUR+CL/LWAL+CDN/H:2/Offices,408
MUR+ST/LWAL+CDN/H:1/Offices,204
MUR+ST/LWAL+CDN/H:2/Offices,408
W/LPB+CDL/H:1/Offices,204
W/LPB+CDL/H:2/Offices,408
CR/LFINF+CDL/H:2/Trade,484
MUR+CB/LWAL+CDN/H:1/Trade,242
MUR+CB/LWAL+CDN/H:2/Trade,484
MUR+CL/LWAL+CDN/H:1/Trade,242
MUR+CL/LWAL+CDN/H:2/Trade,484
MUR+ST/LWAL+CDN/H:1/Trade,242
MUR+ST/LWAL+CDN/H:2/Trade,484
W/LPB+CDL/H:1/Trade,242
W/LPB+CDL/H:2/Trade,484
CR/LFINF+CDL/H:1/Trade,242
CR/LFINF+CDL/HBET:3-5/Hotels,1261
CR/LFINF+CDL/HBET:6-/Hotels,1513
CR/LWAL+CDL/HBET:3-5/Hotels,1261
CR/LWAL+CDL/HBET:6-/Hotels,1513
MUR+CB/LWAL+CDN/H:1/Hotels,252
MUR+CB/LWAL+CDN/H:2/Hotels,504
MUR+CL/LWAL+CDN/H:1/Hotels,252
MUR+CL/LWAL+CDN/H:2/Hotels,504
MUR+ST/LWAL+CDN/H:1/Hotels,252
MUR+ST/LWAL+CDN/H:2/Hotels,504
W/LPB+CDL/H:1/Hotels,252
W/LPB+CDL/H:2/Hotels,504
CR/LFINF+CDL/H:1/Hotels,252
