TAXONOMY,AREA_PER_BUILDING
CR+PC/LWAL+CDL/H:2/Offices,150
CR+PC/LWAL+CDL/HBET:3-5/Offices,150
CR+PC/LWAL+CDL/HBET:6-/Offices,150
CR+PC/LWAL+CDM/H:2/Offices,150
CR+PC/LWAL+CDM/HBET:3-5/Offices,150
CR+PC/LWAL+CDM/HBET:6-/Offices,150
CR/LFINF+CDH/H:2/Offices,150
CR/LFINF+CDH/HBET:3-5/Offices,150
CR/LFINF+CDH/HBET:6-/Offices,150
CR/LFINF+CDL/H:2/Offices,150
CR/LFINF+CDL/HBET:3-5/Offices,150
CR/LFINF+CDM/H:2/Offices,150
CR/LFINF+CDM/HBET:3-5/Offices,150
CR/LFINF+CDM/HBET:6-/Offices,150
CR/LFINF+CDN/H:2/Offices,150
CR/LFINF+CDN/HBET:3-5/Offices,150
CR/LFINF+CDN/HBET:6-/Offices,150
CR/LFM+CDM/HBET:3-5/Offices,150
CR/LFM+CDH/H:2/Offices,150
CR/LFM+CDH/HBET:3-5/Offices,150
CR/LFM+CDH/HBET:6-/Offices,150
CR/LFM+CDL/H:2/Offices,150
CR/LFM+CDL/HBET:3-5/Offices,150
CR/LFM+CDL/HBET:6-/Offices,150
CR/LFM+CDM/H:2/Offices,150
CR/LFM+CDM/HBET:6-/Offices,150
CR+PC/LWAL+CDL/H:1/Trade,178
CR+PC/LWAL+CDL/H:2/Trade,178
CR+PC/LWAL+CDM/H:1/Trade,178
CR+PC/LWAL+CDM/H:2/Trade,178
CR/LFINF+CDH/H:1/Trade,178
CR/LFINF+CDH/H:2/Trade,178
CR/LFINF+CDL/H:1/Trade,178
CR/LFINF+CDL/H:2/Trade,178
CR/LFINF+CDM/H:1/Trade,178
CR/LFINF+CDM/H:2/Trade,178
CR/LFINF+CDN/H:1/Trade,178
CR/LFINF+CDN/H:2/Trade,178
CR/LFINF+CDN/HBET:3-5/Trade,178
ER+ETC/LWAL+CDN/H:1/Trade,178
MCF/LWAL+CDL/H:1/Trade,178
MCF/LWAL+CDN/H:1/Trade,178
MCF/LWAL+CDN/H:2/Trade,178
CR+PC/LWAL+CDL/H:2/Hotels,350
CR+PC/LWAL+CDL/HBET:3-5/Hotels,350
CR+PC/LWAL+CDL/HBET:6-/Hotels,350
CR+PC/LWAL+CDM/H:2/Hotels,350
CR+PC/LWAL+CDM/HBET:3-5/Hotels,350
CR+PC/LWAL+CDM/HBET:6-/Hotels,350
CR/LFINF+CDH/H:2/Hotels,350
CR/LFINF+CDH/HBET:3-5/Hotels,350
CR/LFINF+CDH/HBET:6-/Hotels,350
CR/LFINF+CDL/H:2/Hotels,350
CR/LFINF+CDL/HBET:3-5/Hotels,350
CR/LFINF+CDM/H:2/Hotels,350
CR/LFINF+CDM/HBET:3-5/Hotels,350
CR/LFINF+CDM/HBET:6-/Hotels,350
CR/LFINF+CDN/H:2/Hotels,350
CR/LFINF+CDN/HBET:3-5/Hotels,350
CR/LFINF+CDN/HBET:6-/Hotels,350
CR/LFM+CDM/HBET:3-5/Hotels,350
CR/LFM+CDH/H:2/Hotels,350
CR/LFM+CDH/HBET:3-5/Hotels,350
CR/LFM+CDH/HBET:6-/Hotels,350
CR/LFM+CDL/H:2/Hotels,350
CR/LFM+CDL/HBET:3-5/Hotels,350
CR/LFM+CDL/HBET:6-/Hotels,350
CR/LFM+CDM/H:2/Hotels,350
CR/LFM+CDM/HBET:6-/Hotels,350
