TAXONOMY,AREA_PER_BUILDING
CR/LWAL+CDM/H:1/Offices,124.3
CR/LWAL+CDM/H:2/Offices,248.6
CR/LWAL+CDM/HBET:3-5/Offices,621.5
CR/LWAL+CDN/H:1/Offices,124.3
CR/LWAL+CDN/H:2/Offices,248.6
CR/LWAL+CDN/HBET:3-5/Offices,621.5
CR/LFINF+CDM/H:1/Offices,124.3
CR/LFINF+CDM/H:2/Offices,248.6
CR/LFINF+CDM/HBET:3-5/Offices,621.5
CR/LFINF+CDN/H:1/Offices,124.3
CR/LFINF+CDN/H:2/Offices,248.6
CR/LFINF+CDN/HBET:3-5/Offices,621.5
CR/LDUAL+CDM/H:1/Offices,124.3
CR/LDUAL+CDM/H:2/Offices,248.6
CR/LDUAL+CDM/HBET:3-5/Offices,621.5
CR+PC/LWAL+CDM/H:1/Offices,124.3
CR+PC/LWAL+CDM/H:2/Offices,248.6
CR+PC/LWAL+CDM/HBET:3-5/Offices,621.5
S/LWAL+CDM/H:1/Offices,124.3
S/LWAL+CDM/H:2/Offices,248.6
S/LWAL+CDM/HBET:3-5/Offices,621.5
S/LFM+CDM/H:1/Offices,124.3
S/LFM+CDM/H:2/Offices,248.6
S/LFM+CDM/HBET:3-5/Offices,621.5
S/LFBR+CDM/H:1/Offices,124.3
S/LFBR+CDM/H:2/Offices,248.6
S/LFBR+CDM/HBET:3-5/Offices,621.5
MCF/LWAL+CDM/H:1/Offices,124.3
MCF/LWAL+CDM/H:2/Offices,248.6
MCF/LWAL+CDM/HBET:3-5/Offices,621.5
MUR+CL/LWAL+CDN/H:1/Offices,124.3
MUR+CL/LWAL+CDN/H:2/Offices,248.6
CR/LDUAL+CDM/H:1/Trade,214.
CR/LDUAL+CDM/H:2/Trade,428.
CR+PC/LWAL+CDM/H:1/Trade,214.
CR+PC/LWAL+CDM/H:2/Trade,428.
S/LWAL+CDM/H:1/Trade,214.
S/LWAL+CDM/H:2/Trade,428.
S/LFM+CDM/H:1/Trade,214.
S/LFM+CDM/H:2/Trade,428.
S/LFBR+CDM/H:1/Trade,214.
S/LFBR+CDM/H:2/Trade,428.
MCF/LWAL+CDM/H:1/Trade,214.
MCF/LWAL+CDM/H:2/Trade,428.
MUR+CL/LWAL+CDN/H:1/Trade,214.
MUR+CL/LWAL+CDN/H:2/Trade,428.
CR/LFM+CDM/H:1/Trade,214.
CR/LFM+CDM/H:2/Trade,428.
CR/LFM+CDN/H:1/Trade,214.
CR/LFM+CDN/H:2/Trade,428.
MUR+ST/LWAL+CDN/H:1/Trade,214.
MUR+ST/LWAL+CDN/H:2/Trade,428.
CR/LWAL+CDM/H:1/Hotels,122.52
CR/LWAL+CDM/H:2/Hotels,245.03
CR/LWAL+CDM/HBET:3-5/Hotels,612.58
CR/LFINF+CDM/H:1/Hotels,122.52
CR/LFINF+CDM/H:2/Hotels,245.03
CR/LFINF+CDM/HBET:3-5/Hotels,612.58
CR/LFINF+CDN/H:1/Hotels,122.52
CR/LFINF+CDN/H:2/Hotels,245.03
CR/LFINF+CDN/HBET:3-5/Hotels,612.58
CR/LDUAL+CDM/HBET:3-5/Hotels,612.58
MCF/LWAL+CDM/H:1/Hotels,122.52
MCF/LWAL+CDM/H:2/Hotels,245.03
MCF/LWAL+CDM/HBET:3-5/Hotels,490.06
MUR+CL/LWAL+CDN/H:1/Hotels,122.52
MUR+CL/LWAL+CDN/H:2/Hotels,245.03
MUR+ST/LWAL+CDN/H:1/Hotels,122.52
MUR+ST/LWAL+CDN/H:2/Hotels,245.03
CR/LFINF+CDM/HBET:6-/Hotels,857.61
CR/LFINF+CDN/HBET:6-/Hotels,857.61
CR/LDUAL+CDM/HBET:6-/Hotels,857.61
CR/LWAL+CDM/HBET:6-/Hotels,857.61
