TAXONOMY,AREA_PER_BUILDING
CR/LFLS+CDN/H:4/Offices,259
CR/LFLS+CDN/H:5/Offices,324
CR/LFLS+CDN/H:6/Offices,389
CR/LFLS+CDN/H:7/Offices,454
CR/LFLS+CDN/H:8/Offices,519
CR/LFLS+CDN/H:9/Offices,584
MCF/LWAL+CDL/H:1/Offices,65
MCF/LWAL+CDL/H:3/Offices,195
MCF/LWAL+CDL/H:4/Offices,259
MCF/LWAL+CDL/H:2/Offices,130
MUR+CL/LWAL+CDN/H:1/Offices,65
MUR+CL/LWAL+CDN/H:2/Offices,130
MUR+ST/LWAL+CDN/H:1/Offices,65
MUR+ST/LWAL+CDN/H:2/Offices,130
CR/LFINF+CDL/H:10/Offices,649
CR/LFINF+CDH/H:7/Offices,454
CR/LFINF+CDH/H:6/Offices,389
CR/LFINF+CDH/H:5/Offices,324
CR/LFINF+CDH/H:4/Offices,259
CR/LFINF+CDM/H:4/Offices,259
CR/LFINF+CDM/H:5/Offices,324
CR/LFINF+CDH/H:9/Offices,584
CR/LFINF+CDN/H:10/Offices,649
CR/LFLS+CDL/H:4/Offices,259
CR/LFINF+CDH/H:8/Offices,519
CR/LDUAL+CDH/H:10/Offices,649
CR/LDUAL+CDH/H:6/Offices,389
CR/LDUAL+CDH/H:7/Offices,454
CR/LDUAL+CDH/H:8/Offices,519
CR/LDUAL+CDH/H:9/Offices,584
CR/LDUAL+CDL/H:10/Offices,649
CR/LDUAL+CDM/H:10/Offices,649
CR/LDUAL+CDM/H:6/Offices,389
CR/LDUAL+CDM/H:7/Offices,454
CR/LDUAL+CDM/H:8/Offices,519
CR/LDUAL+CDM/H:9/Offices,584
CR/LFINF+CDH/H:10/Offices,649
CR/LFINF+CDH/H:3/Offices,195
CR/LFLS+CDM/H:6/Offices,389
CR/LFINF+CDM/H:2/Offices,130
CR/LFINF+CDM/H:6/Offices,389
CR/LFINF+CDM/H:7/Offices,454
CR/LFINF+CDM/H:8/Offices,519
CR/LFINF+CDM/H:9/Offices,584
CR/LFINF+CDN/H:7/Offices,454
CR/LFINF+CDN/H:8/Offices,519
CR/LFINF+CDN/H:9/Offices,584
CR/LFLS+CDL/H:2/Offices,130
CR/LFLS+CDL/H:3/Offices,195
CR/LFLS+CDL/H:5/Offices,324
CR/LFLS+CDL/H:6/Offices,389
CR/LFLS+CDL/H:7/Offices,454
CR/LFLS+CDL/H:8/Offices,519
CR/LFLS+CDL/H:9/Offices,584
CR/LFLS+CDM/H:3/Offices,195
CR/LFLS+CDM/H:4/Offices,259
CR/LFLS+CDM/H:5/Offices,324
CR/LFLS+CDM/H:7/Offices,454
CR/LFLS+CDM/H:8/Offices,519
CR/LFLS+CDM/H:9/Offices,584
CR/LFLS+CDN/H:2/Offices,130
CR/LFLS+CDN/H:3/Offices,195
CR/LFINF+CDL/H:5/Offices,324
CR/LFINF+CDL/H:6/Offices,389
CR/LFINF+CDL/H:7/Offices,454
CR/LFINF+CDL/H:8/Offices,519
CR/LFINF+CDL/H:9/Offices,584
CR/LFINF+CDM/H:10/Offices,649
CR/LFINF+CDM/H:3/Offices,195
CR/LFINF+CDL/H:4/Offices,259
CR/LFINF+CDL/H:3/Offices,195
MCF/LWAL+CDL/H:1/Trade,228
MCF/LWAL+CDL/H:2/Trade,457
MUR+CL/LWAL+CDN/H:1/Trade,228
