TAXONOMY,AREA_PER_BUILDING
MUR/LWAL+CDN/H:2/Offices,806
MUR/LWAL+CDN/H:1/Offices,404
CR+PC/LWAL+CDN/HBET:3-5/Offices,1612
CR+PC/LWAL+CDM/HBET:3-5/Offices,1612
CR/LFINF+CDH/H:2/Offices,806
CR/LFINF+CDM/HBET:3-5/Offices,1612
CR/LWAL+CDM/HBET:3-5/SOS/Offices,1612
CR/LFINF+CDH/HBET:3-5/Offices,1612
CR/LFINF+CDM/H:1/Offices,404
CR/LFINF+CDM/H:2/Offices,806
CR/LFINF+CDH/H:1/Offices,404
CR/LFINF+CDM/HBET:3-5/SOS/Offices,1612
CR/LFINF+CDM/HBET:6-/Offices,2418
CR/LFINF+CDN/HBET:3-5/Offices,1612
CR/LFINF+CDN/HBET:6-/Offices,2418
CR/LFINF+CDN/HBET:6-/SOS/Offices,2418
CR/LWAL+CDH/H:1/Offices,404
CR/LWAL+CDH/HBET:6-/Offices,2418
CR/LWAL+CDM/HBET:3-5/Offices,1612
CR/LWAL+CDN/HBET:3-5/SOS/Offices,1612
S/LFINF+CDH/HBET:3-5/Offices,1612
S/LFINF+CDH/HBET:6-/Offices,2418
CR/LWAL+CDH/H:2/Offices,806
CR/LWAL+CDM/H:2/Offices,806
CR/LWAL+CDH/HBET:3-5/Offices,1612
CR/LFINF+CDN/HBET:3-5/SOS/Offices,1612
CR/LFINF+CDM/HBET:6-/SOS/Offices,2418
W/LWAL+CDM/H:2/Trade,886
W/LWAL+CDM/H:1/Trade,442
W/LWAL+CDH/H:2/Trade,886
W/LWAL+CDH/H:1/Trade,442
MUR/LWAL+CDN/H:2/Trade,886
MUR/LWAL+CDN/H:1/Trade,442
CR/LFINF+CDH/H:2/Trade,886
CR/LFINF+CDM/H:1/Trade,442
CR/LFINF+CDM/H:2/Trade,886
CR/LFINF+CDH/H:1/Trade,442
CR/LWAL+CDH/H:1/Trade,442
CR/LFINF+CDN/H:2/Trade,886
CR/LWAL+CDH/H:2/Trade,886
CR/LWAL+CDM/H:2/Trade,886
CR/LFINF+CDN/H:1/Trade,442
W/LWAL+CDN/H:1/Trade,442
W/LWAL+CDM/H:2/Hotels,260
W/LWAL+CDM/H:1/Hotels,208
W/LWAL+CDH/HBET:3-5/Hotels,1036
W/LWAL+CDH/H:2/Hotels,260
W/LWAL+CDH/H:1/Hotels,208
MUR/LWAL+CDN/H:2/Hotels,260
MUR/LWAL+CDN/H:1/Hotels,208
CR+PC/LWAL+CDN/HBET:3-5/Hotels,1296
CR+PC/LWAL+CDM/HBET:3-5/Hotels,1296
CR/LFINF+CDH/H:2/Hotels,260
W/LWAL+CDM/HBET:3-5/Hotels,1036
CR/LFINF+CDM/HBET:3-5/Hotels,1296
CR/LWAL+CDM/HBET:3-5/SOS/Hotels,1296
CR/LFINF+CDH/HBET:3-5/Hotels,1036
CR/LFINF+CDM/H:1/Hotels,208
CR/LFINF+CDM/H:2/Hotels,260
CR/LFINF+CDH/H:1/Hotels,208
CR/LFINF+CDM/HBET:3-5/SOS/Hotels,1296
CR/LFINF+CDM/HBET:6-/Hotels,1814
CR/LFINF+CDN/HBET:3-5/Hotels,1296
CR/LFINF+CDN/HBET:6-/Hotels,1814
CR/LFINF+CDN/HBET:6-/SOS/Hotels,1814
CR/LWAL+CDH/H:1/Hotels,208
CR/LWAL+CDH/HBET:6-/Hotels,1814
CR/LWAL+CDM/HBET:3-5/Hotels,1296
CR/LWAL+CDN/HBET:3-5/SOS/Hotels,1296
CR/LWAL+CDH/H:2/Hotels,260
CR/LWAL+CDM/H:2/Hotels,518
CR/LWAL+CDH/HBET:3-5/Hotels,1296
CR/LFINF+CDN/HBET:3-5/SOS/Hotels,1296
CR/LFINF+CDM/HBET:6-/SOS/Hotels,1814
