TAXONOMY,AREA_PER_BUILDING
CR+PC/LWAL+CDL/HBET:1-3,250
CR/LDUAL+CDH/HBET:1-3,250
CR/LDUAL+CDH/HBET:4-6,450
CR/LDUAL+CDH/HBET:7-,900
CR/LDUAL+CDL/HBET:1-3,250
CR/LDUAL+CDL/HBET:4-6,450
CR/LDUAL+CDL/HBET:7-,900
CR/LFINF(CBH)+CDL/HBET:1-3,250
CR/LFINF(CBH)+CDL/HBET:4-6,450
CR/LFINF(CBH)+CDL/HBET:7-,900
CR/LFINF(CL)+CDL/HBET:1-3,250
CR/LFINF(CL)+CDL/HBET:4-6,450
CR/LFINF(CL)+CDL/HBET:7-,900
CR/LFINF+CDL/HBET:1-3,250
CR/LFINF+CDL/HBET:4-6,450
CR/LFINF+CDL/HBET:7-,900
CR/LFINF+CDN/HBET:1-3,250
CR/LWAL+CDH/HBET:1-3,250
CR/LWAL+CDH/HBET:4-6,450
CR/LWAL+CDH/HBET:7-,900
CR/LWAL+CDL/HBET:1-3,250
CR/LWAL+CDL/HBET:4-6,450
MUR+ADO/LWAL+CDN/HBET:1-3,250
MUR+CBH/LWAL+CDN/HBET:1-3,250
MUR+CL/LWAL+CDN/HBET:1-3,250
MUR+STRUB/LWAL+CDN/HBET:1-3,250
MUR+STRUB/LWAL+CDN/HBET:4-6,450
S/LFM+CDL/HBET:1-3,250
W/LFM+CDL/HBET:1-3,250
W/LFM+CDN/HBET:1-3,250
W/LWAL+CDL/HBET:1-3,250
W/LWAL+CDN/HBET:1-3,250
