TAXONOMY,AREA_PER_BUILDING
CR/LFINF+CDL/HBET:3-5/Offices,522
CR/LFINF+CDL/HBET:6-/Offices,697
CR/LWAL+CDL/HBET:3-5/Offices,522
CR/LWAL+CDL/HBET:6-/Offices,697
MUR+CL/LWAL+CDN/H:1/Offices,87
MUR+CL/LWAL+CDN/H:2/Offices,174
MUR+CL/LWAL+CDN/HBET:3-5/Offices,435
MUR+ST/LWAL+CDN/H:1/Offices,87
MUR+ST/LWAL+CDN/H:2/Offices,174
MUR+ST/LWAL+CDN/HBET:3-5/Offices,435
W/LPB+CDL/H:1/Offices,87
W/LPB+CDL/H:2/Offices,174
S/LFM+CDL/HBET:3-5/Offices,522
S/LFM+CDL/HBET:6-/Offices,610
MUR+CL/LWAL+CDN/H:1/Trade,1098
MUR+CL/LWAL+CDN/H:2/Trade,2196
MUR+ST/LWAL+CDN/H:1/Trade,1098
MUR+ST/LWAL+CDN/H:2/Trade,2196
W/LPB+CDL/H:1/Trade,1098
W/LPB+CDL/H:2/Trade,2196
CR/LFINF+CDL/H:1/Trade,1098
CR/LFINF+CDL/H:2/Trade,2196
CR/LFINF+CDL/HBET:3-5/Hotels,1065
CR/LFINF+CDL/HBET:6-/Hotels,1491
CR/LWAL+CDL/HBET:3-5/Hotels,1065
CR/LWAL+CDL/HBET:6-/Hotels,1491
MUR+CL/LWAL+CDN/H:1/Hotels,213
MUR+CL/LWAL+CDN/H:2/Hotels,426
MUR+CL/LWAL+CDN/HBET:3-5/Hotels,1065
MUR+ST/LWAL+CDN/H:1/Hotels,213
MUR+ST/LWAL+CDN/H:2/Hotels,426
MUR+ST/LWAL+CDN/HBET:3-5/Hotels,1065
W/LPB+CDL/H:1/Hotels,213
W/LPB+CDL/H:2/Hotels,426
S/LFM+CDL/HBET:3-5/Hotels,1065
S/LFM+CDL/HBET:6-/Hotels,1491
CR/LFINF+CDL/H:1/Hotels,213
CR/LFINF+CDL/H:2/Hotels,426
