ID_2,NAME_2,Offices,Trade,Hotels
1,Bruxelles,9655.775443,5148.99951,2110.849566
2,Antwerpen,10451.86859,5573.520904,2284.883531
3,Limburg,2192.374369,1169.096632,479.2750736
4,Oost-Vlaanderen,7542.981221,4022.339463,1648.971512
5,Vlaams Brabant,5741.535035,3061.707603,1255.157269
6,West-Vlaanderen,6605.770294,3522.566179,1444.087784
7,Brabant Wallon,2008.525409,1071.058084,439.083843
8,Hainaut,5501.662596,2933.794203,1202.718743
9,Liege,5054.113683,2695.136091,1104.880052
10,Limburg,2192.374369,1169.096632,479.2750736
11,Luxembourg,1144.442936,610.2809816,250.186729
12,Namur,2198.576051,1172.403716,480.6308235
