ID_3,NAME_3,Offices,Trade,Hotels
1,Brcko,33.28,101.49,7.32
2,Foca - Fbih,20.64,50.56,5
3,Gorazde,24.3,51.4,3.85
4,Pale - Fbih,49.84,38.1,2.75
5,Bosansko Grahovo,19.5,48.09,4.52
6,Drvar,17.9,62.07,6.23
7,Glamoc,17.49,33.95,5.11
8,Kupres - Fbih,31.01,62.86,10.46
9,Livno,34.88,76.63,8.79
10,Tomislavgrad,33.59,95.02,8.68
11,Bugojno,31.57,81.25,7.6
12,Busovaca,25.33,79.83,6.22
13,Dobretici,12.18,43.41,6.5
14,Donji Vakuf,25.49,46.14,6.17
15,Fojnica,20.43,53.61,6.1
16,Gornji Vakuf-Uskoplje,22.44,58.5,5.09
17,Jajce,25.8,59.39,5.6
18,Kiseljak,24.56,102.96,4.63
19,Kresevo,23.17,100.86,4.24
20,Novi Travnik,22.6,82.25,5.65
21,Travnik,24.3,64.91,5.68
22,Vitez,26.05,164.5,5
23,capljina,30.96,98.86,8.38
24,citluk,34.62,138.85,11.53
25,Jablanica,22.18,54.92,10.23
26,Konjic,19.5,50.24,4.96
27,Grad Mostar,47.47,92.5,7.09
28,Neum,21.67,101.96,31.39
29,Prozor,21.05,46.35,9.85
30,Ravno,38.49,70.85,19.01
31,Stolac,30.54,61.86,7.96
32,Domaljevac-samac,26.67,96.76,6.67
33,Odzak,31.63,79.99,7.94
34,Orasje,32.35,91.4,7.43
35,Centar Sarajevo,67.43,69.16,4.57
36,Hadzici,34.77,96.07,4.55
37,Ilidza,50.92,111.21,6.29
38,Ilijas,30.96,77.57,4.16
39,Novi Grad Sarajevo,67.07,96.7,5.55
40,Novo Sarajevo,70.06,77.52,4.58
41,Stari Grad Sarajevo,68.26,77.21,9.22
42,Trnovo - Fbih,38.59,37.95,4.67
43,Vogosca,56.18,100.33,5.77
44,zivinice,18.83,82.78,2.89
45,celic,18.78,62.44,3.74
46,Banovici,19.5,47.77,2.47
47,Doboj-Istok,17.13,74.31,3.18
48,Gracanica,16.92,68.11,2.87
49,Gradacac,13.36,79.99,3.39
50,Kalesija,29.82,69.53,4.07
51,Kladanj,16.87,60.91,3.89
52,Lukavac,21.26,65.38,4.02
53,Sapna,19.19,69.8,3.58
54,Srebrenik,19.45,96.97,3.98
55,Teocak,23.63,58.86,4.54
56,Tuzla,39,96.13,4.31
57,Bihac,34.05,86.46,6.57
