ID_1,NAME_1,Offices,Trade,Hotels
1,Blagoevgrad,609.3,1692,768.5
2,Burgas,1333,2741.6,1160.3
3,Dobrich,415,1022.8,421.6
4,Gabrovo,227.5,747,195.2
5,Grad Sofiya,7552.5,11684.9,2879.9
6,Haskovo,526.8,1359.8,349.7
7,Kardzhali,171.6,552.9,162.5
8,Kyustendil,274,699.1,181.9
9,Lovech,220.8,664.8,231.6
10,Montana,274.7,653,148.9
11,Pazardzhik,516.6,1326.9,457.5
12,Pernik,388.4,834.9,215.7
13,Pleven,566.6,1431.7,291.5
14,Plovdiv,1659.6,4748.9,1191.1
15,Razgrad,209.4,554.4,110
16,Ruse,544.3,1445.5,352.1
17,Shumen,373.2,919.6,206.6
18,Silistra,147.1,521.6,130.7
19,Sliven,355.8,903.5,238.7
20,Smolyan,199.4,492.7,338
21,Sofia,736.6,1450.1,527.9
22,Stara Zagora,679.1,1993.5,498.3
23,Targovishte,234,494,123
24,Varna,1762.3,3672.7,1329.9
25,Veliko Tarnovo,522.6,1477.8,411.7
26,Vidin,195.3,421.8,109
27,Vratsa,404.5,831.3,196.1
28,Yambol,250,661.2,172
